[(-14436, 6272, -5151), (68, 152, -21)]
[(-14440, 6269, -5155), (-10, 107, -9)]
[(-14440, 6269, -5155), (-10, 107, -9)]
[(-14440, 6269, -5155), (-10, 107, -9)]
[(-14432, 6254, -5127), (-48, 56, -15)]
[(-14432, 6254, -5127), (-48, 56, -15)]
[(-14432, 6254, -5127), (-48, 56, -15)]
[(-14432, 6254, -5127), (-48, 56, -15)]
[(-14432, 6254, -5127), (-48, 56, -15)]
[(-14424, 6252, -5110), (-18, 82, -17)]
[(-14424, 6252, -5110), (-18, 82, -17)]
[(-14424, 6252, -5110), (-18, 82, -17)]
[(-14424, 6252, -5110), (-18, 82, -17)]
[(-14424, 6252, -5110), (-18, 82, -17)]
[(-14424, 6252, -5110), (-18, 82, -17)]
[(-14424, 6252, -5110), (-18, 82, -17)]
[(-14424, 6252, -5110), (-18, 82, -17)]
[(-14443, 6245, -5117), (-143, 259, -25)]
[(-14443, 6245, -5117), (-143, 259, -25)]
[(-14443, 6245, -5117), (-143, 259, -25)]
[(-14443, 6245, -5117), (-143, 259, -25)]
[(-14443, 6245, -5117), (-143, 259, -25)]
[(-14384, 6255, -4901), (-49, 297, -75)]
[(-14384, 6255, -4901), (-49, 297, -75)]
[(-14384, 6255, -4901), (-49, 297, -75)]
[(-14384, 6255, -4901), (-49, 297, -75)]
[(-14384, 6255, -4901), (-49, 297, -75)]
[(-14390, 6239, -4964), (-111, 402, -82)]
[(-14390, 6239, -4964), (-111, 402, -82)]
[(-14390, 6239, -4964), (-111, 402, -82)]
[(-14390, 6239, -4964), (-111, 402, -82)]
[(-14390, 6239, -4964), (-111, 402, -82)]
[(-14390, 6239, -4964), (-111, 402, -82)]
[(-14390, 6239, -4964), (-111, 402, -82)]
[(-14390, 6239, -4964), (-111, 402, -82)]
[(-14411, 6215, -5037), (-92, 343, -81)]
[(-14411, 6215, -5037), (-92, 343, -81)]
[(-14411, 6215, -5037), (-92, 343, -81)]
[(-14411, 6215, -5037), (-92, 343, -81)]
[(-14411, 6215, -5037), (-92, 343, -81)]
[(-14423, 6228, -5107), (-285, 363, -80)]
[(-14423, 6228, -5107), (-285, 363, -80)]
[(-14423, 6228, -5107), (-285, 363, -80)]
[(-14423, 6228, -5107), (-285, 363, -80)]
[(-14423, 6228, -5107), (-285, 363, -80)]
[(-14423, 6228, -5107), (-285, 363, -80)]
[(-14394, 6248, -5143), (-538, 566, -113)]
[(-14394, 6248, -5143), (-538, 566, -113)]
[(-14394, 6248, -5143), (-538, 566, -113)]
[(-14394, 6248, -5143), (-538, 566, -113)]
[(-14394, 6248, -5143), (-538, 566, -113)]
[(-14394, 6248, -5143), (-538, 566, -113)]
[(-14394, 6248, -5143), (-538, 566, -113)]
[(-14396, 6232, -5152), (-452, 537, -80)]
[(-14396, 6232, -5152), (-452, 537, -80)]
[(-14396, 6232, -5152), (-452, 537, -80)]
[(-14396, 6232, -5152), (-452, 537, -80)]
[(-14396, 6232, -5152), (-452, 537, -80)]
[(-14405, 6236, -5231), (-416, 442, -57)]
[(-14405, 6236, -5231), (-416, 442, -57)]
[(-14405, 6236, -5231), (-416, 442, -57)]
[(-14405, 6236, -5231), (-416, 442, -57)]
[(-14405, 6236, -5231), (-416, 442, -57)]
[(-14405, 6236, -5231), (-416, 442, -57)]
[(-14395, 6266, -5304), (-348, 353, -36)]
[(-14395, 6266, -5304), (-348, 353, -36)]
[(-14395, 6266, -5304), (-348, 353, -36)]
[(-14395, 6266, -5304), (-348, 353, -36)]
[(-14395, 6266, -5304), (-348, 353, -36)]
[(-14395, 6266, -5304), (-348, 353, -36)]
[(-14395, 6266, -5304), (-348, 353, -36)]
[(-14371, 6252, -5297), (-357, 287, -29)]
[(-14371, 6252, -5297), (-357, 287, -29)]
[(-14371, 6252, -5297), (-357, 287, -29)]
[(-14371, 6252, -5297), (-357, 287, -29)]
[(-14371, 6252, -5297), (-357, 287, -29)]
[(-14356, 6241, -5308), (-308, 248, -23)]
[(-14356, 6241, -5308), (-308, 248, -23)]
[(-14356, 6241, -5308), (-308, 248, -23)]
[(-14356, 6241, -5308), (-308, 248, -23)]
[(-14356, 6241, -5308), (-308, 248, -23)]
[(-14356, 6241, -5308), (-308, 248, -23)]
[(-14365, 6239, -5268), (-226, 287, -20)]
[(-14365, 6239, -5268), (-226, 287, -20)]
[(-14365, 6239, -5268), (-226, 287, -20)]
[(-14365, 6239, -5268), (-226, 287, -20)]
[(-14365, 6239, -5268), (-226, 287, -20)]
[(-14365, 6239, -5268), (-226, 287, -20)]
[(-14365, 6239, -5268), (-226, 287, -20)]
[(-14378, 6235, -5316), (-155, 299, -5)]
[(-14378, 6235, -5316), (-155, 299, -5)]
[(-14378, 6235, -5316), (-155, 299, -5)]
[(-14378, 6235, -5316), (-155, 299, -5)]
[(-14367, 6236, -5371), (-182, 278, 6)]
[(-14367, 6236, -5371), (-182, 278, 6)]
[(-14367, 6236, -5371), (-182, 278, 6)]
[(-14367, 6236, -5371), (-182, 278, 6)]
[(-14367, 6236, -5371), (-182, 278, 6)]
[(-14368, 6242, -5390), (-238, 239, 7)]
[(-14368, 6242, -5390), (-238, 239, 7)]
[(-14368, 6242, -5390), (-238, 239, 7)]
[(-14368, 6242, -5390), (-238, 239, 7)]
[(-14368, 6242, -5390), (-238, 239, 7)]
[(-14368, 6242, -5390), (-238, 239, 7)]
[(-14370, 6257, -5402), (-246, 218, 11)]
[(-14370, 6257, -5402), (-246, 218, 11)]
[(-14370, 6257, -5402), (-246, 218, 11)]
[(-14370, 6257, -5402), (-246, 218, 11)]
[(-14370, 6257, -5402), (-246, 218, 11)]
[(-14370, 6257, -5402), (-246, 218, 11)]
[(-14370, 6257, -5402), (-246, 218, 11)]
[(-14332, 6264, -5380), (-244, 257, 3)]
[(-14332, 6264, -5380), (-244, 257, 3)]
[(-14332, 6264, -5380), (-244, 257, 3)]
[(-14332, 6264, -5380), (-244, 257, 3)]
[(-14332, 6264, -5380), (-244, 257, 3)]
[(-14336, 6250, -5388), (-103, 135, -12)]
[(-14336, 6250, -5388), (-103, 135, -12)]
