[(-14919, 6023, -3220), (-33, 216, 24)]
[(-14924, 6060, -3230), (-71, 348, 46)]
[(-14924, 6060, -3230), (-71, 348, 46)]
[(-14924, 6060, -3230), (-71, 348, 46)]
[(-14924, 6060, -3230), (-71, 348, 46)]
[(-14924, 6060, -3230), (-71, 348, 46)]
[(-14899, 6056, -3251), (-64, 322, 76)]
[(-14899, 6056, -3251), (-64, 322, 76)]
[(-14899, 6056, -3251), (-64, 322, 76)]
[(-14899, 6056, -3251), (-64, 322, 76)]
[(-14899, 6056, -3251), (-64, 322, 76)]
[(-14899, 6056, -3251), (-64, 322, 76)]
[(-14899, 6056, -3251), (-64, 322, 76)]
[(-14906, 6058, -3251), (-69, 84, 65)]
[(-14906, 6058, -3251), (-69, 84, 65)]
[(-14906, 6058, -3251), (-69, 84, 65)]
[(-14906, 6058, -3251), (-69, 84, 65)]
[(-14906, 6058, -3251), (-69, 84, 65)]
[(-14906, 6058, -3251), (-69, 84, 65)]
[(-14892, 6054, -3176), (-37, 61, 67)]
[(-14892, 6054, -3176), (-37, 61, 67)]
[(-14892, 6054, -3176), (-37, 61, 67)]
[(-14892, 6054, -3176), (-37, 61, 67)]
[(-14892, 6054, -3176), (-37, 61, 67)]
[(-14862, 6061, -3194), (-50, 0, 3)]
[(-14862, 6061, -3194), (-50, 0, 3)]
[(-14862, 6061, -3194), (-50, 0, 3)]
[(-14862, 6061, -3194), (-50, 0, 3)]
[(-14862, 6061, -3194), (-50, 0, 3)]
[(-14862, 6061, -3194), (-50, 0, 3)]
[(-14862, 6061, -3194), (-50, 0, 3)]
[(-14871, 6061, -3210), (16, 100, 18)]
[(-14871, 6061, -3210), (16, 100, 18)]
[(-14871, 6061, -3210), (16, 100, 18)]
[(-14871, 6061, -3210), (16, 100, 18)]
[(-14871, 6061, -3210), (16, 100, 18)]
[(-14871, 6061, -3210), (16, 100, 18)]
[(-14845, 6084, -3242), (4, 165, 4)]
[(-14845, 6084, -3242), (4, 165, 4)]
[(-14845, 6084, -3242), (4, 165, 4)]
[(-14845, 6084, -3242), (4, 165, 4)]
[(-14845, 6084, -3242), (4, 165, 4)]
[(-14855, 6063, -3276), (-48, 166, -29)]
[(-14855, 6063, -3276), (-48, 166, -29)]
[(-14855, 6063, -3276), (-48, 166, -29)]
[(-14855, 6063, -3276), (-48, 166, -29)]
[(-14855, 6063, -3276), (-48, 166, -29)]
[(-14855, 6063, -3276), (-48, 166, -29)]
[(-14860, 6046, -3263), (-151, 138, -35)]
[(-14860, 6046, -3263), (-151, 138, -35)]
[(-14860, 6046, -3263), (-151, 138, -35)]
[(-14860, 6046, -3263), (-151, 138, -35)]
[(-14860, 6046, -3263), (-151, 138, -35)]
[(-14860, 6046, -3263), (-151, 138, -35)]
[(-14860, 6046, -3263), (-151, 138, -35)]
[(-14860, 6057, -3237), (-186, 150, -25)]
[(-14860, 6057, -3237), (-186, 150, -25)]
[(-14860, 6057, -3237), (-186, 150, -25)]
[(-14860, 6057, -3237), (-186, 150, -25)]
[(-14860, 6057, -3237), (-186, 150, -25)]
[(-14876, 6068, -3196), (-137, 183, 9)]
[(-14876, 6068, -3196), (-137, 183, 9)]
[(-14876, 6068, -3196), (-137, 183, 9)]
[(-14876, 6068, -3196), (-137, 183, 9)]
[(-14876, 6068, -3196), (-137, 183, 9)]
[(-14876, 6068, -3196), (-137, 183, 9)]
[(-14884, 6060, -3219), (-122, 227, 6)]
[(-14884, 6060, -3219), (-122, 227, 6)]
[(-14884, 6060, -3219), (-122, 227, 6)]
[(-14884, 6060, -3219), (-122, 227, 6)]
[(-14884, 6060, -3219), (-122, 227, 6)]
[(-14884, 6060, -3219), (-122, 227, 6)]
[(-14880, 6076, -3212), (-150, 228, -3)]
[(-14880, 6076, -3212), (-150, 228, -3)]
[(-14880, 6076, -3212), (-150, 228, -3)]
[(-14880, 6076, -3212), (-150, 228, -3)]
[(-14880, 6076, -3212), (-150, 228, -3)]
[(-14860, 6070, -3212), (-163, 202, -16)]
[(-14860, 6070, -3212), (-163, 202, -16)]
[(-14860, 6070, -3212), (-163, 202, -16)]
[(-14860, 6070, -3212), (-163, 202, -16)]
[(-14860, 6070, -3212), (-163, 202, -16)]
[(-14860, 6070, -3212), (-163, 202, -16)]
[(-14863, 6032, -3192), (-117, 175, -29)]
[(-14863, 6032, -3192), (-117, 175, -29)]
[(-14863, 6032, -3192), (-117, 175, -29)]
[(-14863, 6032, -3192), (-117, 175, -29)]
[(-14863, 6032, -3192), (-117, 175, -29)]
[(-14863, 6032, -3192), (-117, 175, -29)]
[(-14863, 6032, -3192), (-117, 175, -29)]
[(-14885, 6023, -3196), (-71, 216, -27)]
[(-14885, 6023, -3196), (-71, 216, -27)]
[(-14885, 6023, -3196), (-71, 216, -27)]
