[(-14438, 6966, -3663), (-295, 741, -16)]
[(-14437, 6957, -3673), (-259, 652, 5)]
[(-14437, 6957, -3673), (-259, 652, 5)]
[(-14448, 6944, -3661), (-261, 584, 16)]
[(-14448, 6944, -3661), (-261, 584, 16)]
[(-14448, 6944, -3661), (-261, 584, 16)]
[(-14448, 6944, -3661), (-261, 584, 16)]
[(-14448, 6944, -3661), (-261, 584, 16)]
[(-14448, 6944, -3661), (-261, 584, 16)]
[(-14486, 6932, -3672), (-214, 216, 68)]
[(-14486, 6932, -3672), (-214, 216, 68)]
[(-14486, 6932, -3672), (-214, 216, 68)]
[(-14486, 6932, -3672), (-214, 216, 68)]
[(-14486, 6932, -3672), (-214, 216, 68)]
[(-14492, 6928, -3620), (-208, 201, 71)]
[(-14492, 6928, -3620), (-208, 201, 71)]
[(-14492, 6928, -3620), (-208, 201, 71)]
[(-14492, 6928, -3620), (-208, 201, 71)]
[(-14492, 6928, -3620), (-208, 201, 71)]
[(-14492, 6928, -3620), (-208, 201, 71)]
[(-14492, 6928, -3620), (-208, 201, 71)]
[(-14492, 6928, -3620), (-208, 201, 71)]
[(-14476, 6920, -3590), (-157, 230, 48)]
[(-14476, 6920, -3590), (-157, 230, 48)]
[(-14476, 6920, -3590), (-157, 230, 48)]
[(-14476, 6920, -3590), (-157, 230, 48)]
[(-14476, 6920, -3590), (-157, 230, 48)]
[(-14495, 6916, -3581), (-67, 285, 30)]
[(-14495, 6916, -3581), (-67, 285, 30)]
[(-14495, 6916, -3581), (-67, 285, 30)]
[(-14495, 6916, -3581), (-67, 285, 30)]
[(-14495, 6916, -3581), (-67, 285, 30)]
[(-14496, 6924, -3604), (-40, 304, 22)]
[(-14496, 6924, -3604), (-40, 304, 22)]
[(-14496, 6924, -3604), (-40, 304, 22)]
[(-14496, 6924, -3604), (-40, 304, 22)]
[(-14496, 6924, -3604), (-40, 304, 22)]
[(-14496, 6924, -3604), (-40, 304, 22)]
[(-14498, 6926, -3616), (-57, 267, 41)]
[(-14498, 6926, -3616), (-57, 267, 41)]
[(-14498, 6926, -3616), (-57, 267, 41)]
[(-14498, 6926, -3616), (-57, 267, 41)]
[(-14498, 6926, -3616), (-57, 267, 41)]
[(-14498, 6926, -3616), (-57, 267, 41)]
[(-14498, 6926, -3616), (-57, 267, 41)]
[(-14488, 6944, -3644), (-80, 241, 64)]
[(-14488, 6944, -3644), (-80, 241, 64)]
[(-14488, 6944, -3644), (-80, 241, 64)]
[(-14488, 6944, -3644), (-80, 241, 64)]
[(-14488, 6944, -3644), (-80, 241, 64)]
[(-14464, 6951, -3624), (-87, 262, 88)]
[(-14464, 6951, -3624), (-87, 262, 88)]
[(-14464, 6951, -3624), (-87, 262, 88)]
[(-14464, 6951, -3624), (-87, 262, 88)]
[(-14464, 6951, -3624), (-87, 262, 88)]
[(-14464, 6951, -3624), (-87, 262, 88)]
[(-14428, 6953, -3601), (-52, 313, 109)]
[(-14428, 6953, -3601), (-52, 313, 109)]
[(-14428, 6953, -3601), (-52, 313, 109)]
[(-14428, 6953, -3601), (-52, 313, 109)]
[(-14428, 6953, -3601), (-52, 313, 109)]
[(-14439, 6971, -3617), (-6, 310, 70)]
[(-14439, 6971, -3617), (-6, 310, 70)]
[(-14439, 6971, -3617), (-6, 310, 70)]
[(-14439, 6971, -3617), (-6, 310, 70)]
[(-14439, 6971, -3617), (-6, 310, 70)]
[(-14464, 6959, -3632), (-1, 320, 29)]
[(-14464, 6959, -3632), (-1, 320, 29)]
[(-14464, 6959, -3632), (-1, 320, 29)]
[(-14464, 6959, -3632), (-1, 320, 29)]
[(-14464, 6959, -3632), (-1, 320, 29)]
[(-14464, 6959, -3632), (-1, 320, 29)]
[(-14464, 6949, -3663), (11, 304, 77)]
[(-14464, 6949, -3663), (11, 304, 77)]
[(-14464, 6949, -3663), (11, 304, 77)]
[(-14464, 6949, -3663), (11, 304, 77)]
[(-14464, 6949, -3663), (11, 304, 77)]
[(-14464, 6949, -3663), (11, 304, 77)]
[(-14464, 6949, -3663), (11, 304, 77)]
[(-14464, 6955, -3702), (-72, 292, 87)]
[(-14464, 6955, -3702), (-72, 292, 87)]
[(-14464, 6955, -3702), (-72, 292, 87)]
[(-14464, 6955, -3702), (-72, 292, 87)]
