[(-15633, 36, -5072), (18, 388, 130)]
[(-15622, 82, -5097), (-174, 344, 225)]
[(-15622, 82, -5097), (-174, 344, 225)]
[(-15622, 82, -5097), (-174, 344, 225)]
[(-15622, 82, -5097), (-174, 344, 225)]
[(-15616, 132, -5141), (-296, 304, 265)]
[(-15616, 132, -5141), (-296, 304, 265)]
[(-15616, 132, -5141), (-296, 304, 265)]
[(-15616, 132, -5141), (-296, 304, 265)]
[(-15616, 132, -5141), (-296, 304, 265)]
[(-15616, 132, -5141), (-296, 304, 265)]
[(-15583, 184, -5180), (-333, 381, 260)]
[(-15583, 184, -5180), (-333, 381, 260)]
[(-15583, 184, -5180), (-333, 381, 260)]
[(-15583, 184, -5180), (-333, 381, 260)]
[(-15583, 184, -5180), (-333, 381, 260)]
[(-15583, 184, -5180), (-333, 381, 260)]
[(-15583, 184, -5180), (-333, 381, 260)]
[(-15583, 184, -5180), (-333, 381, 260)]
[(-15576, 248, -5263), (-324, 523, 228)]
[(-15576, 248, -5263), (-324, 523, 228)]
[(-15576, 248, -5263), (-324, 523, 228)]
[(-15576, 248, -5263), (-324, 523, 228)]
[(-15576, 248, -5263), (-324, 523, 228)]
[(-15568, 291, -5318), (-270, 544, 189)]
[(-15568, 291, -5318), (-270, 544, 189)]
[(-15568, 291, -5318), (-270, 544, 189)]
[(-15568, 291, -5318), (-270, 544, 189)]
[(-15568, 291, -5318), (-270, 544, 189)]
[(-15538, 314, -5416), (-249, 482, 145)]
[(-15538, 314, -5416), (-249, 482, 145)]
[(-15538, 314, -5416), (-249, 482, 145)]
[(-15538, 314, -5416), (-249, 482, 145)]
[(-15538, 314, -5416), (-249, 482, 145)]
[(-15538, 314, -5416), (-249, 482, 145)]
[(-15538, 314, -5416), (-249, 482, 145)]
[(-15519, 368, -5432), (-241, 315, 139)]
[(-15519, 368, -5432), (-241, 315, 139)]
[(-15519, 368, -5432), (-241, 315, 139)]
[(-15519, 368, -5432), (-241, 315, 139)]
[(-15519, 368, -5432), (-241, 315, 139)]
[(-15519, 368, -5432), (-241, 315, 139)]
[(-15509, 392, -5446), (-235, 240, 135)]
[(-15509, 392, -5446), (-235, 240, 135)]
[(-15509, 392, -5446), (-235, 240, 135)]
[(-15509, 392, -5446), (-235, 240, 135)]
[(-15509, 392, -5446), (-235, 240, 135)]
[(-15507, 356, -5472), (-1, 188, 144)]
[(-15507, 356, -5472), (-1, 188, 144)]
[(-15507, 356, -5472), (-1, 188, 144)]
[(-15507, 356, -5472), (-1, 188, 144)]
[(-15507, 356, -5472), (-1, 188, 144)]
[(-15507, 356, -5472), (-1, 188, 144)]
[(-15531, 412, -5484), (-23, 177, 155)]
[(-15531, 412, -5484), (-23, 177, 155)]
[(-15531, 412, -5484), (-23, 177, 155)]
[(-15531, 412, -5484), (-23, 177, 155)]
[(-15531, 412, -5484), (-23, 177, 155)]
[(-15531, 412, -5484), (-23, 177, 155)]
[(-15531, 412, -5484), (-23, 177, 155)]
[(-15548, 491, -5480), (-67, 224, 191)]
[(-15548, 491, -5480), (-67, 224, 191)]
[(-15548, 491, -5480), (-67, 224, 191)]
[(-15548, 491, -5480), (-67, 224, 191)]
[(-15548, 491, -5480), (-67, 224, 191)]
[(-15516, 524, -5505), (-77, 229, 123)]
[(-15516, 524, -5505), (-77, 229, 123)]
[(-15516, 524, -5505), (-77, 229, 123)]
[(-15516, 524, -5505), (-77, 229, 123)]
[(-15516, 524, -5505), (-77, 229, 123)]
[(-15516, 524, -5505), (-77, 229, 123)]
[(-15513, 550, -5452), (-93, 206, 90)]
[(-15513, 550, -5452), (-93, 206, 90)]
[(-15513, 550, -5452), (-93, 206, 90)]
[(-15513, 550, -5452), (-93, 206, 90)]
[(-15513, 550, -5452), (-93, 206, 90)]
[(-15513, 550, -5452), (-93, 206, 90)]
[(-15542, 561, -5429), (-111, 184, 85)]
[(-15542, 561, -5429), (-111, 184, 85)]
[(-15542, 561, -5429), (-111, 184, 85)]
[(-15542, 561, -5429), (-111, 184, 85)]
[(-15542, 561, -5429), (-111, 184, 85)]
[(-15542, 561, -5429), (-111, 184, 85)]
[(-15542, 561, -5429), (-111, 184, 85)]
[(-15556, 548, -5442), (-131, 155, 87)]
[(-15556, 548, -5442), (-131, 155, 87)]
[(-15556, 548, -5442), (-131, 155, 87)]
[(-15556, 548, -5442), (-131, 155, 87)]
[(-15568, 537, -5419), (-116, 156, 60)]
[(-15568, 537, -5419), (-116, 156, 60)]
[(-15568, 537, -5419), (-116, 156, 60)]
[(-15568, 537, -5419), (-116, 156, 60)]
