[(-15092, 2804, -6370), (-252, 65, -44)]
[(-15096, 2734, -6316), (-167, 196, -59)]
[(-15117, 2789, -6277), (-217, 369, -53)]
[(-15117, 2789, -6277), (-217, 369, -53)]
[(-15117, 2789, -6277), (-217, 369, -53)]
[(-15117, 2789, -6277), (-217, 369, -53)]
[(-15117, 2789, -6277), (-217, 369, -53)]
[(-15117, 2789, -6277), (-217, 369, -53)]
[(-15119, 2782, -6281), (-229, 386, -103)]
[(-15119, 2782, -6281), (-229, 386, -103)]
[(-15119, 2782, -6281), (-229, 386, -103)]
[(-15119, 2782, -6281), (-229, 386, -103)]
[(-15119, 2782, -6281), (-229, 386, -103)]
[(-15119, 2782, -6281), (-229, 386, -103)]
[(-15119, 2782, -6281), (-229, 386, -103)]
[(-15104, 2766, -6324), (-282, 264, -41)]
[(-15104, 2766, -6324), (-282, 264, -41)]
[(-15104, 2766, -6324), (-282, 264, -41)]
[(-15104, 2766, -6324), (-282, 264, -41)]
[(-15104, 2766, -6324), (-282, 264, -41)]
[(-15104, 2766, -6324), (-282, 264, -41)]
[(-15072, 2752, -6368), (-379, 129, 24)]
[(-15072, 2752, -6368), (-379, 129, 24)]
[(-15072, 2752, -6368), (-379, 129, 24)]
[(-15072, 2752, -6368), (-379, 129, 24)]
[(-15072, 2752, -6368), (-379, 129, 24)]
[(-15077, 2742, -6360), (-355, 93, 51)]
[(-15077, 2742, -6360), (-355, 93, 51)]
[(-15077, 2742, -6360), (-355, 93, 51)]
[(-15077, 2742, -6360), (-355, 93, 51)]
[(-15077, 2742, -6360), (-355, 93, 51)]
[(-15077, 2742, -6360), (-355, 93, 51)]
[(-15077, 2742, -6360), (-355, 93, 51)]
[(-15077, 2748, -6368), (-240, 218, 5)]
[(-15077, 2748, -6368), (-240, 218, 5)]
[(-15077, 2748, -6368), (-240, 218, 5)]
[(-15077, 2748, -6368), (-240, 218, 5)]
[(-15077, 2748, -6368), (-240, 218, 5)]
[(-15077, 2748, -6368), (-240, 218, 5)]
[(-15047, 2734, -6388), (-126, 321, -52)]
[(-15047, 2734, -6388), (-126, 321, -52)]
[(-15047, 2734, -6388), (-126, 321, -52)]
[(-15047, 2734, -6388), (-126, 321, -52)]
[(-15047, 2734, -6388), (-126, 321, -52)]
[(-15048, 2723, -6386), (-116, 276, -67)]
[(-15048, 2723, -6386), (-116, 276, -67)]
[(-15048, 2723, -6386), (-116, 276, -67)]
[(-15048, 2723, -6386), (-116, 276, -67)]
[(-15048, 2723, -6386), (-116, 276, -67)]
[(-15048, 2723, -6386), (-116, 276, -67)]
[(-15048, 2723, -6386), (-116, 276, -67)]
[(-15068, 2694, -6390), (-184, 146, -44)]
[(-15068, 2694, -6390), (-184, 146, -44)]
[(-15068, 2694, -6390), (-184, 146, -44)]
[(-15068, 2694, -6390), (-184, 146, -44)]
[(-15068, 2694, -6390), (-184, 146, -44)]
[(-15068, 2694, -6390), (-184, 146, -44)]
[(-15068, 2695, -6383), (-255, 48, -18)]
[(-15068, 2695, -6383), (-255, 48, -18)]
[(-15068, 2695, -6383), (-255, 48, -18)]
[(-15068, 2695, -6383), (-255, 48, -18)]
[(-15068, 2695, -6383), (-255, 48, -18)]
[(-15056, 2677, -6371), (-201, 70, -15)]
[(-15056, 2677, -6371), (-201, 70, -15)]
[(-15056, 2677, -6371), (-201, 70, -15)]
[(-15056, 2677, -6371), (-201, 70, -15)]
[(-15056, 2677, -6371), (-201, 70, -15)]
[(-15056, 2677, -6371), (-201, 70, -15)]
[(-15056, 2677, -6371), (-201, 70, -15)]
[(-15055, 2668, -6348), (-103, 175, -43)]
[(-15055, 2668, -6348), (-103, 175, -43)]
[(-15055, 2668, -6348), (-103, 175, -43)]
[(-15055, 2668, -6348), (-103, 175, -43)]
[(-15055, 2668, -6348), (-103, 175, -43)]
[(-15055, 2668, -6348), (-103, 175, -43)]
