[(-15364, 1770, -6118), (-156, 192, 36)]
[(-15340, 1772, -6124), (-168, 217, 35)]
[(-15340, 1772, -6124), (-168, 217, 35)]
[(-15332, 1756, -6148), (-186, 271, 32)]
[(-15332, 1756, -6148), (-186, 271, 32)]
[(-15332, 1756, -6148), (-186, 271, 32)]
[(-15332, 1756, -6148), (-186, 271, 32)]
[(-15332, 1756, -6148), (-186, 271, 32)]
[(-15332, 1756, -6148), (-186, 271, 32)]
[(-15332, 1756, -6148), (-186, 271, 32)]
[(-15324, 1776, -6156), (-225, 292, 57)]
[(-15324, 1776, -6156), (-225, 292, 57)]
[(-15324, 1776, -6156), (-225, 292, 57)]
[(-15324, 1776, -6156), (-225, 292, 57)]
[(-15298, 1792, -6181), (-339, 359, 63)]
[(-15298, 1792, -6181), (-339, 359, 63)]
[(-15298, 1792, -6181), (-339, 359, 63)]
[(-15298, 1792, -6181), (-339, 359, 63)]
[(-15298, 1792, -6181), (-339, 359, 63)]
[(-15298, 1792, -6181), (-339, 359, 63)]
[(-15298, 1792, -6181), (-339, 359, 63)]
[(-15298, 1792, -6181), (-339, 359, 63)]
[(-15299, 1820, -6215), (-410, 385, 74)]
[(-15299, 1820, -6215), (-410, 385, 74)]
[(-15299, 1820, -6215), (-410, 385, 74)]
[(-15299, 1820, -6215), (-410, 385, 74)]
[(-15299, 1820, -6215), (-410, 385, 74)]
[(-15273, 1824, -6228), (-455, 428, 65)]
[(-15273, 1824, -6228), (-455, 428, 65)]
[(-15273, 1824, -6228), (-455, 428, 65)]
[(-15273, 1824, -6228), (-455, 428, 65)]
[(-15273, 1824, -6228), (-455, 428, 65)]
[(-15236, 1859, -6248), (-463, 441, 78)]
[(-15236, 1859, -6248), (-463, 441, 78)]
[(-15236, 1859, -6248), (-463, 441, 78)]
[(-15236, 1859, -6248), (-463, 441, 78)]
[(-15236, 1859, -6248), (-463, 441, 78)]
[(-15236, 1859, -6248), (-463, 441, 78)]
[(-15236, 1859, -6248), (-463, 441, 78)]
[(-15232, 1904, -6287), (-411, 362, 61)]
[(-15232, 1904, -6287), (-411, 362, 61)]
[(-15232, 1904, -6287), (-411, 362, 61)]
[(-15232, 1904, -6287), (-411, 362, 61)]
[(-15232, 1904, -6287), (-411, 362, 61)]
[(-15232, 1904, -6287), (-411, 362, 61)]
[(-15207, 1936, -6313), (-395, 263, 44)]
[(-15207, 1936, -6313), (-395, 263, 44)]
[(-15207, 1936, -6313), (-395, 263, 44)]
[(-15207, 1936, -6313), (-395, 263, 44)]
[(-15207, 1936, -6313), (-395, 263, 44)]
[(-15207, 1936, -6313), (-395, 263, 44)]
[(-15207, 1936, -6313), (-395, 263, 44)]
[(-15220, 1952, -6289), (-366, 218, 15)]
[(-15220, 1952, -6289), (-366, 218, 15)]
[(-15220, 1952, -6289), (-366, 218, 15)]
[(-15220, 1952, -6289), (-366, 218, 15)]
[(-15220, 1952, -6289), (-366, 218, 15)]
[(-15232, 1965, -6279), (-320, 227, 3)]
