[(-15233, 1899, -6391), (-75, 370, 10)]
[(-15172, 1876, -6483), (-210, 200, 3)]
[(-15172, 1876, -6483), (-210, 200, 3)]
[(-15172, 1876, -6483), (-210, 200, 3)]
[(-15172, 1876, -6483), (-210, 200, 3)]
[(-15172, 1876, -6483), (-210, 200, 3)]
[(-15180, 1872, -6411), (-279, 93, -12)]
[(-15180, 1872, -6411), (-279, 93, -12)]
[(-15180, 1872, -6411), (-279, 93, -12)]
[(-15180, 1872, -6411), (-279, 93, -12)]
[(-15180, 1872, -6411), (-279, 93, -12)]
[(-15180, 1872, -6411), (-279, 93, -12)]
[(-15180, 1872, -6411), (-279, 93, -12)]
[(-15186, 1883, -6383), (-251, 140, -5)]
[(-15186, 1883, -6383), (-251, 140, -5)]
[(-15186, 1883, -6383), (-251, 140, -5)]
[(-15186, 1883, -6383), (-251, 140, -5)]
[(-15186, 1883, -6383), (-251, 140, -5)]
[(-15186, 1883, -6383), (-251, 140, -5)]
[(-15188, 1880, -6379), (-195, 256, 5)]
[(-15188, 1880, -6379), (-195, 256, 5)]
[(-15188, 1880, -6379), (-195, 256, 5)]
[(-15188, 1880, -6379), (-195, 256, 5)]
[(-15188, 1880, -6379), (-195, 256, 5)]
[(-15181, 1868, -6412), (-144, 309, -18)]
[(-15181, 1868, -6412), (-144, 309, -18)]
[(-15181, 1868, -6412), (-144, 309, -18)]
[(-15181, 1868, -6412), (-144, 309, -18)]
[(-15181, 1868, -6412), (-144, 309, -18)]
[(-15181, 1868, -6412), (-144, 309, -18)]
[(-15181, 1868, -6412), (-144, 309, -18)]
[(-15181, 1868, -6412), (-144, 309, -18)]
[(-15179, 1856, -6479), (-129, 231, -39)]
[(-15179, 1856, -6479), (-129, 231, -39)]
[(-15179, 1856, -6479), (-129, 231, -39)]
[(-15179, 1856, -6479), (-129, 231, -39)]
[(-15179, 1856, -6479), (-129, 231, -39)]
[(-15168, 1863, -6498), (-127, 92, -9)]
[(-15168, 1863, -6498), (-127, 92, -9)]
[(-15168, 1863, -6498), (-127, 92, -9)]
[(-15168, 1863, -6498), (-127, 92, -9)]
[(-15168, 1863, -6498), (-127, 92, -9)]
[(-15186, 1835, -6448), (-149, 42, 25)]
[(-15186, 1835, -6448), (-149, 42, 25)]
[(-15186, 1835, -6448), (-149, 42, 25)]
[(-15186, 1835, -6448), (-149, 42, 25)]
