[(-15158, 2664, -6192), (-514, -86, -154)]
[(-15196, 2650, -6160), (-318, 83, -165)]
[(-15196, 2650, -6160), (-318, 83, -165)]
[(-15196, 2650, -6160), (-318, 83, -165)]
[(-15179, 2621, -6178), (-237, 239, -163)]
[(-15179, 2621, -6178), (-237, 239, -163)]
[(-15179, 2621, -6178), (-237, 239, -163)]
[(-15179, 2621, -6178), (-237, 239, -163)]
[(-15179, 2621, -6178), (-237, 239, -163)]
[(-15160, 2585, -6208), (-214, 228, -141)]
[(-15160, 2585, -6208), (-214, 228, -141)]
[(-15160, 2585, -6208), (-214, 228, -141)]
[(-15160, 2585, -6208), (-214, 228, -141)]
[(-15160, 2585, -6208), (-214, 228, -141)]
[(-15160, 2585, -6208), (-214, 228, -141)]
[(-15160, 2585, -6208), (-214, 228, -141)]
[(-15169, 2552, -6183), (-245, 90, -119)]
[(-15169, 2552, -6183), (-245, 90, -119)]
[(-15169, 2552, -6183), (-245, 90, -119)]
[(-15169, 2552, -6183), (-245, 90, -119)]
[(-15169, 2552, -6183), (-245, 90, -119)]
[(-15169, 2552, -6183), (-245, 90, -119)]
[(-15169, 2526, -6166), (-155, -59, -85)]
[(-15169, 2526, -6166), (-155, -59, -85)]
[(-15169, 2526, -6166), (-155, -59, -85)]
[(-15169, 2526, -6166), (-155, -59, -85)]
[(-15169, 2526, -6166), (-155, -59, -85)]
[(-15183, 2522, -6112), (-166, -14, -62)]
[(-15183, 2522, -6112), (-166, -14, -62)]
[(-15183, 2522, -6112), (-166, -14, -62)]
[(-15183, 2522, -6112), (-166, -14, -62)]
[(-15183, 2522, -6112), (-166, -14, -62)]
[(-15183, 2522, -6112), (-166, -14, -62)]
[(-15183, 2522, -6112), (-166, -14, -62)]
[(-15206, 2505, -6050), (-134, 136, -65)]
[(-15206, 2505, -6050), (-134, 136, -65)]
[(-15206, 2505, -6050), (-134, 136, -65)]
[(-15206, 2505, -6050), (-134, 136, -65)]
[(-15206, 2505, -6050), (-134, 136, -65)]
[(-15206, 2505, -6050), (-134, 136, -65)]
[(-15234, 2485, -6049), (-72, 207, -74)]
[(-15234, 2485, -6049), (-72, 207, -74)]
[(-15234, 2485, -6049), (-72, 207, -74)]
[(-15234, 2485, -6049), (-72, 207, -74)]
[(-15234, 2485, -6049), (-72, 207, -74)]
[(-15215, 2469, -6030), (-58, 152, -65)]
[(-15215, 2469, -6030), (-58, 152, -65)]
[(-15215, 2469, -6030), (-58, 152, -65)]
[(-15215, 2469, -6030), (-58, 152, -65)]
[(-15215, 2469, -6030), (-58, 152, -65)]
[(-15215, 2469, -6030), (-58, 152, -65)]
[(-15215, 2469, -6030), (-58, 152, -65)]
[(-15224, 2429, -5980), (63, 8, -58)]
[(-15224, 2429, -5980), (63, 8, -58)]
[(-15224, 2429, -5980), (63, 8, -58)]
[(-15224, 2429, -5980), (63, 8, -58)]
[(-15224, 2429, -5980), (63, 8, -58)]
[(-15224, 2429, -5980), (63, 8, -58)]
[(-15242, 2412, -5964), (97, -60, -55)]
[(-15242, 2412, -5964), (97, -60, -55)]
[(-15242, 2412, -5964), (97, -60, -55)]
[(-15242, 2412, -5964), (97, -60, -55)]
[(-15242, 2412, -5964), (97, -60, -55)]
[(-15237, 2374, -5927), (126, -7, -15)]
[(-15237, 2374, -5927), (126, -7, -15)]
[(-15237, 2374, -5927), (126, -7, -15)]
[(-15237, 2374, -5927), (126, -7, -15)]
[(-15237, 2374, -5927), (126, -7, -15)]
[(-15237, 2374, -5927), (126, -7, -15)]
[(-15237, 2374, -5927), (126, -7, -15)]
[(-15420, 2397, -5922), (114, 85, -13)]
[(-15420, 2397, -5922), (114, 85, -13)]
[(-15420, 2397, -5922), (114, 85, -13)]
[(-15420, 2397, -5922), (114, 85, -13)]
[(-15420, 2397, -5922), (114, 85, -13)]
[(-15420, 2397, -5922), (114, 85, -13)]
[(-15295, 2388, -5872), (77, 91, 96)]
[(-15295, 2388, -5872), (77, 91, 96)]
[(-15295, 2388, -5872), (77, 91, 96)]
[(-15295, 2388, -5872), (77, 91, 96)]
[(-15295, 2388, -5872), (77, 91, 96)]
[(-15263, 2346, -5774), (-158, 84, 109)]
[(-15263, 2346, -5774), (-158, 84, 109)]
