[(-14969, 5917, -2548), (-218, 303, 55)]
[(-14973, 5924, -2506), (-178, 295, 57)]
[(-14985, 5928, -2521), (-161, 305, 59)]
[(-14985, 5928, -2521), (-161, 305, 59)]
[(-14985, 5928, -2521), (-161, 305, 59)]
[(-14985, 5928, -2521), (-161, 305, 59)]
[(-14985, 5928, -2521), (-161, 305, 59)]
[(-14985, 5928, -2521), (-161, 305, 59)]
[(-14999, 5926, -2529), (-187, 375, 49)]
[(-14999, 5926, -2529), (-187, 375, 49)]
[(-14999, 5926, -2529), (-187, 375, 49)]
[(-14999, 5926, -2529), (-187, 375, 49)]
[(-14999, 5926, -2529), (-187, 375, 49)]
[(-14999, 5926, -2529), (-187, 375, 49)]
[(-14999, 5926, -2529), (-187, 375, 49)]
[(-14994, 5938, -2560), (-166, 349, 51)]
[(-14994, 5938, -2560), (-166, 349, 51)]
[(-14994, 5938, -2560), (-166, 349, 51)]
[(-14994, 5938, -2560), (-166, 349, 51)]
[(-14994, 5938, -2560), (-166, 349, 51)]
[(-14983, 5941, -2557), (-185, 371, 43)]
[(-14983, 5941, -2557), (-185, 371, 43)]
[(-14983, 5941, -2557), (-185, 371, 43)]
[(-14983, 5941, -2557), (-185, 371, 43)]
[(-14983, 5941, -2557), (-185, 371, 43)]
[(-14983, 5941, -2557), (-185, 371, 43)]
[(-15040, 5920, -2545), (-106, 307, 78)]
[(-15040, 5920, -2545), (-106, 307, 78)]
[(-15040, 5920, -2545), (-106, 307, 78)]
[(-15040, 5920, -2545), (-106, 307, 78)]
[(-15040, 5920, -2545), (-106, 307, 78)]
[(-15028, 5931, -2596), (-51, 258, 71)]
[(-15028, 5931, -2596), (-51, 258, 71)]
[(-15028, 5931, -2596), (-51, 258, 71)]
[(-15028, 5931, -2596), (-51, 258, 71)]
[(-15028, 5931, -2596), (-51, 258, 71)]
[(-15028, 5931, -2596), (-51, 258, 71)]
[(-15028, 5931, -2596), (-51, 258, 71)]
[(-15040, 5908, -2587), (-94, 213, 114)]
[(-15040, 5908, -2587), (-94, 213, 114)]
[(-15040, 5908, -2587), (-94, 213, 114)]
[(-15040, 5908, -2587), (-94, 213, 114)]
[(-15040, 5908, -2587), (-94, 213, 114)]
[(-15040, 5908, -2587), (-94, 213, 114)]
[(-15040, 5908, -2587), (-94, 213, 114)]
[(-15034, 5890, -2583), (-57, 234, 102)]
[(-15034, 5890, -2583), (-57, 234, 102)]
[(-15034, 5890, -2583), (-57, 234, 102)]
[(-15034, 5890, -2583), (-57, 234, 102)]
[(-15020, 5892, -2592), (-13, 228, 93)]
[(-15020, 5892, -2592), (-13, 228, 93)]
[(-15020, 5892, -2592), (-13, 228, 93)]
[(-15020, 5892, -2592), (-13, 228, 93)]
[(-15020, 5892, -2592), (-13, 228, 93)]
[(-15020, 5892, -2592), (-13, 228, 93)]
[(-15020, 5892, -2592), (-13, 228, 93)]
[(-15013, 5926, -2584), (-61, 281, 54)]
[(-15013, 5926, -2584), (-61, 281, 54)]
[(-15013, 5926, -2584), (-61, 281, 54)]
[(-15013, 5926, -2584), (-61, 281, 54)]
[(-15013, 5926, -2584), (-61, 281, 54)]
[(-15013, 5926, -2584), (-61, 281, 54)]
[(-15084, 5877, -2531), (-75, 151, 152)]
[(-15084, 5877, -2531), (-75, 151, 152)]
[(-15084, 5877, -2531), (-75, 151, 152)]
[(-15084, 5877, -2531), (-75, 151, 152)]
[(-15084, 5877, -2531), (-75, 151, 152)]
[(-15068, 5858, -2539), (-73, 181, 111)]
[(-15068, 5858, -2539), (-73, 181, 111)]
[(-15068, 5858, -2539), (-73, 181, 111)]
[(-15068, 5858, -2539), (-73, 181, 111)]
[(-15068, 5858, -2539), (-73, 181, 111)]
[(-15056, 5929, -2525), (-68, 318, 140)]
[(-15056, 5929, -2525), (-68, 318, 140)]
[(-15056, 5929, -2525), (-68, 318, 140)]
[(-15056, 5929, -2525), (-68, 318, 140)]
[(-15056, 5929, -2525), (-68, 318, 140)]
[(-15056, 5929, -2525), (-68, 318, 140)]
[(-15056, 5929, -2525), (-68, 318, 140)]
[(-15056, 5929, -2525), (-68, 318, 140)]
[(-15056, 5929, -2525), (-68, 318, 140)]
[(-15067, 5899, -2512), (-60, 239, 81)]
[(-15067, 5899, -2512), (-60, 239, 81)]
[(-15067, 5899, -2512), (-60, 239, 81)]
[(-15030, 5917, -2474), (-123, 245, 51)]
[(-15030, 5917, -2474), (-123, 245, 51)]
[(-15030, 5917, -2474), (-123, 245, 51)]
[(-15030, 5917, -2474), (-123, 245, 51)]
[(-15030, 5917, -2474), (-123, 245, 51)]
[(-15024, 5896, -2416), (-205, 265, 29)]
[(-15024, 5896, -2416), (-205, 265, 29)]
[(-15024, 5896, -2416), (-205, 265, 29)]
[(-15024, 5896, -2416), (-205, 265, 29)]
[(-15024, 5896, -2416), (-205, 265, 29)]
[(-15024, 5896, -2416), (-205, 265, 29)]
[(-15024, 5896, -2416), (-205, 265, 29)]
[(-15024, 5896, -2416), (-205, 265, 29)]
[(-15021, 5920, -2405), (-131, 225, 16)]
[(-15021, 5920, -2405), (-131, 225, 16)]
[(-15021, 5920, -2405), (-131, 225, 16)]
[(-15021, 5920, -2405), (-131, 225, 16)]
[(-15021, 5920, -2405), (-131, 225, 16)]
[(-14988, 5919, -2360), (-144, 263, 11)]
[(-14988, 5919, -2360), (-144, 263, 11)]
[(-14988, 5919, -2360), (-144, 263, 11)]
[(-14988, 5919, -2360), (-144, 263, 11)]
[(-14988, 5919, -2360), (-144, 263, 11)]
[(-14990, 5919, -2380), (-147, 263, -3)]
