[(-15007, 5940, -2756), (-76, 382, 0)]
[(-15005, 5942, -2794), (-166, 614, 9)]
[(-15005, 5942, -2794), (-166, 614, 9)]
[(-15005, 5942, -2794), (-166, 614, 9)]
[(-15005, 5942, -2794), (-166, 614, 9)]
[(-15005, 5942, -2794), (-166, 614, 9)]
[(-15005, 5942, -2794), (-166, 614, 9)]
[(-15005, 5942, -2794), (-166, 614, 9)]
[(-14987, 5939, -2830), (-119, 532, 25)]
[(-14987, 5939, -2830), (-119, 532, 25)]
[(-14987, 5939, -2830), (-119, 532, 25)]
[(-14987, 5939, -2830), (-119, 532, 25)]
[(-14987, 5939, -2830), (-119, 532, 25)]
[(-14987, 5939, -2830), (-119, 532, 25)]
[(-14967, 5960, -2795), (-169, 444, 71)]
[(-14967, 5960, -2795), (-169, 444, 71)]
[(-14967, 5960, -2795), (-169, 444, 71)]
[(-14967, 5960, -2795), (-169, 444, 71)]
[(-14967, 5960, -2795), (-169, 444, 71)]
[(-14970, 5976, -2829), (-194, 411, 93)]
[(-14970, 5976, -2829), (-194, 411, 93)]
[(-14970, 5976, -2829), (-194, 411, 93)]
[(-14970, 5976, -2829), (-194, 411, 93)]
[(-14970, 5976, -2829), (-194, 411, 93)]
[(-14970, 5976, -2829), (-194, 411, 93)]
[(-14970, 5976, -2829), (-194, 411, 93)]
[(-14974, 5976, -2833), (-175, 392, 85)]
[(-14974, 5976, -2833), (-175, 392, 85)]
[(-14974, 5976, -2833), (-175, 392, 85)]
[(-14974, 5976, -2833), (-175, 392, 85)]
[(-14974, 5976, -2833), (-175, 392, 85)]
[(-14974, 5976, -2833), (-175, 392, 85)]
[(-14968, 5950, -2841), (-167, 370, 73)]
[(-14968, 5950, -2841), (-167, 370, 73)]
[(-14968, 5950, -2841), (-167, 370, 73)]
[(-14968, 5950, -2841), (-167, 370, 73)]
[(-14968, 5950, -2841), (-167, 370, 73)]
[(-14964, 5934, -2812), (-153, 365, 71)]
[(-14964, 5934, -2812), (-153, 365, 71)]
[(-14964, 5934, -2812), (-153, 365, 71)]
[(-14964, 5934, -2812), (-153, 365, 71)]
[(-14964, 5934, -2812), (-153, 365, 71)]
[(-14992, 5936, -2851), (-123, 367, 73)]
[(-14992, 5936, -2851), (-123, 367, 73)]
[(-14992, 5936, -2851), (-123, 367, 73)]
[(-14992, 5936, -2851), (-123, 367, 73)]
[(-14992, 5936, -2851), (-123, 367, 73)]
[(-14992, 5936, -2851), (-123, 367, 73)]
[(-14992, 5936, -2851), (-123, 367, 73)]
[(-14992, 5936, -2851), (-123, 367, 73)]
[(-14996, 5959, -2881), (-123, 391, 72)]
[(-14996, 5959, -2881), (-123, 391, 72)]
[(-14996, 5959, -2881), (-123, 391, 72)]
[(-14996, 5959, -2881), (-123, 391, 72)]
[(-14996, 5959, -2881), (-123, 391, 72)]
[(-14968, 5951, -2888), (-87, 369, 77)]
[(-14968, 5951, -2888), (-87, 369, 77)]
[(-14968, 5951, -2888), (-87, 369, 77)]
[(-14968, 5951, -2888), (-87, 369, 77)]
[(-14968, 5951, -2888), (-87, 369, 77)]
[(-14967, 5969, -2880), (-32, 297, 103)]
[(-14967, 5969, -2880), (-32, 297, 103)]
[(-14967, 5969, -2880), (-32, 297, 103)]
[(-14967, 5969, -2880), (-32, 297, 103)]
[(-14967, 5969, -2880), (-32, 297, 103)]
[(-14967, 5969, -2880), (-32, 297, 103)]
[(-14967, 5969, -2880), (-32, 297, 103)]
[(-14967, 5969, -2880), (-32, 297, 103)]
[(-14979, 5973, -2932), (8, 259, 77)]
[(-14979, 5973, -2932), (8, 259, 77)]
[(-14979, 5973, -2932), (8, 259, 77)]
[(-14979, 5973, -2932), (8, 259, 77)]
[(-14979, 5973, -2932), (8, 259, 77)]
[(-14952, 5971, -2927), (-132, 241, 112)]
[(-14952, 5971, -2927), (-132, 241, 112)]
[(-14952, 5971, -2927), (-132, 241, 112)]
[(-14952, 5971, -2927), (-132, 241, 112)]
[(-14952, 5971, -2927), (-132, 241, 112)]
[(-14967, 5954, -2888), (-103, 289, 133)]
[(-14967, 5954, -2888), (-103, 289, 133)]
[(-14967, 5954, -2888), (-103, 289, 133)]
[(-14967, 5954, -2888), (-103, 289, 133)]
[(-14967, 5954, -2888), (-103, 289, 133)]
[(-14967, 5954, -2888), (-103, 289, 133)]
[(-14967, 5954, -2888), (-103, 289, 133)]
[(-14923, 5988, -2881), (-172, 266, 79)]
[(-14923, 5988, -2881), (-172, 266, 79)]
[(-14923, 5988, -2881), (-172, 266, 79)]
[(-14923, 5988, -2881), (-172, 266, 79)]
[(-14923, 5988, -2881), (-172, 266, 79)]
[(-14954, 5976, -2865), (-171, 314, 70)]
[(-14954, 5976, -2865), (-171, 314, 70)]
[(-14954, 5976, -2865), (-171, 314, 70)]
[(-14954, 5976, -2865), (-171, 314, 70)]
[(-14954, 5976, -2865), (-171, 314, 70)]
[(-14945, 6045, -2818), (-151, 283, 68)]
[(-14945, 6045, -2818), (-151, 283, 68)]
[(-14945, 6045, -2818), (-151, 283, 68)]
[(-14945, 6045, -2818), (-151, 283, 68)]
[(-14945, 6045, -2818), (-151, 283, 68)]
[(-14945, 6045, -2818), (-151, 283, 68)]
[(-14945, 6045, -2818), (-151, 283, 68)]
[(-14945, 6045, -2818), (-151, 283, 68)]
[(-14945, 6045, -2818), (-151, 283, 68)]
[(-14952, 6029, -2760), (-129, 304, 56)]
[(-14952, 6029, -2760), (-129, 304, 56)]
