[(-15408, 4596, -2632), (-166, 399, 10)]
[(-15405, 4598, -2626), (-141, 413, 24)]
[(-15417, 4578, -2588), (-131, 429, 36)]
[(-15417, 4578, -2588), (-131, 429, 36)]
[(-15417, 4578, -2588), (-131, 429, 36)]
[(-15417, 4578, -2588), (-131, 429, 36)]
[(-15417, 4578, -2588), (-131, 429, 36)]
[(-15399, 4582, -2592), (-113, 447, 41)]
[(-15399, 4582, -2592), (-113, 447, 41)]
[(-15399, 4582, -2592), (-113, 447, 41)]
[(-15399, 4582, -2592), (-113, 447, 41)]
[(-15399, 4582, -2592), (-113, 447, 41)]
[(-15399, 4582, -2592), (-113, 447, 41)]
[(-15411, 4592, -2585), (-140, 437, 54)]
[(-15411, 4592, -2585), (-140, 437, 54)]
[(-15411, 4592, -2585), (-140, 437, 54)]
[(-15411, 4592, -2585), (-140, 437, 54)]
[(-15411, 4592, -2585), (-140, 437, 54)]
[(-15404, 4612, -2586), (-131, 382, 54)]
[(-15404, 4612, -2586), (-131, 382, 54)]
[(-15404, 4612, -2586), (-131, 382, 54)]
[(-15404, 4612, -2586), (-131, 382, 54)]
[(-15404, 4612, -2586), (-131, 382, 54)]
[(-15404, 4612, -2586), (-131, 382, 54)]
[(-15404, 4612, -2586), (-131, 382, 54)]
[(-15404, 4612, -2586), (-131, 382, 54)]
[(-15404, 4618, -2610), (-149, 387, 42)]
[(-15404, 4618, -2610), (-149, 387, 42)]
[(-15404, 4618, -2610), (-149, 387, 42)]
[(-15404, 4618, -2610), (-149, 387, 42)]
[(-15404, 4618, -2610), (-149, 387, 42)]
[(-15387, 4608, -2608), (-156, 387, 36)]
[(-15387, 4608, -2608), (-156, 387, 36)]
[(-15387, 4608, -2608), (-156, 387, 36)]
[(-15387, 4608, -2608), (-156, 387, 36)]
[(-15387, 4608, -2608), (-156, 387, 36)]
[(-15400, 4603, -2592), (-197, 402, 25)]
[(-15400, 4603, -2592), (-197, 402, 25)]
[(-15400, 4603, -2592), (-197, 402, 25)]
[(-15400, 4603, -2592), (-197, 402, 25)]
[(-15400, 4603, -2592), (-197, 402, 25)]
[(-15400, 4603, -2592), (-197, 402, 25)]
[(-15400, 4603, -2592), (-197, 402, 25)]
[(-15400, 4603, -2592), (-197, 402, 25)]
[(-15396, 4614, -2611), (-179, 411, 30)]
[(-15396, 4614, -2611), (-179, 411, 30)]
[(-15396, 4614, -2611), (-179, 411, 30)]
[(-15396, 4614, -2611), (-179, 411, 30)]
[(-15396, 4614, -2611), (-179, 411, 30)]
[(-15404, 4629, -2653), (-200, 440, 48)]
[(-15404, 4629, -2653), (-200, 440, 48)]
[(-15404, 4629, -2653), (-200, 440, 48)]
[(-15404, 4629, -2653), (-200, 440, 48)]
