[(-15215, 3308, -5205), (-250, 251, -16)]
[(-15222, 3321, -5200), (-474, 353, 24)]
[(-15222, 3321, -5200), (-474, 353, 24)]
[(-15222, 3321, -5200), (-474, 353, 24)]
[(-15222, 3321, -5200), (-474, 353, 24)]
[(-15211, 3358, -5247), (-623, 439, 47)]
[(-15211, 3358, -5247), (-623, 439, 47)]
[(-15211, 3358, -5247), (-623, 439, 47)]
[(-15211, 3358, -5247), (-623, 439, 47)]
[(-15211, 3358, -5247), (-623, 439, 47)]
[(-15211, 3358, -5247), (-623, 439, 47)]
[(-15186, 3396, -5271), (-707, 460, 44)]
[(-15186, 3396, -5271), (-707, 460, 44)]
[(-15186, 3396, -5271), (-707, 460, 44)]
[(-15186, 3396, -5271), (-707, 460, 44)]
[(-15186, 3396, -5271), (-707, 460, 44)]
[(-15186, 3396, -5271), (-707, 460, 44)]
[(-15186, 3396, -5271), (-707, 460, 44)]
[(-15161, 3424, -5312), (-763, 479, 50)]
[(-15161, 3424, -5312), (-763, 479, 50)]
[(-15161, 3424, -5312), (-763, 479, 50)]
[(-15161, 3424, -5312), (-763, 479, 50)]
[(-15161, 3424, -5312), (-763, 479, 50)]
[(-15176, 3434, -5313), (-551, 369, -13)]
[(-15176, 3434, -5313), (-551, 369, -13)]
[(-15176, 3434, -5313), (-551, 369, -13)]
[(-15176, 3434, -5313), (-551, 369, -13)]
[(-15176, 3434, -5313), (-551, 369, -13)]
[(-15176, 3434, -5313), (-551, 369, -13)]
[(-15177, 3450, -5341), (-486, 306, -18)]
[(-15177, 3450, -5341), (-486, 306, -18)]
[(-15177, 3450, -5341), (-486, 306, -18)]
[(-15177, 3450, -5341), (-486, 306, -18)]
[(-15177, 3450, -5341), (-486, 306, -18)]
[(-15177, 3450, -5341), (-486, 306, -18)]
[(-15177, 3450, -5341), (-486, 306, -18)]
[(-15133, 3448, -5332), (-453, 303, -24)]
[(-15133, 3448, -5332), (-453, 303, -24)]
[(-15133, 3448, -5332), (-453, 303, -24)]
[(-15133, 3448, -5332), (-453, 303, -24)]
[(-15133, 3448, -5332), (-453, 303, -24)]
[(-15142, 3451, -5331), (-347, 285, -31)]
[(-15142, 3451, -5331), (-347, 285, -31)]
[(-15142, 3451, -5331), (-347, 285, -31)]
[(-15142, 3451, -5331), (-347, 285, -31)]
[(-15142, 3451, -5331), (-347, 285, -31)]
[(-15158, 3464, -5362), (-306, 283, -28)]
[(-15158, 3464, -5362), (-306, 283, -28)]
[(-15158, 3464, -5362), (-306, 283, -28)]
[(-15158, 3464, -5362), (-306, 283, -28)]
[(-15158, 3464, -5362), (-306, 283, -28)]
[(-15158, 3464, -5362), (-306, 283, -28)]
[(-15158, 3464, -5362), (-306, 283, -28)]
[(-15152, 3470, -5374), (-314, 275, -22)]
[(-15152, 3470, -5374), (-314, 275, -22)]
[(-15152, 3470, -5374), (-314, 275, -22)]
[(-15152, 3470, -5374), (-314, 275, -22)]
[(-15152, 3470, -5374), (-314, 275, -22)]
[(-15137, 3428, -5276), (97, 64, -68)]
[(-15137, 3428, -5276), (97, 64, -68)]
[(-15137, 3428, -5276), (97, 64, -68)]
[(-15137, 3428, -5276), (97, 64, -68)]
[(-15137, 3428, -5276), (97, 64, -68)]
[(-15137, 3428, -5276), (97, 64, -68)]
[(-15140, 3429, -5310), (307, 21, -43)]
[(-15140, 3429, -5310), (307, 21, -43)]
[(-15140, 3429, -5310), (307, 21, -43)]
[(-15140, 3429, -5310), (307, 21, -43)]
[(-15140, 3429, -5310), (307, 21, -43)]
