[(-15144, 3644, -5189), (107, 5, -16)]
[(-15180, 3601, -5100), (479, -152, -35)]
[(-15180, 3601, -5100), (479, -152, -35)]
[(-15180, 3601, -5100), (479, -152, -35)]
[(-15180, 3601, -5100), (479, -152, -35)]
[(-15210, 3527, -5049), (411, -71, -22)]
[(-15210, 3527, -5049), (411, -71, -22)]
[(-15210, 3527, -5049), (411, -71, -22)]
[(-15210, 3527, -5049), (411, -71, -22)]
[(-15210, 3527, -5049), (411, -71, -22)]
[(-15210, 3527, -5049), (411, -71, -22)]
[(-15216, 3470, -5012), (256, 24, -6)]
[(-15216, 3470, -5012), (256, 24, -6)]
[(-15216, 3470, -5012), (256, 24, -6)]
[(-15216, 3470, -5012), (256, 24, -6)]
[(-15216, 3470, -5012), (256, 24, -6)]
[(-15228, 3464, -5001), (166, 68, 19)]
[(-15228, 3464, -5001), (166, 68, 19)]
[(-15228, 3464, -5001), (166, 68, 19)]
[(-15228, 3464, -5001), (166, 68, 19)]
[(-15228, 3464, -5001), (166, 68, 19)]
[(-15228, 3464, -5001), (166, 68, 19)]
[(-15228, 3464, -5001), (166, 68, 19)]
[(-15248, 3444, -4966), (68, 113, 29)]
[(-15248, 3444, -4966), (68, 113, 29)]
[(-15248, 3444, -4966), (68, 113, 29)]
[(-15248, 3444, -4966), (68, 113, 29)]
[(-15248, 3444, -4966), (68, 113, 29)]
[(-15248, 3444, -4966), (68, 113, 29)]
[(-15268, 3442, -4995), (15, 139, 32)]
[(-15268, 3442, -4995), (15, 139, 32)]
[(-15268, 3442, -4995), (15, 139, 32)]
[(-15268, 3442, -4995), (15, 139, 32)]
[(-15268, 3442, -4995), (15, 139, 32)]
[(-15268, 3442, -4995), (15, 139, 32)]
[(-15268, 3442, -4995), (15, 139, 32)]
[(-15284, 3425, -4988), (-26, 177, 33)]
[(-15284, 3425, -4988), (-26, 177, 33)]
[(-15284, 3425, -4988), (-26, 177, 33)]
[(-15292, 3397, -4971), (-10, 142, 34)]
[(-15292, 3397, -4971), (-10, 142, 34)]
[(-15292, 3397, -4971), (-10, 142, 34)]
[(-15292, 3397, -4971), (-10, 142, 34)]
[(-15292, 3397, -4971), (-10, 142, 34)]
[(-15292, 3397, -4971), (-10, 142, 34)]
[(-15292, 3397, -4971), (-10, 142, 34)]
[(-15292, 3397, -4971), (-10, 142, 34)]
[(-15292, 3397, -4971), (-10, 142, 34)]
[(-15279, 3404, -4941), (-47, 164, 58)]
[(-15279, 3404, -4941), (-47, 164, 58)]
[(-15279, 3404, -4941), (-47, 164, 58)]
[(-15304, 3414, -4914), (-122, 98, 87)]
[(-15304, 3414, -4914), (-122, 98, 87)]
[(-15304, 3414, -4914), (-122, 98, 87)]
[(-15304, 3414, -4914), (-122, 98, 87)]
[(-15304, 3414, -4914), (-122, 98, 87)]
[(-15304, 3414, -4914), (-122, 98, 87)]
[(-15299, 3445, -4873), (-121, 139, 80)]
[(-15299, 3445, -4873), (-121, 139, 80)]
[(-15299, 3445, -4873), (-121, 139, 80)]
[(-15299, 3445, -4873), (-121, 139, 80)]
[(-15299, 3445, -4873), (-121, 139, 80)]
