[(-15191, 3718, -5147), (261, -31, -23)]
[(-15197, 3664, -5131), (388, -92, -26)]
[(-15197, 3664, -5131), (388, -92, -26)]
[(-15182, 3625, -5080), (401, -8, -10)]
[(-15182, 3625, -5080), (401, -8, -10)]
[(-15182, 3625, -5080), (401, -8, -10)]
[(-15182, 3625, -5080), (401, -8, -10)]
[(-15182, 3625, -5080), (401, -8, -10)]
[(-15182, 3625, -5080), (401, -8, -10)]
[(-15182, 3625, -5080), (401, -8, -10)]
[(-15194, 3588, -5064), (269, 68, 19)]
[(-15194, 3588, -5064), (269, 68, 19)]
[(-15194, 3588, -5064), (269, 68, 19)]
[(-15194, 3588, -5064), (269, 68, 19)]
[(-15194, 3588, -5064), (269, 68, 19)]
[(-15194, 3588, -5064), (269, 68, 19)]
[(-15194, 3588, -5064), (269, 68, 19)]
[(-15177, 3546, -5045), (163, 105, 13)]
[(-15177, 3546, -5045), (163, 105, 13)]
[(-15177, 3546, -5045), (163, 105, 13)]
[(-15177, 3546, -5045), (163, 105, 13)]
[(-15210, 3512, -5040), (95, 106, -9)]
[(-15210, 3512, -5040), (95, 106, -9)]
[(-15210, 3512, -5040), (95, 106, -9)]
[(-15210, 3512, -5040), (95, 106, -9)]
[(-15210, 3512, -5040), (95, 106, -9)]
[(-15210, 3512, -5040), (95, 106, -9)]
[(-15210, 3512, -5040), (95, 106, -9)]
[(-15204, 3496, -5020), (28, 127, -4)]
[(-15204, 3496, -5020), (28, 127, -4)]
[(-15204, 3496, -5020), (28, 127, -4)]
[(-15204, 3496, -5020), (28, 127, -4)]
[(-15204, 3496, -5020), (28, 127, -4)]
[(-15208, 3493, -4972), (-12, 152, 15)]
[(-15208, 3493, -4972), (-12, 152, 15)]
[(-15208, 3493, -4972), (-12, 152, 15)]
[(-15208, 3493, -4972), (-12, 152, 15)]
[(-15208, 3493, -4972), (-12, 152, 15)]
[(-15208, 3493, -4972), (-12, 152, 15)]
[(-15215, 3456, -4953), (-42, 182, 12)]
[(-15215, 3456, -4953), (-42, 182, 12)]
[(-15215, 3456, -4953), (-42, 182, 12)]
[(-15215, 3456, -4953), (-42, 182, 12)]
[(-15215, 3456, -4953), (-42, 182, 12)]
[(-15215, 3456, -4953), (-42, 182, 12)]
[(-15215, 3456, -4953), (-42, 182, 12)]
[(-15251, 3464, -4929), (-78, 160, -5)]
[(-15251, 3464, -4929), (-78, 160, -5)]
[(-15251, 3464, -4929), (-78, 160, -5)]
[(-15251, 3464, -4929), (-78, 160, -5)]
[(-15240, 3453, -4939), (-140, 195, -9)]
[(-15240, 3453, -4939), (-140, 195, -9)]
[(-15240, 3453, -4939), (-140, 195, -9)]
[(-15240, 3453, -4939), (-140, 195, -9)]
[(-15240, 3453, -4939), (-140, 195, -9)]
[(-15240, 3453, -4939), (-140, 195, -9)]
[(-15259, 3455, -4899), (-209, 113, 16)]
[(-15259, 3455, -4899), (-209, 113, 16)]
[(-15259, 3455, -4899), (-209, 113, 16)]
[(-15259, 3455, -4899), (-209, 113, 16)]
[(-15259, 3455, -4899), (-209, 113, 16)]
[(-15259, 3455, -4899), (-209, 113, 16)]
[(-15259, 3455, -4899), (-209, 113, 16)]
[(-15258, 3441, -4875), (-229, 118, 36)]
[(-15258, 3441, -4875), (-229, 118, 36)]
[(-15258, 3441, -4875), (-229, 118, 36)]
[(-15258, 3441, -4875), (-229, 118, 36)]
[(-15258, 3441, -4875), (-229, 118, 36)]
[(-15278, 3440, -4816), (-170, 199, 22)]
[(-15278, 3440, -4816), (-170, 199, 22)]
[(-15278, 3440, -4816), (-170, 199, 22)]
[(-15278, 3440, -4816), (-170, 199, 22)]
[(-15278, 3440, -4816), (-170, 199, 22)]
