[(-15370, 3244, -4563), (-340, 372, 50)]
[(-15357, 3256, -4587), (-446, 457, 81)]
[(-15329, 3292, -4591), (-411, 347, -9)]
[(-15329, 3292, -4591), (-411, 347, -9)]
[(-15329, 3292, -4591), (-411, 347, -9)]
[(-15329, 3292, -4591), (-411, 347, -9)]
[(-15329, 3292, -4591), (-411, 347, -9)]
[(-15313, 3285, -4608), (-382, 341, -36)]
[(-15313, 3285, -4608), (-382, 341, -36)]
[(-15313, 3285, -4608), (-382, 341, -36)]
[(-15313, 3285, -4608), (-382, 341, -36)]
[(-15313, 3285, -4608), (-382, 341, -36)]
[(-15313, 3285, -4608), (-382, 341, -36)]
[(-15313, 3285, -4608), (-382, 341, -36)]
[(-15332, 3284, -4627), (-380, 340, -8)]
[(-15332, 3284, -4627), (-380, 340, -8)]
[(-15332, 3284, -4627), (-380, 340, -8)]
[(-15332, 3284, -4627), (-380, 340, -8)]
[(-15332, 3284, -4627), (-380, 340, -8)]
[(-15332, 3284, -4627), (-380, 340, -8)]
[(-15313, 3297, -4668), (-296, 315, 32)]
[(-15313, 3297, -4668), (-296, 315, 32)]
[(-15313, 3297, -4668), (-296, 315, 32)]
[(-15313, 3297, -4668), (-296, 315, 32)]
[(-15313, 3297, -4668), (-296, 315, 32)]
[(-15306, 3320, -4703), (-338, 326, 27)]
[(-15306, 3320, -4703), (-338, 326, 27)]
[(-15306, 3320, -4703), (-338, 326, 27)]
[(-15306, 3320, -4703), (-338, 326, 27)]
[(-15306, 3320, -4703), (-338, 326, 27)]
[(-15306, 3320, -4703), (-338, 326, 27)]
[(-15306, 3320, -4703), (-338, 326, 27)]
[(-15288, 3318, -4712), (-230, 353, 22)]
[(-15288, 3318, -4712), (-230, 353, 22)]
[(-15288, 3318, -4712), (-230, 353, 22)]
[(-15288, 3318, -4712), (-230, 353, 22)]
[(-15288, 3318, -4712), (-230, 353, 22)]
[(-15314, 3356, -4727), (-124, 371, 28)]
[(-15314, 3356, -4727), (-124, 371, 28)]
[(-15314, 3356, -4727), (-124, 371, 28)]
[(-15314, 3356, -4727), (-124, 371, 28)]
[(-15314, 3356, -4727), (-124, 371, 28)]
[(-15299, 3371, -4748), (-76, 373, 35)]
[(-15299, 3371, -4748), (-76, 373, 35)]
[(-15299, 3371, -4748), (-76, 373, 35)]
[(-15299, 3371, -4748), (-76, 373, 35)]
[(-15299, 3371, -4748), (-76, 373, 35)]
[(-15299, 3371, -4748), (-76, 373, 35)]
[(-15291, 3370, -4751), (-118, 374, 38)]
[(-15291, 3370, -4751), (-118, 374, 38)]
[(-15291, 3370, -4751), (-118, 374, 38)]
[(-15291, 3370, -4751), (-118, 374, 38)]
[(-15291, 3370, -4751), (-118, 374, 38)]
[(-15291, 3370, -4751), (-118, 374, 38)]
[(-15291, 3370, -4751), (-118, 374, 38)]
[(-15283, 3382, -4752), (-87, 335, 35)]
[(-15283, 3382, -4752), (-87, 335, 35)]
[(-15283, 3382, -4752), (-87, 335, 35)]
[(-15283, 3382, -4752), (-87, 335, 35)]
[(-15283, 3382, -4752), (-87, 335, 35)]
