[(-15255, 3599, -4805), (-188, 309, 27)]
[(-15256, 3584, -4834), (-263, 357, 33)]
[(-15256, 3584, -4834), (-263, 357, 33)]
[(-15256, 3584, -4834), (-263, 357, 33)]
[(-15256, 3584, -4834), (-263, 357, 33)]
[(-15235, 3601, -4832), (-441, 431, 56)]
[(-15235, 3601, -4832), (-441, 431, 56)]
[(-15235, 3601, -4832), (-441, 431, 56)]
[(-15235, 3601, -4832), (-441, 431, 56)]
[(-15235, 3601, -4832), (-441, 431, 56)]
[(-15223, 3637, -4886), (-386, 369, 55)]
[(-15223, 3637, -4886), (-386, 369, 55)]
[(-15223, 3637, -4886), (-386, 369, 55)]
[(-15223, 3637, -4886), (-386, 369, 55)]
[(-15223, 3637, -4886), (-386, 369, 55)]
[(-15223, 3637, -4886), (-386, 369, 55)]
[(-15223, 3637, -4886), (-386, 369, 55)]
[(-15218, 3648, -4902), (-339, 299, 40)]
[(-15218, 3648, -4902), (-339, 299, 40)]
[(-15218, 3648, -4902), (-339, 299, 40)]
[(-15218, 3648, -4902), (-339, 299, 40)]
[(-15218, 3648, -4902), (-339, 299, 40)]
[(-15218, 3648, -4902), (-339, 299, 40)]
[(-15231, 3657, -4879), (-302, 277, 24)]
[(-15231, 3657, -4879), (-302, 277, 24)]
[(-15231, 3657, -4879), (-302, 277, 24)]
[(-15231, 3657, -4879), (-302, 277, 24)]
[(-15231, 3657, -4879), (-302, 277, 24)]
[(-15228, 3675, -4876), (-288, 241, 63)]
[(-15228, 3675, -4876), (-288, 241, 63)]
[(-15228, 3675, -4876), (-288, 241, 63)]
[(-15228, 3675, -4876), (-288, 241, 63)]
[(-15228, 3675, -4876), (-288, 241, 63)]
[(-15228, 3675, -4876), (-288, 241, 63)]
[(-15228, 3675, -4876), (-288, 241, 63)]
[(-15204, 3693, -4855), (-261, 247, 78)]
[(-15204, 3693, -4855), (-261, 247, 78)]
[(-15204, 3693, -4855), (-261, 247, 78)]
[(-15204, 3693, -4855), (-261, 247, 78)]
[(-15204, 3693, -4855), (-261, 247, 78)]
[(-15204, 3693, -4855), (-261, 247, 78)]
[(-15200, 3707, -4897), (-211, 269, 70)]
[(-15200, 3707, -4897), (-211, 269, 70)]
[(-15200, 3707, -4897), (-211, 269, 70)]
[(-15200, 3707, -4897), (-211, 269, 70)]
[(-15200, 3707, -4897), (-211, 269, 70)]
[(-15211, 3716, -4894), (-213, 271, 65)]
[(-15211, 3716, -4894), (-213, 271, 65)]
[(-15211, 3716, -4894), (-213, 271, 65)]
[(-15211, 3716, -4894), (-213, 271, 65)]
[(-15211, 3716, -4894), (-213, 271, 65)]
[(-15211, 3716, -4894), (-213, 271, 65)]
[(-15218, 3704, -4876), (-249, 261, 54)]
[(-15218, 3704, -4876), (-249, 261, 54)]
[(-15218, 3704, -4876), (-249, 261, 54)]
[(-15218, 3704, -4876), (-249, 261, 54)]
[(-15218, 3704, -4876), (-249, 261, 54)]
[(-15218, 3704, -4876), (-249, 261, 54)]
[(-15218, 3704, -4876), (-249, 261, 54)]
[(-15232, 3697, -4848), (-223, 265, 58)]
[(-15232, 3697, -4848), (-223, 265, 58)]
[(-15232, 3697, -4848), (-223, 265, 58)]
[(-15232, 3697, -4848), (-223, 265, 58)]
[(-15232, 3697, -4848), (-223, 265, 58)]
[(-15232, 3697, -4848), (-223, 265, 58)]
[(-15239, 3713, -4869), (-241, 269, 52)]
[(-15239, 3713, -4869), (-241, 269, 52)]
[(-15239, 3713, -4869), (-241, 269, 52)]
[(-15239, 3713, -4869), (-241, 269, 52)]
[(-15239, 3713, -4869), (-241, 269, 52)]
[(-15221, 3713, -4845), (-185, 174, 63)]
[(-15221, 3713, -4845), (-185, 174, 63)]
[(-15221, 3713, -4845), (-185, 174, 63)]
[(-15221, 3713, -4845), (-185, 174, 63)]
[(-15221, 3713, -4845), (-185, 174, 63)]
[(-15219, 3716, -4826), (-185, 189, 36)]
[(-15219, 3716, -4826), (-185, 189, 36)]
[(-15219, 3716, -4826), (-185, 189, 36)]
[(-15219, 3716, -4826), (-185, 189, 36)]
[(-15219, 3716, -4826), (-185, 189, 36)]
[(-15232, 3716, -4865), (-188, 192, 40)]
[(-15232, 3716, -4865), (-188, 192, 40)]
[(-15232, 3716, -4865), (-188, 192, 40)]
[(-15232, 3716, -4865), (-188, 192, 40)]
[(-15232, 3716, -4865), (-188, 192, 40)]
[(-15232, 3716, -4865), (-188, 192, 40)]
[(-15217, 3721, -4872), (-175, 226, 28)]
[(-15217, 3721, -4872), (-175, 226, 28)]
[(-15217, 3721, -4872), (-175, 226, 28)]
[(-15217, 3721, -4872), (-175, 226, 28)]
[(-15217, 3721, -4872), (-175, 226, 28)]
[(-15217, 3721, -4872), (-175, 226, 28)]
[(-15217, 3721, -4872), (-175, 226, 28)]
[(-15200, 3714, -4844), (-225, 257, 28)]
