[(-14014, 5482, -7230), (-107, 114, -28)]
[(-14020, 5466, -7226), (-91, 121, -26)]
[(-14020, 5466, -7226), (-91, 121, -26)]
[(-14016, 5458, -7214), (-61, 123, -30)]
[(-14016, 5458, -7214), (-61, 123, -30)]
[(-14016, 5458, -7214), (-61, 123, -30)]
[(-14016, 5458, -7214), (-61, 123, -30)]
[(-14016, 5458, -7214), (-61, 123, -30)]
[(-14016, 5458, -7214), (-61, 123, -30)]
[(-14016, 5458, -7214), (-61, 123, -30)]
[(-14000, 5459, -7199), (-149, 150, -47)]
[(-14000, 5459, -7199), (-149, 150, -47)]
[(-14000, 5459, -7199), (-149, 150, -47)]
[(-14000, 5459, -7199), (-149, 150, -47)]
[(-14000, 5459, -7199), (-149, 150, -47)]
[(-14000, 5459, -7199), (-149, 150, -47)]
[(-14011, 5452, -7220), (-465, 426, -131)]
[(-14011, 5452, -7220), (-465, 426, -131)]
[(-14011, 5452, -7220), (-465, 426, -131)]
[(-14011, 5452, -7220), (-465, 426, -131)]
[(-14011, 5452, -7220), (-465, 426, -131)]
[(-13986, 5464, -7237), (-639, 961, -221)]
[(-13986, 5464, -7237), (-639, 961, -221)]
[(-13986, 5464, -7237), (-639, 961, -221)]
[(-13986, 5464, -7237), (-639, 961, -221)]
[(-13986, 5464, -7237), (-639, 961, -221)]
[(-13986, 5464, -7237), (-639, 961, -221)]
[(-13986, 5464, -7237), (-639, 961, -221)]
[(-13973, 5410, -7331), (-474, 747, -262)]
[(-13973, 5410, -7331), (-474, 747, -262)]
[(-13973, 5410, -7331), (-474, 747, -262)]
[(-13973, 5410, -7331), (-474, 747, -262)]
[(-13973, 5410, -7331), (-474, 747, -262)]
[(-13953, 5401, -7396), (-381, 598, -242)]
[(-13953, 5401, -7396), (-381, 598, -242)]
[(-13953, 5401, -7396), (-381, 598, -242)]
[(-13953, 5401, -7396), (-381, 598, -242)]
[(-13953, 5401, -7396), (-381, 598, -242)]
[(-13953, 5401, -7396), (-381, 598, -242)]
[(-13939, 5376, -7452), (-306, 481, -195)]
[(-13939, 5376, -7452), (-306, 481, -195)]
