[(-13431, 5922, -8025), (-114, 147, 42)]
[(-13433, 5924, -8022), (-150, 129, 35)]
[(-13433, 5924, -8022), (-150, 129, 35)]
[(-13433, 5924, -8022), (-150, 129, 35)]
[(-13433, 5924, -8022), (-150, 129, 35)]
[(-13433, 5924, -8022), (-150, 129, 35)]
[(-13433, 5924, -8022), (-150, 129, 35)]
[(-13426, 5952, -7995), (-171, 91, 64)]
[(-13426, 5952, -7995), (-171, 91, 64)]
[(-13426, 5952, -7995), (-171, 91, 64)]
[(-13426, 5952, -7995), (-171, 91, 64)]
[(-13453, 5949, -7954), (-173, 84, 43)]
[(-13453, 5949, -7954), (-173, 84, 43)]
[(-13453, 5949, -7954), (-173, 84, 43)]
[(-13453, 5949, -7954), (-173, 84, 43)]
[(-13453, 5949, -7954), (-173, 84, 43)]
[(-13437, 5976, -7948), (-138, 87, 40)]
[(-13437, 5976, -7948), (-138, 87, 40)]
[(-13437, 5976, -7948), (-138, 87, 40)]
[(-13437, 5976, -7948), (-138, 87, 40)]
[(-13437, 5976, -7948), (-138, 87, 40)]
[(-13422, 5980, -7981), (-127, 96, 35)]
[(-13422, 5980, -7981), (-127, 96, 35)]
[(-13422, 5980, -7981), (-127, 96, 35)]
[(-13422, 5980, -7981), (-127, 96, 35)]
[(-13422, 5980, -7981), (-127, 96, 35)]
[(-13422, 5980, -7981), (-127, 96, 35)]
[(-13422, 5980, -7981), (-127, 96, 35)]
[(-13422, 5980, -7981), (-127, 96, 35)]
[(-13424, 5988, -7968), (-91, 71, 22)]
[(-13424, 5988, -7968), (-91, 71, 22)]
[(-13424, 5988, -7968), (-91, 71, 22)]
[(-13424, 5988, -7968), (-91, 71, 22)]
[(-13424, 5988, -7968), (-91, 71, 22)]
[(-13440, 5984, -7923), (-85, 68, 7)]
[(-13440, 5984, -7923), (-85, 68, 7)]
[(-13440, 5984, -7923), (-85, 68, 7)]
[(-13440, 5984, -7923), (-85, 68, 7)]
[(-13440, 5984, -7923), (-85, 68, 7)]
[(-13452, 5993, -7930), (-118, 105, -4)]
[(-13452, 5993, -7930), (-118, 105, -4)]
[(-13452, 5993, -7930), (-118, 105, -4)]
[(-13452, 5993, -7930), (-118, 105, -4)]
[(-13452, 5993, -7930), (-118, 105, -4)]
[(-13452, 5993, -7930), (-118, 105, -4)]
[(-13452, 5993, -7930), (-118, 105, -4)]
[(-13488, 5988, -7930), (-137, 108, 0)]
[(-13488, 5988, -7930), (-137, 108, 0)]
[(-13488, 5988, -7930), (-137, 108, 0)]
[(-13488, 5988, -7930), (-137, 108, 0)]
[(-13488, 5988, -7930), (-137, 108, 0)]
[(-13488, 5988, -7930), (-137, 108, 0)]
[(-13478, 6004, -7935), (-189, 128, 49)]
[(-13478, 6004, -7935), (-189, 128, 49)]
[(-13478, 6004, -7935), (-189, 128, 49)]
[(-13478, 6004, -7935), (-189, 128, 49)]
[(-13478, 6004, -7935), (-189, 128, 49)]
[(-13493, 5988, -7904), (-145, 120, 98)]
[(-13493, 5988, -7904), (-145, 120, 98)]
[(-13493, 5988, -7904), (-145, 120, 98)]
[(-13493, 5988, -7904), (-145, 120, 98)]
[(-13493, 5988, -7904), (-145, 120, 98)]
[(-13493, 5988, -7904), (-145, 120, 98)]
[(-13493, 5988, -7904), (-145, 120, 98)]
