[(-14258, 4881, -7111), (-15, 218, -14)]
[(-14251, 4884, -7121), (29, 236, -6)]
[(-14251, 4884, -7121), (29, 236, -6)]
[(-14251, 4884, -7121), (29, 236, -6)]
[(-14277, 4831, -7123), (69, 54, 51)]
[(-14277, 4831, -7123), (69, 54, 51)]
[(-14277, 4831, -7123), (69, 54, 51)]
[(-14277, 4831, -7123), (69, 54, 51)]
[(-14277, 4831, -7123), (69, 54, 51)]
[(-14277, 4831, -7123), (69, 54, 51)]
[(-14277, 4831, -7123), (69, 54, 51)]
[(-14275, 4845, -7121), (42, 101, 97)]
[(-14275, 4845, -7121), (42, 101, 97)]
[(-14275, 4845, -7121), (42, 101, 97)]
[(-14275, 4845, -7121), (42, 101, 97)]
[(-14275, 4845, -7121), (42, 101, 97)]
[(-14262, 4844, -7121), (-3, 190, 68)]
[(-14262, 4844, -7121), (-3, 190, 68)]
[(-14262, 4844, -7121), (-3, 190, 68)]
[(-14262, 4844, -7121), (-3, 190, 68)]
[(-14262, 4844, -7121), (-3, 190, 68)]
[(-14262, 4844, -7121), (-3, 190, 68)]
[(-14248, 4856, -7126), (0, 179, 44)]
[(-14248, 4856, -7126), (0, 179, 44)]
[(-14248, 4856, -7126), (0, 179, 44)]
[(-14248, 4856, -7126), (0, 179, 44)]
[(-14248, 4856, -7126), (0, 179, 44)]
[(-14246, 4875, -7166), (-42, 187, 28)]
[(-14246, 4875, -7166), (-42, 187, 28)]
[(-14246, 4875, -7166), (-42, 187, 28)]
[(-14246, 4875, -7166), (-42, 187, 28)]
[(-14246, 4875, -7166), (-42, 187, 28)]
[(-14246, 4875, -7166), (-42, 187, 28)]
[(-14246, 4875, -7166), (-42, 187, 28)]
[(-14244, 4860, -7146), (-33, 153, 51)]
[(-14244, 4860, -7146), (-33, 153, 51)]
[(-14244, 4860, -7146), (-33, 153, 51)]
[(-14244, 4860, -7146), (-33, 153, 51)]
[(-14244, 4860, -7146), (-33, 153, 51)]
[(-14244, 4860, -7146), (-33, 153, 51)]
[(-14227, 4878, -7156), (-63, 185, 40)]
[(-14227, 4878, -7156), (-63, 185, 40)]
[(-14227, 4878, -7156), (-63, 185, 40)]
[(-14227, 4878, -7156), (-63, 185, 40)]
[(-14227, 4878, -7156), (-63, 185, 40)]
[(-14237, 4900, -7205), (-45, 196, 39)]
[(-14237, 4900, -7205), (-45, 196, 39)]
[(-14237, 4900, -7205), (-45, 196, 39)]
[(-14237, 4900, -7205), (-45, 196, 39)]
[(-14237, 4900, -7205), (-45, 196, 39)]
[(-14237, 4900, -7205), (-45, 196, 39)]
[(-14237, 4900, -7205), (-45, 196, 39)]
[(-14252, 4900, -7215), (-60, 169, 21)]
[(-14252, 4900, -7215), (-60, 169, 21)]
[(-14252, 4900, -7215), (-60, 169, 21)]
[(-14252, 4900, -7215), (-60, 169, 21)]
[(-14252, 4900, -7215), (-60, 169, 21)]
[(-14244, 4877, -7216), (-56, 157, 34)]
[(-14244, 4877, -7216), (-56, 157, 34)]
[(-14244, 4877, -7216), (-56, 157, 34)]
[(-14244, 4877, -7216), (-56, 157, 34)]
[(-14244, 4877, -7216), (-56, 157, 34)]
[(-14244, 4868, -7178), (-97, 165, 2)]
[(-14244, 4868, -7178), (-97, 165, 2)]
[(-14244, 4868, -7178), (-97, 165, 2)]
[(-14244, 4868, -7178), (-97, 165, 2)]
[(-14244, 4868, -7178), (-97, 165, 2)]
[(-14244, 4868, -7178), (-97, 165, 2)]
[(-14244, 4868, -7178), (-97, 165, 2)]
[(-14215, 4879, -7204), (-112, 163, 17)]
[(-14215, 4879, -7204), (-112, 163, 17)]
[(-14215, 4879, -7204), (-112, 163, 17)]
[(-14215, 4879, -7204), (-112, 163, 17)]
[(-14215, 4879, -7204), (-112, 163, 17)]
[(-14215, 4879, -7204), (-112, 163, 17)]
[(-14264, 4860, -7177), (-103, 109, 26)]
[(-14264, 4860, -7177), (-103, 109, 26)]
[(-14264, 4860, -7177), (-103, 109, 26)]
[(-14264, 4860, -7177), (-103, 109, 26)]
