[(-14348, 4629, -7072), (75, 260, 46)]
[(-14357, 4610, -7131), (39, 153, 61)]
[(-14357, 4610, -7131), (39, 153, 61)]
[(-14357, 4610, -7131), (39, 153, 61)]
[(-14357, 4610, -7131), (39, 153, 61)]
[(-14360, 4626, -7115), (19, 143, 89)]
[(-14360, 4626, -7115), (19, 143, 89)]
[(-14360, 4626, -7115), (19, 143, 89)]
[(-14360, 4626, -7115), (19, 143, 89)]
[(-14360, 4626, -7115), (19, 143, 89)]
[(-14360, 4626, -7115), (19, 143, 89)]
[(-14360, 4626, -7115), (19, 143, 89)]
[(-14360, 4626, -7115), (19, 143, 89)]
[(-14355, 4631, -7105), (-26, 106, 98)]
[(-14355, 4631, -7105), (-26, 106, 98)]
[(-14355, 4631, -7105), (-26, 106, 98)]
[(-14355, 4631, -7105), (-26, 106, 98)]
[(-14355, 4631, -7105), (-26, 106, 98)]
[(-14318, 4690, -7099), (-74, 129, 56)]
[(-14318, 4690, -7099), (-74, 129, 56)]
[(-14318, 4690, -7099), (-74, 129, 56)]
[(-14318, 4690, -7099), (-74, 129, 56)]
[(-14318, 4690, -7099), (-74, 129, 56)]
[(-14324, 4628, -7080), (-102, 161, 51)]
[(-14324, 4628, -7080), (-102, 161, 51)]
[(-14324, 4628, -7080), (-102, 161, 51)]
[(-14324, 4628, -7080), (-102, 161, 51)]
[(-14324, 4628, -7080), (-102, 161, 51)]
[(-14324, 4628, -7080), (-102, 161, 51)]
[(-14324, 4628, -7080), (-102, 161, 51)]
[(-14324, 4628, -7080), (-102, 161, 51)]
[(-14303, 4660, -7081), (-30, 177, 47)]
[(-14303, 4660, -7081), (-30, 177, 47)]
[(-14303, 4660, -7081), (-30, 177, 47)]
[(-14303, 4660, -7081), (-30, 177, 47)]
[(-14303, 4660, -7081), (-30, 177, 47)]
[(-14303, 4660, -7081), (-30, 177, 47)]
[(-14303, 4660, -7081), (-30, 177, 47)]
[(-14313, 4681, -7087), (-15, 172, 38)]
[(-14313, 4681, -7087), (-15, 172, 38)]
[(-14313, 4681, -7087), (-15, 172, 38)]
[(-14317, 4660, -7103), (-35, 186, 25)]
[(-14317, 4660, -7103), (-35, 186, 25)]
[(-14317, 4660, -7103), (-35, 186, 25)]
[(-14317, 4660, -7103), (-35, 186, 25)]
[(-14317, 4660, -7103), (-35, 186, 25)]
[(-14317, 4660, -7103), (-35, 186, 25)]
[(-14317, 4660, -7103), (-35, 186, 25)]
[(-14317, 4660, -7103), (-35, 186, 25)]
[(-14324, 4664, -7097), (-69, 177, 18)]
[(-14324, 4664, -7097), (-69, 177, 18)]
[(-14324, 4664, -7097), (-69, 177, 18)]
[(-14324, 4664, -7097), (-69, 177, 18)]
[(-14324, 4683, -7083), (-114, 194, 17)]
[(-14324, 4683, -7083), (-114, 194, 17)]
[(-14324, 4683, -7083), (-114, 194, 17)]
[(-14324, 4683, -7083), (-114, 194, 17)]
[(-14324, 4683, -7083), (-114, 194, 17)]
[(-14337, 4688, -7066), (-111, 172, 13)]
[(-14337, 4688, -7066), (-111, 172, 13)]
[(-14337, 4688, -7066), (-111, 172, 13)]
[(-14337, 4688, -7066), (-111, 172, 13)]
[(-14337, 4688, -7066), (-111, 172, 13)]
[(-14337, 4688, -7066), (-111, 172, 13)]
[(-14337, 4688, -7066), (-111, 172, 13)]
[(-14337, 4688, -7066), (-111, 172, 13)]
[(-14337, 4688, -7066), (-111, 172, 13)]
[(-14316, 4716, -7048), (-137, 146, -9)]
[(-14316, 4716, -7048), (-137, 146, -9)]
[(-14316, 4716, -7048), (-137, 146, -9)]
[(-14316, 4716, -7048), (-137, 146, -9)]
[(-14284, 4690, -7042), (-103, 127, -18)]
[(-14284, 4690, -7042), (-103, 127, -18)]
[(-14284, 4690, -7042), (-103, 127, -18)]
[(-14284, 4690, -7042), (-103, 127, -18)]
