[(-14213, 4846, -7233), (233, 229, 115)]
[(-14276, 4786, -7142), (163, 72, 83)]
[(-14276, 4786, -7142), (163, 72, 83)]
[(-14276, 4786, -7142), (163, 72, 83)]
[(-14276, 4786, -7142), (163, 72, 83)]
[(-14276, 4786, -7142), (163, 72, 83)]
[(-14272, 4797, -7118), (111, 141, 81)]
[(-14272, 4797, -7118), (111, 141, 81)]
[(-14272, 4797, -7118), (111, 141, 81)]
[(-14272, 4797, -7118), (111, 141, 81)]
[(-14272, 4797, -7118), (111, 141, 81)]
[(-14280, 4830, -7082), (48, 144, 83)]
[(-14280, 4830, -7082), (48, 144, 83)]
[(-14280, 4830, -7082), (48, 144, 83)]
[(-14280, 4830, -7082), (48, 144, 83)]
[(-14280, 4830, -7082), (48, 144, 83)]
[(-14295, 4840, -7084), (33, 158, 47)]
[(-14295, 4840, -7084), (33, 158, 47)]
[(-14295, 4840, -7084), (33, 158, 47)]
[(-14295, 4840, -7084), (33, 158, 47)]
[(-14295, 4840, -7084), (33, 158, 47)]
[(-14295, 4840, -7084), (33, 158, 47)]
[(-14277, 4837, -7078), (-17, 167, 39)]
[(-14277, 4837, -7078), (-17, 167, 39)]
[(-14277, 4837, -7078), (-17, 167, 39)]
[(-14277, 4837, -7078), (-17, 167, 39)]
[(-14277, 4837, -7078), (-17, 167, 39)]
[(-14277, 4837, -7078), (-17, 167, 39)]
[(-14277, 4837, -7078), (-17, 167, 39)]
[(-14283, 4849, -7084), (-45, 181, 37)]
[(-14283, 4849, -7084), (-45, 181, 37)]
[(-14283, 4849, -7084), (-45, 181, 37)]
[(-14283, 4849, -7084), (-45, 181, 37)]
[(-14283, 4849, -7084), (-45, 181, 37)]
[(-14288, 4857, -7068), (-39, 234, -17)]
[(-14288, 4857, -7068), (-39, 234, -17)]
[(-14288, 4857, -7068), (-39, 234, -17)]
[(-14288, 4857, -7068), (-39, 234, -17)]
[(-14288, 4857, -7068), (-39, 234, -17)]
[(-14288, 4857, -7068), (-39, 234, -17)]
[(-14308, 4840, -7080), (-11, 246, -47)]
[(-14308, 4840, -7080), (-11, 246, -47)]
[(-14308, 4840, -7080), (-11, 246, -47)]
[(-14308, 4840, -7080), (-11, 246, -47)]
[(-14308, 4840, -7080), (-11, 246, -47)]
[(-14308, 4840, -7080), (-11, 246, -47)]
[(-14308, 4840, -7080), (-11, 246, -47)]
[(-14320, 4793, -7102), (3, 267, -24)]
[(-14320, 4793, -7102), (3, 267, -24)]
[(-14320, 4793, -7102), (3, 267, -24)]
[(-14320, 4793, -7102), (3, 267, -24)]
[(-14320, 4793, -7102), (3, 267, -24)]
[(-14319, 4780, -7120), (-15, 307, 7)]
[(-14319, 4780, -7120), (-15, 307, 7)]
[(-14319, 4780, -7120), (-15, 307, 7)]
[(-14319, 4780, -7120), (-15, 307, 7)]
[(-14288, 4759, -7171), (-46, 310, 2)]
[(-14288, 4759, -7171), (-46, 310, 2)]
[(-14288, 4759, -7171), (-46, 310, 2)]
[(-14288, 4759, -7171), (-46, 310, 2)]
[(-14288, 4759, -7171), (-46, 310, 2)]
[(-14288, 4759, -7171), (-46, 310, 2)]
[(-14288, 4759, -7171), (-46, 310, 2)]
[(-14256, 4784, -7192), (-36, 273, 8)]
[(-14256, 4784, -7192), (-36, 273, 8)]
[(-14256, 4784, -7192), (-36, 273, 8)]
[(-14256, 4784, -7192), (-36, 273, 8)]
[(-14256, 4784, -7192), (-36, 273, 8)]
[(-14260, 4756, -7187), (-60, 231, 20)]
[(-14260, 4756, -7187), (-60, 231, 20)]
[(-14260, 4756, -7187), (-60, 231, 20)]
[(-14260, 4756, -7187), (-60, 231, 20)]
[(-14260, 4756, -7187), (-60, 231, 20)]
[(-14260, 4756, -7187), (-60, 231, 20)]
[(-14247, 4755, -7173), (-97, 266, -8)]
[(-14247, 4755, -7173), (-97, 266, -8)]
[(-14247, 4755, -7173), (-97, 266, -8)]
[(-14247, 4755, -7173), (-97, 266, -8)]
[(-14247, 4755, -7173), (-97, 266, -8)]
