[(-14428, 5560, -5852), (-98, 128, 6)]
[(-14440, 5524, -5810), (-103, 164, 2)]
[(-14440, 5524, -5810), (-103, 164, 2)]
[(-14440, 5524, -5810), (-103, 164, 2)]
[(-14440, 5524, -5810), (-103, 164, 2)]
[(-14440, 5524, -5810), (-103, 164, 2)]
[(-14427, 5527, -5797), (-103, 154, 13)]
[(-14427, 5527, -5797), (-103, 154, 13)]
[(-14427, 5527, -5797), (-103, 154, 13)]
[(-14427, 5527, -5797), (-103, 154, 13)]
[(-14427, 5527, -5797), (-103, 154, 13)]
[(-14436, 5548, -5792), (-103, 156, 15)]
[(-14436, 5548, -5792), (-103, 156, 15)]
[(-14436, 5548, -5792), (-103, 156, 15)]
[(-14436, 5548, -5792), (-103, 156, 15)]
[(-14436, 5548, -5792), (-103, 156, 15)]
[(-14436, 5548, -5792), (-103, 156, 15)]
[(-14431, 5546, -5781), (-76, 176, 13)]
[(-14431, 5546, -5781), (-76, 176, 13)]
[(-14431, 5546, -5781), (-76, 176, 13)]
[(-14431, 5546, -5781), (-76, 176, 13)]
[(-14431, 5546, -5781), (-76, 176, 13)]
[(-14430, 5544, -5798), (-71, 174, 28)]
[(-14430, 5544, -5798), (-71, 174, 28)]
[(-14430, 5544, -5798), (-71, 174, 28)]
[(-14430, 5544, -5798), (-71, 174, 28)]
[(-14430, 5544, -5798), (-71, 174, 28)]
[(-14430, 5544, -5798), (-71, 174, 28)]
[(-14430, 5544, -5798), (-71, 174, 28)]
[(-14453, 5548, -5798), (-46, 153, 35)]
[(-14453, 5548, -5798), (-46, 153, 35)]
[(-14453, 5548, -5798), (-46, 153, 35)]
[(-14453, 5548, -5798), (-46, 153, 35)]
[(-14453, 5548, -5798), (-46, 153, 35)]
[(-14453, 5548, -5798), (-46, 153, 35)]
[(-14492, 5543, -5825), (-74, 157, 0)]
[(-14492, 5543, -5825), (-74, 157, 0)]
[(-14492, 5543, -5825), (-74, 157, 0)]
[(-14492, 5543, -5825), (-74, 157, 0)]
[(-14492, 5543, -5825), (-74, 157, 0)]
[(-14483, 5530, -5789), (-75, 183, 4)]
[(-14483, 5530, -5789), (-75, 183, 4)]
[(-14483, 5530, -5789), (-75, 183, 4)]
[(-14483, 5530, -5789), (-75, 183, 4)]
[(-14483, 5530, -5789), (-75, 183, 4)]
[(-14483, 5530, -5789), (-75, 183, 4)]
[(-14483, 5530, -5789), (-75, 183, 4)]
[(-14496, 5526, -5791), (-65, 187, 30)]
[(-14496, 5526, -5791), (-65, 187, 30)]
[(-14496, 5526, -5791), (-65, 187, 30)]
[(-14496, 5526, -5791), (-65, 187, 30)]
[(-14496, 5526, -5791), (-65, 187, 30)]
[(-14496, 5526, -5791), (-65, 187, 30)]
[(-14516, 5514, -5794), (-64, 175, 48)]
[(-14516, 5514, -5794), (-64, 175, 48)]
[(-14516, 5514, -5794), (-64, 175, 48)]
[(-14516, 5514, -5794), (-64, 175, 48)]
[(-14516, 5514, -5794), (-64, 175, 48)]
[(-14476, 5502, -5805), (-18, 166, 27)]
[(-14476, 5502, -5805), (-18, 166, 27)]
[(-14476, 5502, -5805), (-18, 166, 27)]
[(-14476, 5502, -5805), (-18, 166, 27)]
[(-14476, 5502, -5805), (-18, 166, 27)]
[(-14476, 5502, -5805), (-18, 166, 27)]
[(-14476, 5502, -5805), (-18, 166, 27)]
[(-14462, 5508, -5804), (-16, 192, 23)]
[(-14462, 5508, -5804), (-16, 192, 23)]
[(-14462, 5508, -5804), (-16, 192, 23)]
[(-14462, 5508, -5804), (-16, 192, 23)]
[(-14462, 5508, -5804), (-16, 192, 23)]
[(-14462, 5508, -5804), (-16, 192, 23)]
[(-14448, 5502, -5820), (-7, 193, 23)]
[(-14448, 5502, -5820), (-7, 193, 23)]
[(-14448, 5502, -5820), (-7, 193, 23)]
[(-14448, 5502, -5820), (-7, 193, 23)]
[(-14448, 5502, -5820), (-7, 193, 23)]
[(-14447, 5509, -5852), (9, 204, 20)]
[(-14447, 5509, -5852), (9, 204, 20)]
[(-14447, 5509, -5852), (9, 204, 20)]
[(-14447, 5509, -5852), (9, 204, 20)]
[(-14447, 5509, -5852), (9, 204, 20)]
[(-14447, 5509, -5852), (9, 204, 20)]
[(-14478, 5516, -5842), (-10, 212, 28)]
[(-14478, 5516, -5842), (-10, 212, 28)]
[(-14478, 5516, -5842), (-10, 212, 28)]
[(-14478, 5516, -5842), (-10, 212, 28)]
[(-14478, 5516, -5842), (-10, 212, 28)]
[(-14478, 5516, -5842), (-10, 212, 28)]
[(-14472, 5513, -5859), (-33, 185, 31)]
[(-14472, 5513, -5859), (-33, 185, 31)]
[(-14472, 5513, -5859), (-33, 185, 31)]
[(-14472, 5513, -5859), (-33, 185, 31)]
[(-14472, 5513, -5859), (-33, 185, 31)]
[(-14449, 5496, -5880), (-55, 132, 60)]
[(-14449, 5496, -5880), (-55, 132, 60)]
[(-14449, 5496, -5880), (-55, 132, 60)]
[(-14449, 5496, -5880), (-55, 132, 60)]
[(-14449, 5496, -5880), (-55, 132, 60)]
[(-14449, 5496, -5880), (-55, 132, 60)]
[(-14449, 5496, -5880), (-55, 132, 60)]
[(-14445, 5524, -5912), (-58, 138, 54)]
[(-14445, 5524, -5912), (-58, 138, 54)]
[(-14445, 5524, -5912), (-58, 138, 54)]
