[(-13976, 5039, -7580), (-242, 547, -85)]
[(-13932, 5108, -7657), (-387, 334, 26)]
[(-13932, 5108, -7657), (-387, 334, 26)]
[(-13932, 5108, -7657), (-387, 334, 26)]
[(-13932, 5108, -7657), (-387, 334, 26)]
[(-13932, 5108, -7657), (-387, 334, 26)]
[(-13932, 5108, -7657), (-387, 334, 26)]
[(-13944, 5093, -7619), (-252, 347, -33)]
[(-13944, 5093, -7619), (-252, 347, -33)]
[(-13944, 5093, -7619), (-252, 347, -33)]
[(-13944, 5093, -7619), (-252, 347, -33)]
[(-13944, 5093, -7619), (-252, 347, -33)]
[(-13944, 5093, -7619), (-252, 347, -33)]
[(-13954, 5096, -7636), (-161, 346, -57)]
[(-13954, 5096, -7636), (-161, 346, -57)]
[(-13954, 5096, -7636), (-161, 346, -57)]
[(-13954, 5096, -7636), (-161, 346, -57)]
[(-13954, 5096, -7636), (-161, 346, -57)]
[(-13954, 5089, -7660), (-113, 327, -43)]
[(-13954, 5089, -7660), (-113, 327, -43)]
[(-13954, 5089, -7660), (-113, 327, -43)]
[(-13954, 5089, -7660), (-113, 327, -43)]
[(-13954, 5089, -7660), (-113, 327, -43)]
[(-13954, 5089, -7660), (-113, 327, -43)]
[(-13954, 5089, -7660), (-113, 327, -43)]
[(-13979, 5052, -7641), (-107, 305, -14)]
[(-13979, 5052, -7641), (-107, 305, -14)]
[(-13979, 5052, -7641), (-107, 305, -14)]
[(-13979, 5052, -7641), (-107, 305, -14)]
[(-13979, 5052, -7641), (-107, 305, -14)]
[(-13979, 5052, -7641), (-107, 305, -14)]
[(-13975, 5044, -7658), (-134, 296, -18)]
[(-13975, 5044, -7658), (-134, 296, -18)]
[(-13975, 5044, -7658), (-134, 296, -18)]
[(-13975, 5044, -7658), (-134, 296, -18)]
[(-13975, 5044, -7658), (-134, 296, -18)]
[(-13963, 5039, -7661), (-119, 272, -7)]
[(-13963, 5039, -7661), (-119, 272, -7)]
[(-13963, 5039, -7661), (-119, 272, -7)]
[(-13963, 5039, -7661), (-119, 272, -7)]
[(-13963, 5039, -7661), (-119, 272, -7)]
[(-13963, 5039, -7661), (-119, 272, -7)]
[(-13963, 5039, -7661), (-119, 272, -7)]
[(-13854, 5144, -7732), (-228, 314, 19)]
[(-13854, 5144, -7732), (-228, 314, 19)]
[(-13854, 5144, -7732), (-228, 314, 19)]
[(-13854, 5144, -7732), (-228, 314, 19)]
[(-14003, 5063, -7618), (-403, 112, -263)]
[(-14003, 5063, -7618), (-403, 112, -263)]
[(-14003, 5063, -7618), (-403, 112, -263)]
[(-14003, 5063, -7618), (-403, 112, -263)]
[(-14003, 5063, -7618), (-403, 112, -263)]
[(-14046, 4897, -7559), (-98, -13, -477)]
[(-14046, 4897, -7559), (-98, -13, -477)]
[(-14046, 4897, -7559), (-98, -13, -477)]
[(-14046, 4897, -7559), (-98, -13, -477)]
[(-14046, 4897, -7559), (-98, -13, -477)]
[(-14106, 4817, -7580), (126, 68, -295)]
[(-14106, 4817, -7580), (126, 68, -295)]
[(-14106, 4817, -7580), (126, 68, -295)]
[(-14106, 4817, -7580), (126, 68, -295)]
[(-14106, 4817, -7580), (126, 68, -295)]
[(-14106, 4817, -7580), (126, 68, -295)]
[(-14106, 4817, -7580), (126, 68, -295)]
[(-14106, 4817, -7580), (126, 68, -295)]
[(-14084, 4870, -7571), (-90, 83, -96)]
[(-14084, 4870, -7571), (-90, 83, -96)]
[(-14084, 4870, -7571), (-90, 83, -96)]
[(-14084, 4870, -7571), (-90, 83, -96)]
[(-14084, 4870, -7571), (-90, 83, -96)]
