[(-14134, 5262, -7035), (-111, 213, 112)]
[(-14137, 5272, -7032), (-118, 227, 90)]
[(-14116, 5287, -7023), (-91, 208, 62)]
[(-14116, 5287, -7023), (-91, 208, 62)]
[(-14116, 5287, -7023), (-91, 208, 62)]
[(-14116, 5287, -7023), (-91, 208, 62)]
[(-14116, 5287, -7023), (-91, 208, 62)]
[(-14116, 5287, -7023), (-91, 208, 62)]
[(-14116, 5287, -7023), (-91, 208, 62)]
[(-14110, 5309, -7057), (-143, 180, 55)]
[(-14110, 5309, -7057), (-143, 180, 55)]
[(-14110, 5309, -7057), (-143, 180, 55)]
[(-14110, 5309, -7057), (-143, 180, 55)]
[(-14110, 5309, -7057), (-143, 180, 55)]
[(-14110, 5309, -7057), (-143, 180, 55)]
[(-14133, 5328, -7068), (-195, 194, 59)]
[(-14133, 5328, -7068), (-195, 194, 59)]
[(-14133, 5328, -7068), (-195, 194, 59)]
[(-14133, 5328, -7068), (-195, 194, 59)]
[(-14133, 5328, -7068), (-195, 194, 59)]
[(-14142, 5344, -7056), (-142, 186, 63)]
[(-14142, 5344, -7056), (-142, 186, 63)]
[(-14142, 5344, -7056), (-142, 186, 63)]
[(-14142, 5344, -7056), (-142, 186, 63)]
[(-14142, 5344, -7056), (-142, 186, 63)]
[(-14142, 5344, -7056), (-142, 186, 63)]
[(-14142, 5344, -7056), (-142, 186, 63)]
[(-14151, 5348, -7052), (-128, 182, 67)]
[(-14151, 5348, -7052), (-128, 182, 67)]
[(-14151, 5348, -7052), (-128, 182, 67)]
[(-14151, 5348, -7052), (-128, 182, 67)]
[(-14151, 5348, -7052), (-128, 182, 67)]
[(-14151, 5348, -7052), (-128, 182, 67)]
[(-14147, 5382, -7064), (-126, 188, 59)]
[(-14147, 5382, -7064), (-126, 188, 59)]
[(-14147, 5382, -7064), (-126, 188, 59)]
[(-14147, 5382, -7064), (-126, 188, 59)]
[(-14147, 5382, -7064), (-126, 188, 59)]
[(-14108, 5345, -7061), (-112, 169, 46)]
[(-14108, 5345, -7061), (-112, 169, 46)]
[(-14108, 5345, -7061), (-112, 169, 46)]
[(-14108, 5345, -7061), (-112, 169, 46)]
[(-14108, 5345, -7061), (-112, 169, 46)]
[(-14108, 5345, -7061), (-112, 169, 46)]
[(-14108, 5345, -7061), (-112, 169, 46)]
[(-14108, 5332, -7076), (-60, 176, 45)]
[(-14108, 5332, -7076), (-60, 176, 45)]
[(-14108, 5332, -7076), (-60, 176, 45)]
[(-14108, 5332, -7076), (-60, 176, 45)]
[(-14108, 5332, -7076), (-60, 176, 45)]
[(-14108, 5332, -7076), (-60, 176, 45)]
[(-14144, 5335, -7068), (-57, 151, 50)]
