[(-13963, 4674, -7954), (-66, 166, 0)]
[(-13942, 4694, -7952), (-83, 166, 29)]
[(-13942, 4694, -7952), (-83, 166, 29)]
[(-13942, 4694, -7952), (-83, 166, 29)]
[(-13942, 4694, -7952), (-83, 166, 29)]
[(-13942, 4694, -7952), (-83, 166, 29)]
[(-13942, 4694, -7952), (-83, 166, 29)]
[(-13942, 4694, -7952), (-83, 166, 29)]
[(-13954, 4676, -7922), (-73, 148, 24)]
[(-13954, 4676, -7922), (-73, 148, 24)]
[(-13954, 4676, -7922), (-73, 148, 24)]
[(-13954, 4676, -7922), (-73, 148, 24)]
[(-13954, 4676, -7922), (-73, 148, 24)]
[(-13954, 4676, -7922), (-73, 148, 24)]
[(-13954, 4676, -7922), (-73, 148, 24)]
[(-13954, 4676, -7903), (-45, 161, 35)]
[(-13954, 4676, -7903), (-45, 161, 35)]
[(-13954, 4676, -7903), (-45, 161, 35)]
[(-13954, 4676, -7903), (-45, 161, 35)]
[(-13938, 4699, -7908), (-27, 192, 56)]
[(-13938, 4699, -7908), (-27, 192, 56)]
[(-13938, 4699, -7908), (-27, 192, 56)]
[(-13938, 4699, -7908), (-27, 192, 56)]
[(-13938, 4699, -7908), (-27, 192, 56)]
[(-13949, 4719, -7930), (-42, 171, 43)]
[(-13949, 4719, -7930), (-42, 171, 43)]
[(-13949, 4719, -7930), (-42, 171, 43)]
[(-13949, 4719, -7930), (-42, 171, 43)]
[(-13949, 4719, -7930), (-42, 171, 43)]
[(-13949, 4719, -7930), (-42, 171, 43)]
[(-13949, 4719, -7930), (-42, 171, 43)]
[(-13960, 4722, -7919), (-48, 173, 30)]
[(-13960, 4722, -7919), (-48, 173, 30)]
[(-13960, 4722, -7919), (-48, 173, 30)]
[(-13960, 4722, -7919), (-48, 173, 30)]
[(-13960, 4722, -7919), (-48, 173, 30)]
[(-13960, 4722, -7919), (-48, 173, 30)]
[(-13949, 4722, -7977), (-54, 145, 41)]
[(-13949, 4722, -7977), (-54, 145, 41)]
[(-13949, 4722, -7977), (-54, 145, 41)]
[(-13949, 4722, -7977), (-54, 145, 41)]
[(-13949, 4722, -7977), (-54, 145, 41)]
[(-13946, 4716, -7961), (-45, 150, 46)]
[(-13946, 4716, -7961), (-45, 150, 46)]
[(-13946, 4716, -7961), (-45, 150, 46)]
[(-13946, 4716, -7961), (-45, 150, 46)]
[(-13946, 4716, -7961), (-45, 150, 46)]
[(-13946, 4716, -7961), (-45, 150, 46)]
[(-13946, 4716, -7961), (-45, 150, 46)]
[(-13915, 4742, -7978), (-71, 137, 35)]
[(-13915, 4742, -7978), (-71, 137, 35)]
[(-13915, 4742, -7978), (-71, 137, 35)]
[(-13915, 4742, -7978), (-71, 137, 35)]
[(-13915, 4742, -7978), (-71, 137, 35)]
[(-13915, 4742, -7978), (-71, 137, 35)]
[(-14044, 4843, -8052), (-151, 5, 6)]
[(-14044, 4843, -8052), (-151, 5, 6)]
[(-14044, 4843, -8052), (-151, 5, 6)]
[(-14044, 4843, -8052), (-151, 5, 6)]
[(-14044, 4843, -8052), (-151, 5, 6)]
[(-14056, 4836, -7983), (-47, 63, 23)]
[(-14056, 4836, -7983), (-47, 63, 23)]
[(-14056, 4836, -7983), (-47, 63, 23)]
[(-14056, 4836, -7983), (-47, 63, 23)]
[(-14056, 4836, -7983), (-47, 63, 23)]
[(-14056, 4836, -7983), (-47, 63, 23)]
[(-14056, 4836, -7983), (-47, 63, 23)]
[(-14061, 4791, -7997), (-38, 81, 33)]
[(-14061, 4791, -7997), (-38, 81, 33)]
[(-14061, 4791, -7997), (-38, 81, 33)]
[(-14061, 4791, -7997), (-38, 81, 33)]
[(-14061, 4791, -7997), (-38, 81, 33)]
[(-14061, 4791, -7997), (-38, 81, 33)]
[(-14040, 4759, -8004), (-54, 98, 32)]
[(-14040, 4759, -8004), (-54, 98, 32)]
[(-14040, 4759, -8004), (-54, 98, 32)]
[(-14040, 4759, -8004), (-54, 98, 32)]
[(-14040, 4759, -8004), (-54, 98, 32)]
[(-14037, 4743, -8023), (-78, 115, 24)]
[(-14037, 4743, -8023), (-78, 115, 24)]
[(-14037, 4743, -8023), (-78, 115, 24)]
[(-14037, 4743, -8023), (-78, 115, 24)]
[(-14037, 4743, -8023), (-78, 115, 24)]
[(-14037, 4743, -8023), (-78, 115, 24)]
[(-14037, 4743, -8023), (-78, 115, 24)]
[(-14037, 4708, -8010), (-86, 119, 28)]
[(-14037, 4708, -8010), (-86, 119, 28)]
[(-14037, 4708, -8010), (-86, 119, 28)]
[(-14037, 4708, -8010), (-86, 119, 28)]
[(-14037, 4708, -8010), (-86, 119, 28)]
[(-14037, 4708, -8010), (-86, 119, 28)]
[(-14032, 4686, -8015), (-89, 113, 19)]
[(-14032, 4686, -8015), (-89, 113, 19)]
[(-14032, 4686, -8015), (-89, 113, 19)]
[(-14032, 4686, -8015), (-89, 113, 19)]
[(-14032, 4686, -8015), (-89, 113, 19)]
[(-13983, 4679, -7995), (-128, 101, 15)]
[(-13983, 4679, -7995), (-128, 101, 15)]
[(-13983, 4679, -7995), (-128, 101, 15)]
[(-13983, 4679, -7995), (-128, 101, 15)]
[(-13983, 4679, -7995), (-128, 101, 15)]
[(-13983, 4679, -7995), (-128, 101, 15)]
[(-13983, 4679, -7995), (-128, 101, 15)]
[(-13983, 4679, -7995), (-128, 101, 15)]
[(-13989, 4684, -7947), (-122, 119, -1)]
[(-13989, 4684, -7947), (-122, 119, -1)]
[(-13989, 4684, -7947), (-122, 119, -1)]
[(-13989, 4684, -7947), (-122, 119, -1)]
[(-13972, 4670, -7939), (-98, 131, -5)]
[(-13972, 4670, -7939), (-98, 131, -5)]
[(-13972, 4670, -7939), (-98, 131, -5)]
[(-13972, 4670, -7939), (-98, 131, -5)]
[(-13972, 4670, -7939), (-98, 131, -5)]
[(-13992, 4671, -7927), (-112, 134, 7)]
[(-13992, 4671, -7927), (-112, 134, 7)]
[(-13992, 4671, -7927), (-112, 134, 7)]
[(-13992, 4671, -7927), (-112, 134, 7)]
[(-13992, 4671, -7927), (-112, 134, 7)]
[(-13992, 4671, -7927), (-112, 134, 7)]
[(-13992, 4671, -7927), (-112, 134, 7)]
[(-13992, 4671, -7927), (-112, 134, 7)]
[(-13991, 4638, -7910), (-97, 130, 7)]
[(-13991, 4638, -7910), (-97, 130, 7)]
[(-13991, 4638, -7910), (-97, 130, 7)]
[(-13991, 4638, -7910), (-97, 130, 7)]
[(-13991, 4638, -7910), (-97, 130, 7)]
[(-13995, 4643, -7933), (-100, 157, -10)]
[(-13995, 4643, -7933), (-100, 157, -10)]
[(-13995, 4643, -7933), (-100, 157, -10)]
[(-13995, 4643, -7933), (-100, 157, -10)]
[(-13995, 4643, -7933), (-100, 157, -10)]
