[(-13333, 4654, -9241), (-124, 208, 44)]
[(-13315, 4684, -9217), (-143, 216, 3)]
[(-13315, 4684, -9217), (-143, 216, 3)]
[(-13297, 4682, -9241), (-204, 455, -25)]
[(-13297, 4682, -9241), (-204, 455, -25)]
[(-13297, 4682, -9241), (-204, 455, -25)]
[(-13297, 4682, -9241), (-204, 455, -25)]
[(-13297, 4682, -9241), (-204, 455, -25)]
[(-13297, 4682, -9241), (-204, 455, -25)]
[(-13264, 4679, -9282), (-152, 403, -19)]
[(-13264, 4679, -9282), (-152, 403, -19)]
[(-13264, 4679, -9282), (-152, 403, -19)]
[(-13264, 4679, -9282), (-152, 403, -19)]
[(-13264, 4679, -9282), (-152, 403, -19)]
[(-13264, 4679, -9282), (-152, 403, -19)]
[(-13264, 4679, -9282), (-152, 403, -19)]
[(-13254, 4692, -9325), (-124, 368, 5)]
[(-13254, 4692, -9325), (-124, 368, 5)]
[(-13254, 4692, -9325), (-124, 368, 5)]
[(-13254, 4692, -9325), (-124, 368, 5)]
[(-13254, 4692, -9325), (-124, 368, 5)]
[(-13254, 4692, -9325), (-124, 368, 5)]
[(-13214, 4697, -9347), (-102, 324, -2)]
[(-13214, 4697, -9347), (-102, 324, -2)]
[(-13214, 4697, -9347), (-102, 324, -2)]
[(-13214, 4697, -9347), (-102, 324, -2)]
[(-13214, 4697, -9347), (-102, 324, -2)]
[(-13232, 4685, -9360), (-70, 295, -23)]
[(-13232, 4685, -9360), (-70, 295, -23)]
[(-13232, 4685, -9360), (-70, 295, -23)]
[(-13232, 4685, -9360), (-70, 295, -23)]
[(-13232, 4685, -9360), (-70, 295, -23)]
[(-13232, 4685, -9360), (-70, 295, -23)]
[(-13232, 4685, -9360), (-70, 295, -23)]
[(-13217, 4653, -9405), (-77, 306, -63)]
[(-13217, 4653, -9405), (-77, 306, -63)]
[(-13217, 4653, -9405), (-77, 306, -63)]
[(-13217, 4653, -9405), (-77, 306, -63)]
[(-13217, 4653, -9405), (-77, 306, -63)]
[(-13217, 4653, -9405), (-77, 306, -63)]
[(-13122, 4636, -9497), (-30, 491, 18)]
[(-13122, 4636, -9497), (-30, 491, 18)]
[(-13122, 4636, -9497), (-30, 491, 18)]
[(-13122, 4636, -9497), (-30, 491, 18)]
[(-13122, 4636, -9497), (-30, 491, 18)]
[(-13173, 4648, -9468), (-231, 274, 100)]
[(-13173, 4648, -9468), (-231, 274, 100)]
[(-13173, 4648, -9468), (-231, 274, 100)]
[(-13173, 4648, -9468), (-231, 274, 100)]
[(-13173, 4648, -9468), (-231, 274, 100)]
[(-13173, 4648, -9468), (-231, 274, 100)]
[(-13152, 4655, -9436), (-302, 27, 167)]
[(-13152, 4655, -9436), (-302, 27, 167)]
[(-13152, 4655, -9436), (-302, 27, 167)]
[(-13152, 4655, -9436), (-302, 27, 167)]
[(-13152, 4655, -9436), (-302, 27, 167)]
[(-13234, 4688, -9272), (-596, -279, -92)]
[(-13234, 4688, -9272), (-596, -279, -92)]
[(-13234, 4688, -9272), (-596, -279, -92)]
[(-13234, 4688, -9272), (-596, -279, -92)]
[(-13234, 4688, -9272), (-596, -279, -92)]
[(-13181, 4687, -9160), (-650, -353, -81)]
[(-13181, 4687, -9160), (-650, -353, -81)]
[(-13181, 4687, -9160), (-650, -353, -81)]
[(-13181, 4687, -9160), (-650, -353, -81)]
[(-13181, 4687, -9160), (-650, -353, -81)]
[(-13181, 4687, -9160), (-650, -353, -81)]
[(-13181, 4687, -9160), (-650, -353, -81)]
[(-13368, 4821, -9008), (-624, -270, -150)]
[(-13368, 4821, -9008), (-624, -270, -150)]
[(-13368, 4821, -9008), (-624, -270, -150)]
[(-13368, 4821, -9008), (-624, -270, -150)]
[(-13368, 4821, -9008), (-624, -270, -150)]
[(-13272, 4812, -8955), (-670, -17, -100)]
[(-13272, 4812, -8955), (-670, -17, -100)]
