[(-13476, 6844, -7152), (-158, -36, 56)]
[(-13490, 6809, -7057), (-263, -24, 10)]
[(-13503, 6846, -7035), (-252, 14, 34)]
[(-13503, 6846, -7035), (-252, 14, 34)]
[(-13503, 6846, -7035), (-252, 14, 34)]
[(-13503, 6846, -7035), (-252, 14, 34)]
[(-13503, 6846, -7035), (-252, 14, 34)]
[(-13503, 6846, -7035), (-252, 14, 34)]
[(-13468, 6872, -7026), (-140, 0, 61)]
[(-13468, 6872, -7026), (-140, 0, 61)]
[(-13468, 6872, -7026), (-140, 0, 61)]
[(-13468, 6872, -7026), (-140, 0, 61)]
[(-13468, 6872, -7026), (-140, 0, 61)]
[(-13468, 6872, -7026), (-140, 0, 61)]
[(-13468, 6872, -7026), (-140, 0, 61)]
[(-13463, 6883, -7038), (-177, 50, 32)]
[(-13463, 6883, -7038), (-177, 50, 32)]
[(-13463, 6883, -7038), (-177, 50, 32)]
[(-13463, 6883, -7038), (-177, 50, 32)]
[(-13463, 6883, -7038), (-177, 50, 32)]
[(-13463, 6883, -7038), (-177, 50, 32)]
[(-13486, 6863, -7039), (-158, 92, -9)]
[(-13486, 6863, -7039), (-158, 92, -9)]
[(-13486, 6863, -7039), (-158, 92, -9)]
[(-13486, 6863, -7039), (-158, 92, -9)]
[(-13486, 6863, -7039), (-158, 92, -9)]
[(-13461, 6877, -7066), (-504, 296, -72)]
[(-13461, 6877, -7066), (-504, 296, -72)]
[(-13461, 6877, -7066), (-504, 296, -72)]
[(-13461, 6877, -7066), (-504, 296, -72)]
[(-13461, 6877, -7066), (-504, 296, -72)]
[(-13461, 6877, -7066), (-504, 296, -72)]
[(-13461, 6877, -7066), (-504, 296, -72)]
[(-13440, 6829, -7136), (-848, 431, -216)]
[(-13440, 6829, -7136), (-848, 431, -216)]
[(-13440, 6829, -7136), (-848, 431, -216)]
[(-13440, 6829, -7136), (-848, 431, -216)]
[(-13440, 6829, -7136), (-848, 431, -216)]
[(-13440, 6829, -7136), (-848, 431, -216)]
[(-13456, 6878, -7124), (-641, 434, -184)]
[(-13456, 6878, -7124), (-641, 434, -184)]
[(-13456, 6878, -7124), (-641, 434, -184)]
[(-13456, 6878, -7124), (-641, 434, -184)]
[(-13456, 6878, -7124), (-641, 434, -184)]
[(-13444, 6944, -7089), (-522, 314, -128)]
[(-13444, 6944, -7089), (-522, 314, -128)]
[(-13444, 6944, -7089), (-522, 314, -128)]
[(-13444, 6944, -7089), (-522, 314, -128)]
[(-13444, 6944, -7089), (-522, 314, -128)]
[(-13444, 6944, -7089), (-522, 314, -128)]
[(-13444, 6944, -7089), (-522, 314, -128)]
[(-13444, 6950, -7075), (-475, 240, -105)]
[(-13444, 6950, -7075), (-475, 240, -105)]
[(-13444, 6950, -7075), (-475, 240, -105)]
[(-13444, 6950, -7075), (-475, 240, -105)]
[(-13444, 6950, -7075), (-475, 240, -105)]
[(-13444, 6950, -7075), (-475, 240, -105)]
[(-13449, 6946, -7045), (-414, 193, -83)]
[(-13449, 6946, -7045), (-414, 193, -83)]
[(-13449, 6946, -7045), (-414, 193, -83)]
[(-13449, 6946, -7045), (-414, 193, -83)]
[(-13449, 6946, -7045), (-414, 193, -83)]
[(-13444, 6973, -7048), (-303, 198, -78)]
[(-13444, 6973, -7048), (-303, 198, -78)]
[(-13444, 6973, -7048), (-303, 198, -78)]
[(-13444, 6973, -7048), (-303, 198, -78)]
[(-13444, 6973, -7048), (-303, 198, -78)]
[(-13444, 6973, -7048), (-303, 198, -78)]
[(-13444, 6973, -7048), (-303, 198, -78)]
[(-13467, 6950, -7036), (-206, 193, -50)]
[(-13467, 6950, -7036), (-206, 193, -50)]
[(-13467, 6950, -7036), (-206, 193, -50)]
[(-13467, 6950, -7036), (-206, 193, -50)]
[(-13467, 6950, -7036), (-206, 193, -50)]
[(-13467, 6950, -7036), (-206, 193, -50)]
[(-13500, 6936, -7024), (-198, 186, -32)]
[(-13500, 6936, -7024), (-198, 186, -32)]
[(-13500, 6936, -7024), (-198, 186, -32)]
[(-13500, 6936, -7024), (-198, 186, -32)]
[(-13500, 6936, -7024), (-198, 186, -32)]
[(-13493, 6934, -7049), (-177, 178, -24)]
[(-13493, 6934, -7049), (-177, 178, -24)]
[(-13493, 6934, -7049), (-177, 178, -24)]
[(-13493, 6934, -7049), (-177, 178, -24)]
[(-13511, 6930, -7028), (-97, 169, -6)]
[(-13511, 6930, -7028), (-97, 169, -6)]
[(-13511, 6930, -7028), (-97, 169, -6)]
[(-13511, 6930, -7028), (-97, 169, -6)]
[(-13511, 6930, -7028), (-97, 169, -6)]
[(-13511, 6930, -7028), (-97, 169, -6)]
[(-13524, 6911, -6988), (264, -88, 140)]
[(-13524, 6911, -6988), (264, -88, 140)]
[(-13524, 6911, -6988), (264, -88, 140)]
[(-13524, 6911, -6988), (264, -88, 140)]
[(-13524, 6911, -6988), (264, -88, 140)]
[(-13466, 6971, -7034), (274, -88, 189)]
[(-13466, 6971, -7034), (274, -88, 189)]
[(-13466, 6971, -7034), (274, -88, 189)]
[(-13466, 6971, -7034), (274, -88, 189)]
[(-13466, 6971, -7034), (274, -88, 189)]
[(-13466, 6971, -7034), (274, -88, 189)]
[(-13449, 6976, -7012), (246, -26, 240)]
[(-13449, 6976, -7012), (246, -26, 240)]
[(-13449, 6976, -7012), (246, -26, 240)]
