[(-14794, 2380, -7265), (85, 47, 3)]
[(-14822, 2408, -7232), (32, 39, 35)]
[(-14822, 2408, -7232), (32, 39, 35)]
[(-14822, 2408, -7232), (32, 39, 35)]
[(-14822, 2408, -7232), (32, 39, 35)]
[(-14809, 2396, -7275), (-4, 77, 25)]
[(-14809, 2396, -7275), (-4, 77, 25)]
[(-14809, 2396, -7275), (-4, 77, 25)]
[(-14809, 2396, -7275), (-4, 77, 25)]
[(-14809, 2396, -7275), (-4, 77, 25)]
[(-14809, 2396, -7275), (-4, 77, 25)]
[(-14809, 2396, -7275), (-4, 77, 25)]
[(-14790, 2376, -7256), (-51, 91, 27)]
[(-14790, 2376, -7256), (-51, 91, 27)]
[(-14790, 2376, -7256), (-51, 91, 27)]
[(-14790, 2376, -7256), (-51, 91, 27)]
[(-14808, 2383, -7252), (-125, 98, 24)]
[(-14808, 2383, -7252), (-125, 98, 24)]
[(-14808, 2383, -7252), (-125, 98, 24)]
[(-14808, 2383, -7252), (-125, 98, 24)]
[(-14808, 2383, -7252), (-125, 98, 24)]
[(-14808, 2383, -7252), (-125, 98, 24)]
[(-14808, 2383, -7252), (-125, 98, 24)]
[(-14817, 2384, -7255), (-142, 107, 23)]
[(-14817, 2384, -7255), (-142, 107, 23)]
[(-14817, 2384, -7255), (-142, 107, 23)]
[(-14817, 2384, -7255), (-142, 107, 23)]
[(-14817, 2384, -7255), (-142, 107, 23)]
[(-14824, 2380, -7217), (-102, 111, 37)]
[(-14824, 2380, -7217), (-102, 111, 37)]
[(-14824, 2380, -7217), (-102, 111, 37)]
[(-14824, 2380, -7217), (-102, 111, 37)]
[(-14824, 2380, -7217), (-102, 111, 37)]
[(-14824, 2380, -7217), (-102, 111, 37)]
[(-14839, 2395, -7229), (10, 61, 99)]
[(-14839, 2395, -7229), (10, 61, 99)]
[(-14839, 2395, -7229), (10, 61, 99)]
[(-14839, 2395, -7229), (10, 61, 99)]
[(-14839, 2395, -7229), (10, 61, 99)]
[(-14839, 2395, -7229), (10, 61, 99)]
[(-14839, 2395, -7229), (10, 61, 99)]
[(-14834, 2419, -7213), (-62, 46, 94)]
[(-14834, 2419, -7213), (-62, 46, 94)]
[(-14834, 2419, -7213), (-62, 46, 94)]
[(-14834, 2419, -7213), (-62, 46, 94)]
[(-14834, 2419, -7213), (-62, 46, 94)]
[(-14826, 2420, -7198), (-112, 23, 90)]
[(-14826, 2420, -7198), (-112, 23, 90)]
[(-14826, 2420, -7198), (-112, 23, 90)]
[(-14826, 2420, -7198), (-112, 23, 90)]
[(-14848, 2419, -7159), (-97, 17, 81)]
[(-14848, 2419, -7159), (-97, 17, 81)]
[(-14848, 2419, -7159), (-97, 17, 81)]
[(-14848, 2419, -7159), (-97, 17, 81)]
[(-14848, 2419, -7159), (-97, 17, 81)]
[(-14872, 2423, -7141), (-52, 79, 58)]
[(-14872, 2423, -7141), (-52, 79, 58)]
[(-14872, 2423, -7141), (-52, 79, 58)]
[(-14872, 2423, -7141), (-52, 79, 58)]
[(-14872, 2423, -7141), (-52, 79, 58)]
[(-14872, 2423, -7141), (-52, 79, 58)]
[(-14872, 2423, -7141), (-52, 79, 58)]
[(-14851, 2417, -7156), (-89, 124, 58)]
[(-14851, 2417, -7156), (-89, 124, 58)]
[(-14851, 2417, -7156), (-89, 124, 58)]
[(-14851, 2417, -7156), (-89, 124, 58)]
[(-14851, 2417, -7156), (-89, 124, 58)]
[(-14851, 2417, -7156), (-89, 124, 58)]
[(-14832, 2435, -7109), (-95, 130, 53)]
[(-14832, 2435, -7109), (-95, 130, 53)]
[(-14832, 2435, -7109), (-95, 130, 53)]
[(-14832, 2435, -7109), (-95, 130, 53)]
