[(-14714, 2790, -7271), (-397, 683, -51)]
[(-14685, 2803, -7389), (-287, 700, -63)]
[(-14685, 2803, -7389), (-287, 700, -63)]
[(-14685, 2803, -7389), (-287, 700, -63)]
[(-14671, 2815, -7398), (-187, 566, -57)]
[(-14671, 2815, -7398), (-187, 566, -57)]
[(-14671, 2815, -7398), (-187, 566, -57)]
[(-14671, 2815, -7398), (-187, 566, -57)]
[(-14671, 2815, -7398), (-187, 566, -57)]
[(-14671, 2815, -7398), (-187, 566, -57)]
[(-14671, 2808, -7400), (-223, 376, -27)]
[(-14671, 2808, -7400), (-223, 376, -27)]
[(-14671, 2808, -7400), (-223, 376, -27)]
[(-14671, 2808, -7400), (-223, 376, -27)]
[(-14671, 2808, -7400), (-223, 376, -27)]
[(-14745, 2811, -7571), (84, -206, 39)]
[(-14745, 2811, -7571), (84, -206, 39)]
[(-14745, 2811, -7571), (84, -206, 39)]
[(-14745, 2811, -7571), (84, -206, 39)]
[(-14745, 2811, -7571), (84, -206, 39)]
[(-14745, 2811, -7571), (84, -206, 39)]
[(-14745, 2811, -7571), (84, -206, 39)]
[(-14802, 2792, -7632), (81, -424, 152)]
[(-14802, 2792, -7632), (81, -424, 152)]
[(-14802, 2792, -7632), (81, -424, 152)]
[(-14802, 2792, -7632), (81, -424, 152)]
[(-14802, 2792, -7632), (81, -424, 152)]
[(-14786, 2803, -7484), (6, -332, 158)]
[(-14786, 2803, -7484), (6, -332, 158)]
[(-14786, 2803, -7484), (6, -332, 158)]
[(-14786, 2803, -7484), (6, -332, 158)]
[(-14786, 2803, -7484), (6, -332, 158)]
[(-14786, 2803, -7484), (6, -332, 158)]
[(-14824, 2819, -7400), (67, -111, 111)]
[(-14824, 2819, -7400), (67, -111, 111)]
[(-14824, 2819, -7400), (67, -111, 111)]
[(-14824, 2819, -7400), (67, -111, 111)]
[(-14824, 2819, -7400), (67, -111, 111)]
[(-14824, 2819, -7400), (67, -111, 111)]
[(-14824, 2819, -7400), (67, -111, 111)]
[(-14842, 2813, -7348), (131, 80, 96)]
[(-14842, 2813, -7348), (131, 80, 96)]
[(-14842, 2813, -7348), (131, 80, 96)]
[(-14842, 2813, -7348), (131, 80, 96)]
[(-14842, 2813, -7348), (131, 80, 96)]
[(-14842, 2813, -7348), (131, 80, 96)]
[(-14849, 2784, -7301), (72, 143, 74)]
[(-14849, 2784, -7301), (72, 143, 74)]
[(-14849, 2784, -7301), (72, 143, 74)]
[(-14849, 2784, -7301), (72, 143, 74)]
[(-14849, 2784, -7301), (72, 143, 74)]
[(-14852, 2783, -7263), (-24, 94, 78)]
[(-14852, 2783, -7263), (-24, 94, 78)]
[(-14852, 2783, -7263), (-24, 94, 78)]
[(-14852, 2783, -7263), (-24, 94, 78)]
[(-14852, 2783, -7263), (-24, 94, 78)]
[(-14852, 2783, -7263), (-24, 94, 78)]
[(-14852, 2783, -7263), (-24, 94, 78)]
[(-14852, 2783, -7263), (-24, 94, 78)]
[(-14856, 2787, -7222), (-102, 64, 51)]
[(-14856, 2787, -7222), (-102, 64, 51)]
[(-14856, 2787, -7222), (-102, 64, 51)]
[(-14860, 2798, -7171), (-65, 113, 24)]
[(-14860, 2798, -7171), (-65, 113, 24)]
[(-14860, 2798, -7171), (-65, 113, 24)]
[(-14860, 2798, -7171), (-65, 113, 24)]
[(-14860, 2798, -7171), (-65, 113, 24)]
[(-14860, 2796, -7142), (6, 214, 33)]
[(-14860, 2796, -7142), (6, 214, 33)]
[(-14860, 2796, -7142), (6, 214, 33)]
[(-14860, 2796, -7142), (6, 214, 33)]
[(-14860, 2796, -7142), (6, 214, 33)]
[(-14860, 2796, -7142), (6, 214, 33)]
[(-14860, 2796, -7142), (6, 214, 33)]
[(-14845, 2792, -7148), (4, 252, 26)]
[(-14845, 2792, -7148), (4, 252, 26)]
[(-14845, 2792, -7148), (4, 252, 26)]
[(-14845, 2792, -7148), (4, 252, 26)]
[(-14845, 2792, -7148), (4, 252, 26)]
[(-14845, 2792, -7148), (4, 252, 26)]
[(-14858, 2765, -7166), (-52, 210, 10)]
[(-14858, 2765, -7166), (-52, 210, 10)]
[(-14858, 2765, -7166), (-52, 210, 10)]
[(-14858, 2765, -7166), (-52, 210, 10)]
[(-14858, 2765, -7166), (-52, 210, 10)]
