[(-14748, 2660, -7320), (-106, 245, 8)]
[(-14740, 2660, -7367), (-104, 246, 24)]
[(-14740, 2660, -7367), (-104, 246, 24)]
[(-14740, 2660, -7367), (-104, 246, 24)]
[(-14740, 2660, -7367), (-104, 246, 24)]
[(-14740, 2660, -7367), (-104, 246, 24)]
[(-14722, 2667, -7342), (-229, 367, 1)]
[(-14722, 2667, -7342), (-229, 367, 1)]
[(-14722, 2667, -7342), (-229, 367, 1)]
[(-14722, 2667, -7342), (-229, 367, 1)]
[(-14722, 2667, -7342), (-229, 367, 1)]
[(-14728, 2683, -7324), (28, 345, 35)]
[(-14728, 2683, -7324), (28, 345, 35)]
[(-14728, 2683, -7324), (28, 345, 35)]
[(-14728, 2683, -7324), (28, 345, 35)]
[(-14728, 2683, -7324), (28, 345, 35)]
[(-14728, 2683, -7324), (28, 345, 35)]
[(-14727, 2683, -7217), (-22, 340, 24)]
[(-14727, 2683, -7217), (-22, 340, 24)]
[(-14727, 2683, -7217), (-22, 340, 24)]
[(-14727, 2683, -7217), (-22, 340, 24)]
[(-14727, 2683, -7217), (-22, 340, 24)]
[(-14727, 2683, -7217), (-22, 340, 24)]
[(-14727, 2683, -7217), (-22, 340, 24)]
[(-14727, 2696, -7264), (-76, 283, 21)]
[(-14727, 2696, -7264), (-76, 283, 21)]
[(-14727, 2696, -7264), (-76, 283, 21)]
[(-14727, 2696, -7264), (-76, 283, 21)]
[(-14727, 2696, -7264), (-76, 283, 21)]
[(-14735, 2700, -7272), (-106, 216, 20)]
[(-14735, 2700, -7272), (-106, 216, 20)]
[(-14735, 2700, -7272), (-106, 216, 20)]
[(-14735, 2700, -7272), (-106, 216, 20)]
[(-14735, 2700, -7272), (-106, 216, 20)]
[(-14735, 2700, -7272), (-106, 216, 20)]
[(-14746, 2689, -7257), (-138, 219, 9)]
[(-14746, 2689, -7257), (-138, 219, 9)]
[(-14746, 2689, -7257), (-138, 219, 9)]
[(-14746, 2689, -7257), (-138, 219, 9)]
[(-14746, 2689, -7257), (-138, 219, 9)]
[(-14746, 2689, -7257), (-138, 219, 9)]
[(-14746, 2689, -7257), (-138, 219, 9)]
[(-14736, 2684, -7245), (-101, 254, 16)]
[(-14736, 2684, -7245), (-101, 254, 16)]
[(-14736, 2684, -7245), (-101, 254, 16)]
[(-14736, 2684, -7245), (-101, 254, 16)]
[(-14736, 2684, -7245), (-101, 254, 16)]
[(-14736, 2684, -7245), (-101, 254, 16)]
[(-14734, 2661, -7281), (-109, 259, 13)]
[(-14734, 2661, -7281), (-109, 259, 13)]
[(-14734, 2661, -7281), (-109, 259, 13)]
[(-14734, 2661, -7281), (-109, 259, 13)]
[(-14734, 2661, -7281), (-109, 259, 13)]
[(-14722, 2654, -7326), (-104, 253, 14)]
[(-14722, 2654, -7326), (-104, 253, 14)]
[(-14722, 2654, -7326), (-104, 253, 14)]
[(-14722, 2654, -7326), (-104, 253, 14)]
[(-14722, 2654, -7326), (-104, 253, 14)]
[(-14722, 2654, -7326), (-104, 253, 14)]
[(-14732, 2664, -7334), (-135, 243, 22)]
[(-14732, 2664, -7334), (-135, 243, 22)]
[(-14732, 2664, -7334), (-135, 243, 22)]
[(-14732, 2664, -7334), (-135, 243, 22)]
[(-14732, 2664, -7334), (-135, 243, 22)]
[(-14743, 2672, -7321), (-124, 245, 19)]
[(-14743, 2672, -7321), (-124, 245, 19)]
[(-14743, 2672, -7321), (-124, 245, 19)]
[(-14743, 2672, -7321), (-124, 245, 19)]
[(-14743, 2672, -7321), (-124, 245, 19)]
[(-14743, 2672, -7321), (-124, 245, 19)]
[(-14740, 2657, -7349), (-94, 257, 6)]
[(-14740, 2657, -7349), (-94, 257, 6)]
[(-14740, 2657, -7349), (-94, 257, 6)]
[(-14740, 2657, -7349), (-94, 257, 6)]
[(-14740, 2657, -7349), (-94, 257, 6)]
[(-14740, 2657, -7349), (-94, 257, 6)]
[(-14740, 2657, -7349), (-94, 257, 6)]
[(-14740, 2657, -7349), (-94, 257, 6)]
[(-14728, 2670, -7384), (-86, 257, 2)]
[(-14728, 2670, -7384), (-86, 257, 2)]
