[(-15058, 1800, -6974), (-146, 345, -32)]
[(-15033, 1775, -7133), (-449, 454, -108)]
[(-15033, 1775, -7133), (-449, 454, -108)]
[(-15033, 1775, -7133), (-449, 454, -108)]
[(-15033, 1775, -7133), (-449, 454, -108)]
[(-14981, 1795, -7160), (-501, 541, -121)]
[(-14981, 1795, -7160), (-501, 541, -121)]
[(-14981, 1795, -7160), (-501, 541, -121)]
[(-14981, 1795, -7160), (-501, 541, -121)]
[(-14981, 1795, -7160), (-501, 541, -121)]
[(-14981, 1795, -7160), (-501, 541, -121)]
[(-14978, 1781, -7173), (-363, 543, -121)]
[(-14978, 1781, -7173), (-363, 543, -121)]
[(-14978, 1781, -7173), (-363, 543, -121)]
[(-14978, 1781, -7173), (-363, 543, -121)]
[(-14978, 1781, -7173), (-363, 543, -121)]
[(-14978, 1781, -7173), (-363, 543, -121)]
[(-14978, 1781, -7173), (-363, 543, -121)]
[(-14993, 1767, -7156), (-313, 463, -80)]
[(-14993, 1767, -7156), (-313, 463, -80)]
[(-14993, 1767, -7156), (-313, 463, -80)]
[(-14993, 1767, -7156), (-313, 463, -80)]
[(-14993, 1767, -7156), (-313, 463, -80)]
[(-14993, 1767, -7156), (-313, 463, -80)]
[(-15023, 1724, -7156), (-293, 327, -59)]
[(-15023, 1724, -7156), (-293, 327, -59)]
[(-15023, 1724, -7156), (-293, 327, -59)]
[(-15023, 1724, -7156), (-293, 327, -59)]
[(-15023, 1724, -7156), (-293, 327, -59)]
[(-14944, 1727, -7163), (-381, 333, -51)]
[(-14944, 1727, -7163), (-381, 333, -51)]
[(-14944, 1727, -7163), (-381, 333, -51)]
[(-14944, 1727, -7163), (-381, 333, -51)]
[(-14944, 1727, -7163), (-381, 333, -51)]
[(-14944, 1727, -7163), (-381, 333, -51)]
[(-14944, 1727, -7163), (-381, 333, -51)]
[(-14943, 1696, -7081), (-265, 379, -70)]
[(-14943, 1696, -7081), (-265, 379, -70)]
[(-14943, 1696, -7081), (-265, 379, -70)]
[(-14943, 1696, -7081), (-265, 379, -70)]
[(-14943, 1696, -7081), (-265, 379, -70)]
[(-14955, 1690, -7048), (-213, 491, -77)]
[(-14955, 1690, -7048), (-213, 491, -77)]
[(-14955, 1690, -7048), (-213, 491, -77)]
[(-14955, 1690, -7048), (-213, 491, -77)]
[(-14955, 1690, -7048), (-213, 491, -77)]
[(-14955, 1690, -7048), (-213, 491, -77)]
[(-14942, 1680, -7060), (-145, 500, -50)]
[(-14942, 1680, -7060), (-145, 500, -50)]
[(-14942, 1680, -7060), (-145, 500, -50)]
[(-14942, 1680, -7060), (-145, 500, -50)]
[(-14942, 1680, -7060), (-145, 500, -50)]
[(-14942, 1680, -7060), (-145, 500, -50)]
[(-14942, 1680, -7060), (-145, 500, -50)]
[(-14956, 1713, -7141), (-176, 431, -47)]
[(-14956, 1713, -7141), (-176, 431, -47)]
[(-14956, 1713, -7141), (-176, 431, -47)]
[(-14956, 1713, -7141), (-176, 431, -47)]
[(-14956, 1713, -7141), (-176, 431, -47)]
[(-14956, 1713, -7141), (-176, 431, -47)]
[(-14980, 1699, -7216), (260, 160, 119)]
[(-14980, 1699, -7216), (260, 160, 119)]
[(-14980, 1699, -7216), (260, 160, 119)]
[(-14980, 1699, -7216), (260, 160, 119)]
[(-14980, 1699, -7216), (260, 160, 119)]
[(-15007, 1703, -7182), (368, -47, 201)]
[(-15007, 1703, -7182), (368, -47, 201)]
[(-15007, 1703, -7182), (368, -47, 201)]
[(-15007, 1703, -7182), (368, -47, 201)]
[(-15007, 1703, -7182), (368, -47, 201)]
[(-14997, 1678, -7189), (388, -107, 203)]
[(-14997, 1678, -7189), (388, -107, 203)]
[(-14997, 1678, -7189), (388, -107, 203)]
[(-14997, 1678, -7189), (388, -107, 203)]
[(-14997, 1678, -7189), (388, -107, 203)]
[(-14997, 1678, -7189), (388, -107, 203)]
[(-14997, 1678, -7189), (388, -107, 203)]
[(-14997, 1678, -7189), (388, -107, 203)]
[(-15007, 1687, -7097), (347, -15, 177)]
[(-15007, 1687, -7097), (347, -15, 177)]
[(-15007, 1687, -7097), (347, -15, 177)]
[(-15007, 1687, -7097), (347, -15, 177)]
[(-15007, 1687, -7097), (347, -15, 177)]
[(-15048, 1709, -7065), (307, 56, 117)]
[(-15048, 1709, -7065), (307, 56, 117)]
[(-15048, 1709, -7065), (307, 56, 117)]
[(-15048, 1709, -7065), (307, 56, 117)]
[(-15048, 1709, -7065), (307, 56, 117)]
[(-15048, 1709, -7065), (307, 56, 117)]
[(-15027, 1703, -7024), (242, 131, 108)]
[(-15027, 1703, -7024), (242, 131, 108)]
[(-15027, 1703, -7024), (242, 131, 108)]
[(-15027, 1703, -7024), (242, 131, 108)]
[(-15027, 1703, -7024), (242, 131, 108)]
[(-15027, 1703, -7024), (242, 131, 108)]
[(-15027, 1703, -7024), (242, 131, 108)]
[(-15014, 1738, -6984), (169, 140, 120)]
[(-15014, 1738, -6984), (169, 140, 120)]
[(-15014, 1738, -6984), (169, 140, 120)]
[(-15014, 1738, -6984), (169, 140, 120)]
[(-15014, 1738, -6984), (169, 140, 120)]
[(-15027, 1727, -6987), (89, 134, 110)]
[(-15027, 1727, -6987), (89, 134, 110)]
[(-15027, 1727, -6987), (89, 134, 110)]
[(-15027, 1727, -6987), (89, 134, 110)]
[(-15027, 1727, -6987), (89, 134, 110)]
[(-15054, 1726, -6970), (48, 134, 93)]
[(-15054, 1726, -6970), (48, 134, 93)]
[(-15054, 1726, -6970), (48, 134, 93)]
[(-15054, 1726, -6970), (48, 134, 93)]
[(-15054, 1726, -6970), (48, 134, 93)]
[(-15054, 1726, -6970), (48, 134, 93)]
[(-15054, 1726, -6970), (48, 134, 93)]
[(-15054, 1726, -6970), (48, 134, 93)]
[(-15057, 1706, -6916), (31, 216, 69)]
[(-15057, 1706, -6916), (31, 216, 69)]
[(-15057, 1706, -6916), (31, 216, 69)]
[(-15057, 1706, -6916), (31, 216, 69)]
[(-15048, 1693, -6908), (104, 293, 80)]
[(-15048, 1693, -6908), (104, 293, 80)]
[(-15048, 1693, -6908), (104, 293, 80)]
[(-15048, 1693, -6908), (104, 293, 80)]
[(-15048, 1693, -6908), (104, 293, 80)]
[(-15017, 1723, -6949), (73, 258, 86)]
[(-15017, 1723, -6949), (73, 258, 86)]
[(-15017, 1723, -6949), (73, 258, 86)]
[(-15017, 1723, -6949), (73, 258, 86)]
[(-15017, 1723, -6949), (73, 258, 86)]
[(-15017, 1723, -6949), (73, 258, 86)]
[(-15017, 1723, -6949), (73, 258, 86)]
[(-15017, 1723, -6949), (73, 258, 86)]
[(-15021, 1713, -6931), (-24, 212, 65)]
[(-15021, 1713, -6931), (-24, 212, 65)]
[(-15021, 1713, -6931), (-24, 212, 65)]
[(-15021, 1713, -6931), (-24, 212, 65)]
[(-15021, 1713, -6931), (-24, 212, 65)]
[(-15019, 1700, -6903), (-65, 196, 45)]
[(-15019, 1700, -6903), (-65, 196, 45)]
[(-15019, 1700, -6903), (-65, 196, 45)]
[(-15019, 1700, -6903), (-65, 196, 45)]
[(-15019, 1700, -6903), (-65, 196, 45)]
[(-15016, 1702, -6890), (-28, 265, 35)]
[(-15016, 1702, -6890), (-28, 265, 35)]
