[(-14801, 2617, -7190), (163, 224, 40)]
[(-14810, 2610, -7190), (236, 162, 81)]
[(-14810, 2610, -7190), (236, 162, 81)]
[(-14816, 2607, -7216), (-21, 196, 30)]
[(-14816, 2607, -7216), (-21, 196, 30)]
[(-14816, 2607, -7216), (-21, 196, 30)]
[(-14816, 2607, -7216), (-21, 196, 30)]
[(-14816, 2607, -7216), (-21, 196, 30)]
[(-14816, 2607, -7216), (-21, 196, 30)]
[(-14816, 2607, -7216), (-21, 196, 30)]
[(-14792, 2580, -7185), (-21, 219, 6)]
[(-14792, 2580, -7185), (-21, 219, 6)]
[(-14792, 2580, -7185), (-21, 219, 6)]
[(-14792, 2580, -7185), (-21, 219, 6)]
[(-14792, 2580, -7185), (-21, 219, 6)]
[(-14792, 2580, -7185), (-21, 219, 6)]
[(-14781, 2568, -7173), (34, 273, 1)]
[(-14781, 2568, -7173), (34, 273, 1)]
[(-14781, 2568, -7173), (34, 273, 1)]
[(-14781, 2568, -7173), (34, 273, 1)]
[(-14781, 2568, -7173), (34, 273, 1)]
[(-14794, 2560, -7179), (58, 304, 7)]
[(-14794, 2560, -7179), (58, 304, 7)]
[(-14794, 2560, -7179), (58, 304, 7)]
[(-14794, 2560, -7179), (58, 304, 7)]
[(-14794, 2560, -7179), (58, 304, 7)]
[(-14794, 2560, -7179), (58, 304, 7)]
[(-14794, 2560, -7179), (58, 304, 7)]
[(-14767, 2553, -7204), (40, 299, 2)]
[(-14767, 2553, -7204), (40, 299, 2)]
[(-14767, 2553, -7204), (40, 299, 2)]
[(-14767, 2553, -7204), (40, 299, 2)]
[(-14767, 2553, -7204), (40, 299, 2)]
[(-14767, 2553, -7204), (40, 299, 2)]
[(-14792, 2531, -7227), (-34, 251, -9)]
[(-14792, 2531, -7227), (-34, 251, -9)]
[(-14792, 2531, -7227), (-34, 251, -9)]
[(-14792, 2531, -7227), (-34, 251, -9)]
[(-14792, 2531, -7227), (-34, 251, -9)]
[(-14786, 2532, -7379), (-588, 378, -129)]
[(-14786, 2532, -7379), (-588, 378, -129)]
[(-14786, 2532, -7379), (-588, 378, -129)]
[(-14786, 2532, -7379), (-588, 378, -129)]
[(-14786, 2532, -7379), (-588, 378, -129)]
[(-14786, 2532, -7379), (-588, 378, -129)]
[(-14832, 2515, -7456), (-907, 435, -187)]
[(-14832, 2515, -7456), (-907, 435, -187)]
[(-14832, 2515, -7456), (-907, 435, -187)]
[(-14832, 2515, -7456), (-907, 435, -187)]
[(-14832, 2515, -7456), (-907, 435, -187)]
[(-14832, 2515, -7456), (-907, 435, -187)]
[(-14832, 2515, -7456), (-907, 435, -187)]
[(-14794, 2532, -7453), (-765, 520, -162)]
[(-14794, 2532, -7453), (-765, 520, -162)]
[(-14794, 2532, -7453), (-765, 520, -162)]
[(-14794, 2532, -7453), (-765, 520, -162)]
[(-14794, 2532, -7453), (-765, 520, -162)]
[(-14786, 2583, -7434), (-593, 510, -136)]
[(-14786, 2583, -7434), (-593, 510, -136)]
[(-14786, 2583, -7434), (-593, 510, -136)]
[(-14786, 2583, -7434), (-593, 510, -136)]
[(-14786, 2583, -7434), (-593, 510, -136)]
[(-14786, 2583, -7434), (-593, 510, -136)]
[(-14765, 2532, -7456), (-522, 404, -100)]
[(-14765, 2532, -7456), (-522, 404, -100)]
[(-14765, 2532, -7456), (-522, 404, -100)]
[(-14765, 2532, -7456), (-522, 404, -100)]
[(-14765, 2532, -7456), (-522, 404, -100)]
[(-14765, 2532, -7456), (-522, 404, -100)]
[(-14765, 2532, -7456), (-522, 404, -100)]
[(-14782, 2583, -7442), (-563, 294, -82)]
[(-14782, 2583, -7442), (-563, 294, -82)]
[(-14782, 2583, -7442), (-563, 294, -82)]
[(-14782, 2583, -7442), (-563, 294, -82)]
[(-14782, 2583, -7442), (-563, 294, -82)]
[(-14788, 2584, -7401), (-485, 307, -74)]
[(-14788, 2584, -7401), (-485, 307, -74)]
[(-14788, 2584, -7401), (-485, 307, -74)]
[(-14788, 2584, -7401), (-485, 307, -74)]
[(-14788, 2584, -7401), (-485, 307, -74)]
[(-14788, 2584, -7401), (-485, 307, -74)]
[(-14780, 2625, -7400), (-280, 330, -22)]
[(-14780, 2625, -7400), (-280, 330, -22)]
[(-14780, 2625, -7400), (-280, 330, -22)]
[(-14780, 2625, -7400), (-280, 330, -22)]
[(-14780, 2625, -7400), (-280, 330, -22)]
