[(-14451, 4810, -6763), (-184, 251, 8)]
[(-14460, 4840, -6740), (-102, 307, 5)]
[(-14469, 4828, -6744), (-7, 232, -19)]
[(-14469, 4828, -6744), (-7, 232, -19)]
[(-14469, 4828, -6744), (-7, 232, -19)]
[(-14469, 4828, -6744), (-7, 232, -19)]
[(-14469, 4828, -6744), (-7, 232, -19)]
[(-14500, 4816, -6732), (100, 165, 29)]
[(-14500, 4816, -6732), (100, 165, 29)]
[(-14500, 4816, -6732), (100, 165, 29)]
[(-14500, 4816, -6732), (100, 165, 29)]
[(-14500, 4816, -6732), (100, 165, 29)]
[(-14500, 4816, -6732), (100, 165, 29)]
[(-14476, 4764, -6716), (23, 150, 46)]
[(-14476, 4764, -6716), (23, 150, 46)]
[(-14476, 4764, -6716), (23, 150, 46)]
[(-14476, 4764, -6716), (23, 150, 46)]
[(-14476, 4764, -6716), (23, 150, 46)]
[(-14476, 4764, -6716), (23, 150, 46)]
[(-14476, 4764, -6716), (23, 150, 46)]
[(-14471, 4753, -6712), (-9, 182, 46)]
[(-14471, 4753, -6712), (-9, 182, 46)]
[(-14471, 4753, -6712), (-9, 182, 46)]
[(-14471, 4753, -6712), (-9, 182, 46)]
[(-14471, 4753, -6712), (-9, 182, 46)]
[(-14471, 4753, -6712), (-9, 182, 46)]
[(-14465, 4760, -6749), (-390, 330, -50)]
[(-14465, 4760, -6749), (-390, 330, -50)]
[(-14465, 4760, -6749), (-390, 330, -50)]
[(-14465, 4760, -6749), (-390, 330, -50)]
[(-14465, 4760, -6749), (-390, 330, -50)]
[(-14465, 4760, -6749), (-390, 330, -50)]
[(-14456, 4792, -6732), (-520, 527, -91)]
[(-14456, 4792, -6732), (-520, 527, -91)]
[(-14456, 4792, -6732), (-520, 527, -91)]
[(-14456, 4792, -6732), (-520, 527, -91)]
[(-14456, 4792, -6732), (-520, 527, -91)]
[(-14456, 4792, -6732), (-520, 527, -91)]
[(-14421, 4838, -6862), (-593, 612, -46)]
[(-14421, 4838, -6862), (-593, 612, -46)]
[(-14421, 4838, -6862), (-593, 612, -46)]
[(-14421, 4838, -6862), (-593, 612, -46)]
[(-14421, 4838, -6862), (-593, 612, -46)]
[(-14421, 4838, -6862), (-593, 612, -46)]
[(-14421, 4838, -6862), (-593, 612, -46)]
[(-14400, 4815, -6927), (-522, 572, -98)]
[(-14400, 4815, -6927), (-522, 572, -98)]
[(-14400, 4815, -6927), (-522, 572, -98)]
[(-14400, 4815, -6927), (-522, 572, -98)]
[(-14384, 4845, -6944), (-451, 474, -89)]
[(-14384, 4845, -6944), (-451, 474, -89)]
[(-14384, 4845, -6944), (-451, 474, -89)]
[(-14384, 4845, -6944), (-451, 474, -89)]
[(-14384, 4845, -6944), (-451, 474, -89)]
[(-14384, 4845, -6944), (-451, 474, -89)]
[(-14384, 4845, -6944), (-451, 474, -89)]
[(-14384, 4845, -6944), (-451, 474, -89)]
[(-14384, 4845, -6944), (-451, 474, -89)]
[(-14360, 4804, -6972), (-229, 56, -77)]
[(-14360, 4804, -6972), (-229, 56, -77)]
[(-14360, 4804, -6972), (-229, 56, -77)]
[(-14336, 4812, -6940), (-145, 350, -12)]
[(-14336, 4812, -6940), (-145, 350, -12)]
[(-14336, 4812, -6940), (-145, 350, -12)]
[(-14336, 4812, -6940), (-145, 350, -12)]
[(-14336, 4812, -6940), (-145, 350, -12)]
[(-14336, 4812, -6940), (-145, 350, -12)]
[(-14352, 4912, -7020), (-96, 645, 228)]
[(-14352, 4912, -7020), (-96, 645, 228)]
[(-14352, 4912, -7020), (-96, 645, 228)]
[(-14352, 4912, -7020), (-96, 645, 228)]
[(-14352, 4912, -7020), (-96, 645, 228)]
[(-14352, 4912, -7020), (-96, 645, 228)]
[(-14352, 4912, -7020), (-96, 645, 228)]
[(-14356, 4780, -7078), (206, 512, -93)]
[(-14356, 4780, -7078), (206, 512, -93)]
[(-14356, 4780, -7078), (206, 512, -93)]
[(-14356, 4780, -7078), (206, 512, -93)]
[(-14356, 4780, -7078), (206, 512, -93)]
[(-14380, 4788, -7113), (160, 325, -148)]
[(-14380, 4788, -7113), (160, 325, -148)]
[(-14380, 4788, -7113), (160, 325, -148)]
[(-14380, 4788, -7113), (160, 325, -148)]
[(-14380, 4788, -7113), (160, 325, -148)]
[(-14380, 4788, -7113), (160, 325, -148)]
[(-14428, 4729, -7076), (62, 158, -107)]
[(-14428, 4729, -7076), (62, 158, -107)]
[(-14428, 4729, -7076), (62, 158, -107)]
[(-14428, 4729, -7076), (62, 158, -107)]
[(-14428, 4729, -7076), (62, 158, -107)]
[(-14428, 4729, -7076), (62, 158, -107)]
