[(-14568, 5134, -6191), (-157, 251, 81)]
[(-14582, 5157, -6207), (-173, 276, 84)]
[(-14582, 5157, -6207), (-173, 276, 84)]
[(-14582, 5157, -6207), (-173, 276, 84)]
[(-14580, 5183, -6171), (4, 185, 75)]
[(-14580, 5183, -6171), (4, 185, 75)]
[(-14580, 5183, -6171), (4, 185, 75)]
[(-14580, 5183, -6171), (4, 185, 75)]
[(-14580, 5183, -6171), (4, 185, 75)]
[(-14560, 5180, -6177), (122, 220, 163)]
[(-14560, 5180, -6177), (122, 220, 163)]
[(-14560, 5180, -6177), (122, 220, 163)]
[(-14560, 5180, -6177), (122, 220, 163)]
[(-14560, 5180, -6177), (122, 220, 163)]
[(-14560, 5180, -6177), (122, 220, 163)]
[(-14560, 5180, -6177), (122, 220, 163)]
[(-14572, 5127, -6148), (148, 138, 77)]
[(-14572, 5127, -6148), (148, 138, 77)]
[(-14572, 5127, -6148), (148, 138, 77)]
[(-14572, 5127, -6148), (148, 138, 77)]
[(-14572, 5127, -6148), (148, 138, 77)]
[(-14572, 5127, -6148), (148, 138, 77)]
[(-14545, 5126, -6156), (33, 162, 87)]
[(-14545, 5126, -6156), (33, 162, 87)]
[(-14545, 5126, -6156), (33, 162, 87)]
[(-14545, 5126, -6156), (33, 162, 87)]
[(-14545, 5126, -6156), (33, 162, 87)]
[(-14543, 5124, -6169), (-5, 216, 78)]
[(-14543, 5124, -6169), (-5, 216, 78)]
[(-14543, 5124, -6169), (-5, 216, 78)]
[(-14543, 5124, -6169), (-5, 216, 78)]
[(-14543, 5124, -6169), (-5, 216, 78)]
[(-14543, 5124, -6169), (-5, 216, 78)]
[(-14543, 5124, -6169), (-5, 216, 78)]
[(-14547, 5175, -6163), (-63, 251, 68)]
[(-14547, 5175, -6163), (-63, 251, 68)]
[(-14547, 5175, -6163), (-63, 251, 68)]
[(-14547, 5175, -6163), (-63, 251, 68)]
[(-14547, 5175, -6163), (-63, 251, 68)]
[(-14547, 5175, -6163), (-63, 251, 68)]
[(-14545, 5176, -6194), (-245, 326, 40)]
[(-14545, 5176, -6194), (-245, 326, 40)]
[(-14545, 5176, -6194), (-245, 326, 40)]
[(-14545, 5176, -6194), (-245, 326, 40)]
[(-14545, 5176, -6194), (-245, 326, 40)]
[(-14555, 5168, -6206), (-295, 360, 9)]
[(-14555, 5168, -6206), (-295, 360, 9)]
[(-14555, 5168, -6206), (-295, 360, 9)]
[(-14555, 5168, -6206), (-295, 360, 9)]
[(-14555, 5168, -6206), (-295, 360, 9)]
[(-14555, 5168, -6206), (-295, 360, 9)]
[(-14555, 5168, -6206), (-295, 360, 9)]
[(-14566, 5223, -6233), (-393, 252, 63)]
[(-14566, 5223, -6233), (-393, 252, 63)]
[(-14566, 5223, -6233), (-393, 252, 63)]
[(-14566, 5223, -6233), (-393, 252, 63)]
[(-14566, 5223, -6233), (-393, 252, 63)]
[(-14574, 5191, -6189), (-408, 228, 21)]
[(-14574, 5191, -6189), (-408, 228, 21)]
[(-14574, 5191, -6189), (-408, 228, 21)]
[(-14574, 5191, -6189), (-408, 228, 21)]
[(-14574, 5191, -6189), (-408, 228, 21)]
[(-14574, 5191, -6189), (-408, 228, 21)]
[(-14574, 5191, -6189), (-408, 228, 21)]
[(-14566, 5224, -6120), (-396, 225, -12)]
[(-14566, 5224, -6120), (-396, 225, -12)]
[(-14566, 5224, -6120), (-396, 225, -12)]
[(-14566, 5224, -6120), (-396, 225, -12)]
[(-14566, 5224, -6120), (-396, 225, -12)]
[(-14553, 5282, -6076), (-294, 304, -24)]
[(-14553, 5282, -6076), (-294, 304, -24)]
[(-14553, 5282, -6076), (-294, 304, -24)]
[(-14553, 5282, -6076), (-294, 304, -24)]
[(-14553, 5282, -6076), (-294, 304, -24)]
[(-14553, 5282, -6076), (-294, 304, -24)]
[(-14553, 5282, -6076), (-294, 304, -24)]
