[(-14756, 3752, -6562), (-86, 194, -7)]
[(-14758, 3752, -6546), (-133, 201, -30)]
[(-14758, 3752, -6546), (-133, 201, -30)]
[(-14758, 3752, -6546), (-133, 201, -30)]
[(-14782, 3747, -6557), (-114, 202, -22)]
[(-14782, 3747, -6557), (-114, 202, -22)]
[(-14782, 3747, -6557), (-114, 202, -22)]
[(-14782, 3747, -6557), (-114, 202, -22)]
[(-14782, 3747, -6557), (-114, 202, -22)]
[(-14791, 3752, -6582), (-87, 219, -28)]
[(-14791, 3752, -6582), (-87, 219, -28)]
[(-14791, 3752, -6582), (-87, 219, -28)]
[(-14791, 3752, -6582), (-87, 219, -28)]
[(-14791, 3752, -6582), (-87, 219, -28)]
[(-14791, 3752, -6582), (-87, 219, -28)]
[(-14784, 3745, -6584), (-117, 222, -29)]
[(-14784, 3745, -6584), (-117, 222, -29)]
[(-14784, 3745, -6584), (-117, 222, -29)]
[(-14784, 3745, -6584), (-117, 222, -29)]
[(-14784, 3745, -6584), (-117, 222, -29)]
[(-14784, 3745, -6584), (-117, 222, -29)]
[(-14784, 3745, -6584), (-117, 222, -29)]
[(-14775, 3719, -6577), (-127, 232, -23)]
[(-14775, 3719, -6577), (-127, 232, -23)]
[(-14775, 3719, -6577), (-127, 232, -23)]
[(-14775, 3719, -6577), (-127, 232, -23)]
[(-14775, 3719, -6577), (-127, 232, -23)]
[(-14776, 3724, -6549), (-58, 251, -22)]
[(-14776, 3724, -6549), (-58, 251, -22)]
[(-14776, 3724, -6549), (-58, 251, -22)]
[(-14776, 3724, -6549), (-58, 251, -22)]
[(-14776, 3724, -6549), (-58, 251, -22)]
[(-14776, 3724, -6549), (-58, 251, -22)]
[(-14790, 3727, -6533), (-76, 224, -32)]
[(-14790, 3727, -6533), (-76, 224, -32)]
[(-14790, 3727, -6533), (-76, 224, -32)]
[(-14790, 3727, -6533), (-76, 224, -32)]
[(-14790, 3727, -6533), (-76, 224, -32)]
[(-14790, 3727, -6533), (-76, 224, -32)]
[(-14790, 3727, -6533), (-76, 224, -32)]
[(-14830, 3725, -6538), (-130, 211, -30)]
[(-14830, 3725, -6538), (-130, 211, -30)]
[(-14830, 3725, -6538), (-130, 211, -30)]
[(-14830, 3725, -6538), (-130, 211, -30)]
[(-14830, 3725, -6538), (-130, 211, -30)]
[(-14831, 3704, -6533), (-120, 201, -28)]
[(-14831, 3704, -6533), (-120, 201, -28)]
[(-14831, 3704, -6533), (-120, 201, -28)]
[(-14831, 3704, -6533), (-120, 201, -28)]
[(-14831, 3704, -6533), (-120, 201, -28)]
[(-14831, 3704, -6533), (-120, 201, -28)]
[(-14804, 3694, -6560), (-118, 215, -12)]
[(-14804, 3694, -6560), (-118, 215, -12)]
[(-14804, 3694, -6560), (-118, 215, -12)]
[(-14804, 3694, -6560), (-118, 215, -12)]
[(-14804, 3694, -6560), (-118, 215, -12)]
[(-14804, 3694, -6560), (-118, 215, -12)]
[(-14804, 3694, -6560), (-118, 215, -12)]
[(-14798, 3694, -6523), (-147, 211, 8)]
[(-14798, 3694, -6523), (-147, 211, 8)]
[(-14798, 3694, -6523), (-147, 211, 8)]
[(-14798, 3694, -6523), (-147, 211, 8)]
[(-14798, 3694, -6523), (-147, 211, 8)]
[(-14799, 3704, -6555), (-161, 238, 8)]
[(-14799, 3704, -6555), (-161, 238, 8)]
[(-14799, 3704, -6555), (-161, 238, 8)]
[(-14799, 3704, -6555), (-161, 238, 8)]
[(-14799, 3704, -6555), (-161, 238, 8)]
[(-14799, 3704, -6555), (-161, 238, 8)]
[(-14806, 3724, -6552), (-91, 233, 12)]
[(-14806, 3724, -6552), (-91, 233, 12)]
[(-14806, 3724, -6552), (-91, 233, 12)]
[(-14806, 3724, -6552), (-91, 233, 12)]
[(-14806, 3724, -6552), (-91, 233, 12)]
[(-14806, 3724, -6552), (-91, 233, 12)]
[(-14806, 3724, -6552), (-91, 233, 12)]
