[(-14699, 3868, -6814), (-138, 194, 15)]
[(-14684, 3856, -6808), (-121, 208, 22)]
[(-14684, 3856, -6808), (-121, 208, 22)]
[(-14684, 3856, -6808), (-121, 208, 22)]
[(-14684, 3856, -6808), (-121, 208, 22)]
[(-14684, 3856, -6808), (-121, 208, 22)]
[(-14676, 3865, -6796), (-69, 204, 1)]
[(-14676, 3865, -6796), (-69, 204, 1)]
[(-14676, 3865, -6796), (-69, 204, 1)]
[(-14676, 3865, -6796), (-69, 204, 1)]
[(-14676, 3865, -6796), (-69, 204, 1)]
[(-14675, 3871, -6792), (-66, 189, -25)]
[(-14675, 3871, -6792), (-66, 189, -25)]
[(-14675, 3871, -6792), (-66, 189, -25)]
[(-14675, 3871, -6792), (-66, 189, -25)]
[(-14675, 3871, -6792), (-66, 189, -25)]
[(-14691, 3864, -6759), (-115, 192, -42)]
[(-14691, 3864, -6759), (-115, 192, -42)]
[(-14691, 3864, -6759), (-115, 192, -42)]
[(-14691, 3864, -6759), (-115, 192, -42)]
[(-14691, 3864, -6759), (-115, 192, -42)]
[(-14691, 3864, -6759), (-115, 192, -42)]
[(-14691, 3864, -6759), (-115, 192, -42)]
[(-14691, 3864, -6759), (-115, 192, -42)]
[(-14698, 3876, -6778), (-117, 180, -21)]
[(-14698, 3876, -6778), (-117, 180, -21)]
[(-14698, 3876, -6778), (-117, 180, -21)]
[(-14698, 3876, -6778), (-117, 180, -21)]
[(-14698, 3876, -6778), (-117, 180, -21)]
[(-14690, 3845, -6782), (-105, 182, -21)]
[(-14690, 3845, -6782), (-105, 182, -21)]
[(-14690, 3845, -6782), (-105, 182, -21)]
[(-14690, 3845, -6782), (-105, 182, -21)]
[(-14690, 3845, -6782), (-105, 182, -21)]
[(-14693, 3838, -6783), (-125, 185, -13)]
[(-14693, 3838, -6783), (-125, 185, -13)]
[(-14693, 3838, -6783), (-125, 185, -13)]
[(-14693, 3838, -6783), (-125, 185, -13)]
[(-14693, 3838, -6783), (-125, 185, -13)]
[(-14693, 3838, -6783), (-125, 185, -13)]
[(-14693, 3838, -6783), (-125, 185, -13)]
[(-14693, 3838, -6783), (-125, 185, -13)]
[(-14688, 3843, -6772), (-137, 206, -27)]
[(-14688, 3843, -6772), (-137, 206, -27)]
[(-14688, 3843, -6772), (-137, 206, -27)]
[(-14688, 3843, -6772), (-137, 206, -27)]
[(-14712, 3884, -6751), (-159, 156, 17)]
[(-14712, 3884, -6751), (-159, 156, 17)]
[(-14712, 3884, -6751), (-159, 156, 17)]
[(-14712, 3884, -6751), (-159, 156, 17)]
[(-14712, 3884, -6751), (-159, 156, 17)]
[(-14712, 3884, -6751), (-159, 156, 17)]
[(-14712, 3884, -6751), (-159, 156, 17)]
[(-14710, 3841, -6751), (-125, 187, -14)]
[(-14710, 3841, -6751), (-125, 187, -14)]
[(-14710, 3841, -6751), (-125, 187, -14)]
[(-14710, 3841, -6751), (-125, 187, -14)]
[(-14710, 3841, -6751), (-125, 187, -14)]
[(-14710, 3841, -6751), (-125, 187, -14)]
[(-14728, 3842, -6746), (-153, 175, -10)]
[(-14728, 3842, -6746), (-153, 175, -10)]
[(-14728, 3842, -6746), (-153, 175, -10)]
[(-14728, 3842, -6746), (-153, 175, -10)]
[(-14728, 3842, -6746), (-153, 175, -10)]
[(-14707, 3823, -6740), (-171, 200, 12)]
[(-14707, 3823, -6740), (-171, 200, 12)]
[(-14707, 3823, -6740), (-171, 200, 12)]
[(-14707, 3823, -6740), (-171, 200, 12)]
[(-14707, 3823, -6740), (-171, 200, 12)]
