[(-14252, 5111, -7022), (-112, 281, -51)]
[(-14244, 5097, -7036), (-148, 253, -48)]
[(-14273, 5069, -7010), (-137, 274, -47)]
[(-14273, 5069, -7010), (-137, 274, -47)]
[(-14273, 5069, -7010), (-137, 274, -47)]
[(-14273, 5069, -7010), (-137, 274, -47)]
[(-14273, 5069, -7010), (-137, 274, -47)]
[(-14273, 5069, -7010), (-137, 274, -47)]
[(-14273, 5069, -7010), (-137, 274, -47)]
[(-14264, 5103, -7028), (-235, 431, -48)]
[(-14264, 5103, -7028), (-235, 431, -48)]
[(-14264, 5103, -7028), (-235, 431, -48)]
[(-14264, 5103, -7028), (-235, 431, -48)]
[(-14264, 5103, -7028), (-235, 431, -48)]
[(-14268, 5100, -7048), (-238, 439, -22)]
[(-14268, 5100, -7048), (-238, 439, -22)]
[(-14268, 5100, -7048), (-238, 439, -22)]
[(-14268, 5100, -7048), (-238, 439, -22)]
[(-14268, 5100, -7048), (-238, 439, -22)]
[(-14268, 5100, -7048), (-238, 439, -22)]
[(-14236, 5128, -7066), (-310, 506, -36)]
[(-14236, 5128, -7066), (-310, 506, -36)]
[(-14236, 5128, -7066), (-310, 506, -36)]
[(-14236, 5128, -7066), (-310, 506, -36)]
[(-14236, 5128, -7066), (-310, 506, -36)]
[(-14236, 5128, -7066), (-310, 506, -36)]
[(-14236, 5128, -7066), (-310, 506, -36)]
[(-14205, 5121, -7104), (-321, 518, -31)]
[(-14205, 5121, -7104), (-321, 518, -31)]
[(-14205, 5121, -7104), (-321, 518, -31)]
[(-14205, 5121, -7104), (-321, 518, -31)]
[(-14205, 5121, -7104), (-321, 518, -31)]
[(-14194, 5097, -7102), (-204, 463, -140)]
[(-14194, 5097, -7102), (-204, 463, -140)]
[(-14194, 5097, -7102), (-204, 463, -140)]
[(-14194, 5097, -7102), (-204, 463, -140)]
[(-14194, 5097, -7102), (-204, 463, -140)]
[(-14194, 5097, -7102), (-204, 463, -140)]
[(-14194, 5097, -7102), (-204, 463, -140)]
[(-14200, 5048, -7122), (-200, 397, -96)]
[(-14200, 5048, -7122), (-200, 397, -96)]
[(-14200, 5048, -7122), (-200, 397, -96)]
[(-14200, 5048, -7122), (-200, 397, -96)]
[(-14200, 5048, -7122), (-200, 397, -96)]
[(-14200, 5048, -7122), (-200, 397, -96)]
[(-14233, 5033, -7125), (-206, 397, -71)]
[(-14233, 5033, -7125), (-206, 397, -71)]
[(-14233, 5033, -7125), (-206, 397, -71)]
[(-14233, 5033, -7125), (-206, 397, -71)]
[(-14233, 5033, -7125), (-206, 397, -71)]
[(-14233, 5033, -7125), (-206, 397, -71)]
[(-14233, 5033, -7125), (-206, 397, -71)]
[(-14236, 4983, -7160), (-111, 355, -1)]
[(-14236, 4983, -7160), (-111, 355, -1)]
[(-14236, 4983, -7160), (-111, 355, -1)]
[(-14236, 4983, -7160), (-111, 355, -1)]
[(-14225, 5009, -7176), (51, 193, 139)]
[(-14225, 5009, -7176), (51, 193, 139)]
[(-14225, 5009, -7176), (51, 193, 139)]
[(-14225, 5009, -7176), (51, 193, 139)]
[(-14225, 5009, -7176), (51, 193, 139)]
[(-14225, 5009, -7176), (51, 193, 139)]
[(-14225, 5009, -7176), (51, 193, 139)]
[(-14225, 5009, -7176), (51, 193, 139)]
[(-14225, 5009, -7176), (51, 193, 139)]
[(-14192, 5095, -7159), (-123, 151, 341)]
[(-14192, 5095, -7159), (-123, 151, 341)]
[(-14192, 5095, -7159), (-123, 151, 341)]
[(-14162, 5160, -7151), (-208, 137, 399)]
[(-14162, 5160, -7151), (-208, 137, 399)]
[(-14162, 5160, -7151), (-208, 137, 399)]
[(-14162, 5160, -7151), (-208, 137, 399)]
[(-14162, 5160, -7151), (-208, 137, 399)]
[(-14138, 5232, -7102), (-200, 142, 344)]
[(-14138, 5232, -7102), (-200, 142, 344)]
[(-14138, 5232, -7102), (-200, 142, 344)]
[(-14138, 5232, -7102), (-200, 142, 344)]
[(-14138, 5232, -7102), (-200, 142, 344)]
[(-14138, 5232, -7102), (-200, 142, 344)]
[(-14118, 5290, -7100), (-177, 201, 256)]
[(-14118, 5290, -7100), (-177, 201, 256)]
[(-14118, 5290, -7100), (-177, 201, 256)]
[(-14118, 5290, -7100), (-177, 201, 256)]
[(-14118, 5290, -7100), (-177, 201, 256)]
[(-14138, 5327, -7055), (-188, 206, 195)]
[(-14138, 5327, -7055), (-188, 206, 195)]
[(-14138, 5327, -7055), (-188, 206, 195)]
[(-14138, 5327, -7055), (-188, 206, 195)]
[(-14138, 5327, -7055), (-188, 206, 195)]
[(-14138, 5327, -7055), (-188, 206, 195)]
[(-14126, 5364, -7004), (-186, 245, 166)]
[(-14126, 5364, -7004), (-186, 245, 166)]
[(-14126, 5364, -7004), (-186, 245, 166)]
[(-14126, 5364, -7004), (-186, 245, 166)]
[(-14126, 5364, -7004), (-186, 245, 166)]
[(-14115, 5392, -6991), (-171, 263, 160)]
[(-14115, 5392, -6991), (-171, 263, 160)]
[(-14115, 5392, -6991), (-171, 263, 160)]
