[(-14658, 4657, -6320), (-102, 285, -10)]
[(-14684, 4646, -6320), (-136, 259, 18)]
[(-14684, 4646, -6320), (-136, 259, 18)]
[(-14684, 4646, -6320), (-136, 259, 18)]
[(-14684, 4646, -6320), (-136, 259, 18)]
[(-14673, 4607, -6312), (-120, 281, -14)]
[(-14673, 4607, -6312), (-120, 281, -14)]
[(-14673, 4607, -6312), (-120, 281, -14)]
[(-14673, 4607, -6312), (-120, 281, -14)]
[(-14673, 4607, -6312), (-120, 281, -14)]
[(-14664, 4600, -6323), (-192, 301, 0)]
[(-14664, 4600, -6323), (-192, 301, 0)]
[(-14664, 4600, -6323), (-192, 301, 0)]
[(-14664, 4600, -6323), (-192, 301, 0)]
[(-14664, 4600, -6323), (-192, 301, 0)]
[(-14632, 4610, -6268), (-395, 442, -34)]
[(-14632, 4610, -6268), (-395, 442, -34)]
[(-14632, 4610, -6268), (-395, 442, -34)]
[(-14632, 4610, -6268), (-395, 442, -34)]
[(-14632, 4610, -6268), (-395, 442, -34)]
[(-14632, 4610, -6268), (-395, 442, -34)]
[(-14632, 4610, -6268), (-395, 442, -34)]
[(-14632, 4610, -6268), (-395, 442, -34)]
[(-14632, 4636, -6294), (-388, 507, -116)]
[(-14632, 4636, -6294), (-388, 507, -116)]
[(-14632, 4636, -6294), (-388, 507, -116)]
[(-14632, 4636, -6294), (-388, 507, -116)]
[(-14632, 4636, -6294), (-388, 507, -116)]
[(-14606, 4645, -6317), (-296, 474, -234)]
[(-14606, 4645, -6317), (-296, 474, -234)]
[(-14606, 4645, -6317), (-296, 474, -234)]
[(-14606, 4645, -6317), (-296, 474, -234)]
[(-14606, 4645, -6317), (-296, 474, -234)]
[(-14628, 4627, -6320), (-196, 429, -352)]
[(-14628, 4627, -6320), (-196, 429, -352)]
[(-14628, 4627, -6320), (-196, 429, -352)]
[(-14628, 4627, -6320), (-196, 429, -352)]
[(-14628, 4627, -6320), (-196, 429, -352)]
[(-14628, 4627, -6320), (-196, 429, -352)]
[(-14628, 4627, -6320), (-196, 429, -352)]
[(-14628, 4627, -6320), (-196, 429, -352)]
[(-14692, 4538, -6358), (-132, 352, -379)]
[(-14692, 4538, -6358), (-132, 352, -379)]
[(-14692, 4538, -6358), (-132, 352, -379)]
[(-14692, 4538, -6358), (-132, 352, -379)]
[(-14692, 4538, -6358), (-132, 352, -379)]
[(-14735, 4373, -6376), (-175, 366, -405)]
[(-14735, 4373, -6376), (-175, 366, -405)]
[(-14735, 4373, -6376), (-175, 366, -405)]
[(-14735, 4373, -6376), (-175, 366, -405)]
[(-14735, 4373, -6376), (-175, 366, -405)]
[(-14755, 4265, -6370), (-184, 337, -213)]
[(-14755, 4265, -6370), (-184, 337, -213)]
[(-14755, 4265, -6370), (-184, 337, -213)]
[(-14755, 4265, -6370), (-184, 337, -213)]
[(-14755, 4265, -6370), (-184, 337, -213)]
[(-14755, 4265, -6370), (-184, 337, -213)]
[(-14780, 4236, -6385), (-83, 231, 71)]
[(-14780, 4236, -6385), (-83, 231, 71)]
[(-14780, 4236, -6385), (-83, 231, 71)]
[(-14780, 4236, -6385), (-83, 231, 71)]
[(-14780, 4236, -6385), (-83, 231, 71)]
[(-14780, 4236, -6385), (-83, 231, 71)]
[(-14780, 4236, -6385), (-83, 231, 71)]
[(-14765, 4294, -6360), (-96, 219, 365)]
[(-14765, 4294, -6360), (-96, 219, 365)]
[(-14765, 4294, -6360), (-96, 219, 365)]
[(-14765, 4294, -6360), (-96, 219, 365)]
[(-14765, 4294, -6360), (-96, 219, 365)]
[(-14692, 4545, -6323), (-265, 263, 617)]
[(-14692, 4545, -6323), (-265, 263, 617)]
[(-14692, 4545, -6323), (-265, 263, 617)]
[(-14692, 4545, -6323), (-265, 263, 617)]
[(-14692, 4545, -6323), (-265, 263, 617)]
[(-14692, 4545, -6323), (-265, 263, 617)]
[(-14692, 4545, -6323), (-265, 263, 617)]
[(-14676, 4461, -6251), (-405, 364, 445)]
[(-14676, 4461, -6251), (-405, 364, 445)]
[(-14676, 4461, -6251), (-405, 364, 445)]
[(-14676, 4461, -6251), (-405, 364, 445)]
[(-14676, 4461, -6251), (-405, 364, 445)]
[(-14633, 4575, -6346), (215, 331, 318)]
[(-14633, 4575, -6346), (215, 331, 318)]
[(-14633, 4575, -6346), (215, 331, 318)]
[(-14633, 4575, -6346), (215, 331, 318)]
[(-14633, 4575, -6346), (215, 331, 318)]
[(-14602, 4727, -6432), (173, 367, 269)]
[(-14602, 4727, -6432), (173, 367, 269)]
[(-14602, 4727, -6432), (173, 367, 269)]
[(-14602, 4727, -6432), (173, 367, 269)]
[(-14602, 4727, -6432), (173, 367, 269)]
[(-14602, 4727, -6432), (173, 367, 269)]
[(-14609, 4716, -6456), (-81, 338, 159)]
[(-14609, 4716, -6456), (-81, 338, 159)]
[(-14609, 4716, -6456), (-81, 338, 159)]
[(-14609, 4716, -6456), (-81, 338, 159)]
[(-14609, 4716, -6456), (-81, 338, 159)]
[(-14609, 4716, -6456), (-81, 338, 159)]
[(-14609, 4716, -6456), (-81, 338, 159)]
[(-14647, 4672, -6417), (-37, 319, 92)]
[(-14647, 4672, -6417), (-37, 319, 92)]
