[(-14213, 5345, -6838), (-144, 281, -20)]
[(-14216, 5323, -6852), (-133, 273, -22)]
[(-14216, 5323, -6852), (-133, 273, -22)]
[(-14216, 5323, -6852), (-133, 273, -22)]
[(-14216, 5312, -6834), (-96, 262, -22)]
[(-14216, 5312, -6834), (-96, 262, -22)]
[(-14216, 5312, -6834), (-96, 262, -22)]
[(-14216, 5312, -6834), (-96, 262, -22)]
[(-14216, 5312, -6834), (-96, 262, -22)]
[(-14216, 5312, -6834), (-96, 262, -22)]
[(-14231, 5326, -6837), (-59, 237, -10)]
[(-14231, 5326, -6837), (-59, 237, -10)]
[(-14231, 5326, -6837), (-59, 237, -10)]
[(-14231, 5326, -6837), (-59, 237, -10)]
[(-14231, 5326, -6837), (-59, 237, -10)]
[(-14247, 5328, -6811), (69, 176, 25)]
[(-14247, 5328, -6811), (69, 176, 25)]
[(-14247, 5328, -6811), (69, 176, 25)]
[(-14247, 5328, -6811), (69, 176, 25)]
[(-14247, 5328, -6811), (69, 176, 25)]
[(-14247, 5328, -6811), (69, 176, 25)]
[(-14247, 5328, -6811), (69, 176, 25)]
[(-14266, 5352, -6816), (71, 177, 105)]
[(-14266, 5352, -6816), (71, 177, 105)]
[(-14266, 5352, -6816), (71, 177, 105)]
[(-14266, 5352, -6816), (71, 177, 105)]
[(-14266, 5352, -6816), (71, 177, 105)]
[(-14266, 5352, -6816), (71, 177, 105)]
[(-14259, 5302, -6787), (32, 263, 56)]
[(-14259, 5302, -6787), (32, 263, 56)]
[(-14259, 5302, -6787), (32, 263, 56)]
[(-14259, 5302, -6787), (32, 263, 56)]
[(-14259, 5302, -6787), (32, 263, 56)]
[(-14274, 5292, -6826), (-240, 372, 10)]
[(-14274, 5292, -6826), (-240, 372, 10)]
[(-14274, 5292, -6826), (-240, 372, 10)]
[(-14274, 5292, -6826), (-240, 372, 10)]
[(-14274, 5292, -6826), (-240, 372, 10)]
[(-14274, 5292, -6826), (-240, 372, 10)]
[(-14274, 5292, -6826), (-240, 372, 10)]
[(-14245, 5243, -6831), (-302, 434, -4)]
[(-14245, 5243, -6831), (-302, 434, -4)]
[(-14245, 5243, -6831), (-302, 434, -4)]
[(-14245, 5243, -6831), (-302, 434, -4)]
[(-14245, 5243, -6831), (-302, 434, -4)]
[(-14245, 5243, -6831), (-302, 434, -4)]
[(-14289, 5388, -6952), (-592, 758, -193)]
[(-14289, 5388, -6952), (-592, 758, -193)]
[(-14289, 5388, -6952), (-592, 758, -193)]
[(-14289, 5388, -6952), (-592, 758, -193)]
[(-14289, 5388, -6952), (-592, 758, -193)]
[(-14250, 5373, -7019), (-798, 719, -184)]
[(-14250, 5373, -7019), (-798, 719, -184)]
[(-14250, 5373, -7019), (-798, 719, -184)]
[(-14250, 5373, -7019), (-798, 719, -184)]
[(-14250, 5373, -7019), (-798, 719, -184)]
[(-14250, 5373, -7019), (-798, 719, -184)]
[(-14250, 5373, -7019), (-798, 719, -184)]
[(-14241, 5363, -7031), (-874, 532, -122)]
[(-14241, 5363, -7031), (-874, 532, -122)]
[(-14241, 5363, -7031), (-874, 532, -122)]
[(-14241, 5363, -7031), (-874, 532, -122)]
[(-14241, 5363, -7031), (-874, 532, -122)]
[(-14241, 5363, -7031), (-874, 532, -122)]
[(-14212, 5378, -7019), (-680, 412, -39)]
[(-14212, 5378, -7019), (-680, 412, -39)]
[(-14212, 5378, -7019), (-680, 412, -39)]
[(-14212, 5378, -7019), (-680, 412, -39)]
[(-14212, 5378, -7019), (-680, 412, -39)]
[(-14175, 5414, -7035), (-472, 365, 47)]
[(-14175, 5414, -7035), (-472, 365, 47)]
[(-14175, 5414, -7035), (-472, 365, 47)]
[(-14175, 5414, -7035), (-472, 365, 47)]
[(-14175, 5414, -7035), (-472, 365, 47)]
[(-14175, 5414, -7035), (-472, 365, 47)]
[(-14175, 5414, -7035), (-472, 365, 47)]
[(-14153, 5445, -6971), (-227, 181, 67)]
[(-14153, 5445, -6971), (-227, 181, 67)]
[(-14153, 5445, -6971), (-227, 181, 67)]
[(-14153, 5445, -6971), (-227, 181, 67)]
[(-14153, 5445, -6971), (-227, 181, 67)]
[(-14153, 5445, -6971), (-227, 181, 67)]
[(-14160, 5565, -6866), (-359, 55, 89)]
[(-14160, 5565, -6866), (-359, 55, 89)]
[(-14160, 5565, -6866), (-359, 55, 89)]
[(-14160, 5565, -6866), (-359, 55, 89)]
[(-14160, 5565, -6866), (-359, 55, 89)]
[(-14162, 5450, -6825), (-185, 142, -28)]
[(-14162, 5450, -6825), (-185, 142, -28)]
[(-14162, 5450, -6825), (-185, 142, -28)]
[(-14162, 5450, -6825), (-185, 142, -28)]
[(-14162, 5450, -6825), (-185, 142, -28)]
[(-14191, 5472, -6812), (33, 145, -29)]
[(-14191, 5472, -6812), (33, 145, -29)]
[(-14191, 5472, -6812), (33, 145, -29)]
[(-14191, 5472, -6812), (33, 145, -29)]
[(-14191, 5472, -6812), (33, 145, -29)]
[(-14191, 5472, -6812), (33, 145, -29)]
[(-14168, 5482, -6799), (-33, 163, -15)]
[(-14168, 5482, -6799), (-33, 163, -15)]
[(-14168, 5482, -6799), (-33, 163, -15)]
[(-14168, 5482, -6799), (-33, 163, -15)]
[(-14168, 5482, -6799), (-33, 163, -15)]
[(-14186, 5424, -6788), (-38, 191, -10)]
[(-14186, 5424, -6788), (-38, 191, -10)]
[(-14186, 5424, -6788), (-38, 191, -10)]
[(-14186, 5424, -6788), (-38, 191, -10)]
[(-14186, 5424, -6788), (-38, 191, -10)]
[(-14186, 5424, -6788), (-38, 191, -10)]
[(-14186, 5424, -6788), (-38, 191, -10)]
[(-14186, 5424, -6788), (-38, 191, -10)]
[(-14165, 5418, -6812), (-11, 246, 54)]
[(-14165, 5418, -6812), (-11, 246, 54)]
[(-14165, 5418, -6812), (-11, 246, 54)]
