[(-14274, 5436, -6558), (-180, 185, -37)]
[(-14283, 5455, -6532), (-137, 162, -3)]
[(-14283, 5455, -6532), (-137, 162, -3)]
[(-14283, 5455, -6532), (-137, 162, -3)]
[(-14283, 5455, -6532), (-137, 162, -3)]
[(-14302, 5434, -6519), (-88, 180, 3)]
[(-14302, 5434, -6519), (-88, 180, 3)]
[(-14302, 5434, -6519), (-88, 180, 3)]
[(-14302, 5434, -6519), (-88, 180, 3)]
[(-14302, 5434, -6519), (-88, 180, 3)]
[(-14285, 5416, -6502), (-8, 170, 7)]
[(-14285, 5416, -6502), (-8, 170, 7)]
[(-14285, 5416, -6502), (-8, 170, 7)]
[(-14285, 5416, -6502), (-8, 170, 7)]
[(-14285, 5416, -6502), (-8, 170, 7)]
[(-14294, 5411, -6527), (23, 199, 41)]
[(-14294, 5411, -6527), (23, 199, 41)]
[(-14294, 5411, -6527), (23, 199, 41)]
[(-14294, 5411, -6527), (23, 199, 41)]
[(-14294, 5411, -6527), (23, 199, 41)]
[(-14294, 5411, -6527), (23, 199, 41)]
[(-14294, 5411, -6527), (23, 199, 41)]
[(-14294, 5411, -6527), (23, 199, 41)]
[(-14291, 5409, -6511), (-9, 220, 80)]
[(-14291, 5409, -6511), (-9, 220, 80)]
[(-14291, 5409, -6511), (-9, 220, 80)]
[(-14291, 5409, -6511), (-9, 220, 80)]
[(-14291, 5409, -6511), (-9, 220, 80)]
[(-14302, 5411, -6504), (-30, 232, 60)]
[(-14302, 5411, -6504), (-30, 232, 60)]
[(-14302, 5411, -6504), (-30, 232, 60)]
[(-14302, 5411, -6504), (-30, 232, 60)]
[(-14302, 5411, -6504), (-30, 232, 60)]
[(-14305, 5464, -6475), (-119, 278, 49)]
[(-14305, 5464, -6475), (-119, 278, 49)]
[(-14305, 5464, -6475), (-119, 278, 49)]
[(-14305, 5464, -6475), (-119, 278, 49)]
[(-14305, 5464, -6475), (-119, 278, 49)]
[(-14305, 5464, -6475), (-119, 278, 49)]
[(-14305, 5464, -6475), (-119, 278, 49)]
[(-14305, 5464, -6475), (-119, 278, 49)]
[(-14305, 5464, -6475), (-119, 278, 49)]
[(-14228, 5496, -6550), (-516, 411, 22)]
[(-14228, 5496, -6550), (-516, 411, 22)]
[(-14228, 5496, -6550), (-516, 411, 22)]
[(-14228, 5496, -6550), (-516, 411, 22)]
