[(-14635, 4603, -6468), (-73, 253, 26)]
[(-14654, 4608, -6465), (-133, 201, 54)]
[(-14654, 4608, -6465), (-133, 201, 54)]
[(-14654, 4608, -6465), (-133, 201, 54)]
[(-14654, 4608, -6465), (-133, 201, 54)]
[(-14654, 4608, -6465), (-133, 201, 54)]
[(-14654, 4608, -6465), (-133, 201, 54)]
[(-14654, 4608, -6465), (-133, 201, 54)]
[(-14636, 4604, -6502), (-111, 208, 22)]
[(-14636, 4604, -6502), (-111, 208, 22)]
[(-14636, 4604, -6502), (-111, 208, 22)]
[(-14636, 4604, -6502), (-111, 208, 22)]
[(-14636, 4604, -6502), (-111, 208, 22)]
[(-14636, 4604, -6502), (-111, 208, 22)]
[(-14643, 4619, -6503), (-41, 183, 17)]
[(-14643, 4619, -6503), (-41, 183, 17)]
[(-14643, 4619, -6503), (-41, 183, 17)]
[(-14643, 4619, -6503), (-41, 183, 17)]
[(-14643, 4619, -6503), (-41, 183, 17)]
[(-14641, 4628, -6470), (-39, 212, 12)]
[(-14641, 4628, -6470), (-39, 212, 12)]
[(-14641, 4628, -6470), (-39, 212, 12)]
[(-14641, 4628, -6470), (-39, 212, 12)]
[(-14641, 4628, -6470), (-39, 212, 12)]
[(-14641, 4628, -6470), (-39, 212, 12)]
[(-14641, 4628, -6470), (-39, 212, 12)]
[(-14628, 4636, -6465), (-100, 247, -28)]
[(-14628, 4636, -6465), (-100, 247, -28)]
[(-14628, 4636, -6465), (-100, 247, -28)]
[(-14628, 4636, -6465), (-100, 247, -28)]
[(-14628, 4636, -6465), (-100, 247, -28)]
[(-14628, 4636, -6465), (-100, 247, -28)]
[(-14652, 4632, -6466), (-97, 266, -19)]
[(-14652, 4632, -6466), (-97, 266, -19)]
[(-14652, 4632, -6466), (-97, 266, -19)]
[(-14652, 4632, -6466), (-97, 266, -19)]
[(-14652, 4632, -6466), (-97, 266, -19)]
[(-14664, 4621, -6444), (-130, 276, -12)]
[(-14664, 4621, -6444), (-130, 276, -12)]
[(-14664, 4621, -6444), (-130, 276, -12)]
[(-14664, 4621, -6444), (-130, 276, -12)]
[(-14664, 4621, -6444), (-130, 276, -12)]
[(-14664, 4621, -6444), (-130, 276, -12)]
[(-14664, 4621, -6444), (-130, 276, -12)]
[(-14659, 4596, -6419), (-137, 288, -17)]
[(-14659, 4596, -6419), (-137, 288, -17)]
[(-14659, 4596, -6419), (-137, 288, -17)]
[(-14659, 4596, -6419), (-137, 288, -17)]
[(-14659, 4596, -6419), (-137, 288, -17)]
[(-14659, 4596, -6419), (-137, 288, -17)]
[(-14684, 4649, -6419), (-276, 243, 39)]
[(-14684, 4649, -6419), (-276, 243, 39)]
[(-14684, 4649, -6419), (-276, 243, 39)]
[(-14684, 4649, -6419), (-276, 243, 39)]
[(-14684, 4649, -6419), (-276, 243, 39)]
[(-14652, 4644, -6410), (-261, 274, 25)]
[(-14652, 4644, -6410), (-261, 274, 25)]
[(-14652, 4644, -6410), (-261, 274, 25)]
[(-14652, 4644, -6410), (-261, 274, 25)]
[(-14652, 4644, -6410), (-261, 274, 25)]
[(-14652, 4644, -6410), (-261, 274, 25)]
[(-14652, 4644, -6410), (-261, 274, 25)]
[(-14660, 4640, -6448), (-191, 301, 21)]
[(-14660, 4640, -6448), (-191, 301, 21)]
[(-14660, 4640, -6448), (-191, 301, 21)]
[(-14660, 4640, -6448), (-191, 301, 21)]
[(-14660, 4640, -6448), (-191, 301, 21)]
[(-14660, 4640, -6448), (-191, 301, 21)]
[(-14639, 4623, -6476), (-163, 298, 10)]
[(-14639, 4623, -6476), (-163, 298, 10)]
[(-14639, 4623, -6476), (-163, 298, 10)]
[(-14639, 4623, -6476), (-163, 298, 10)]
[(-14639, 4623, -6476), (-163, 298, 10)]
[(-14633, 4648, -6451), (-172, 287, 5)]
[(-14633, 4648, -6451), (-172, 287, 5)]
[(-14633, 4648, -6451), (-172, 287, 5)]
[(-14633, 4648, -6451), (-172, 287, 5)]
[(-14633, 4648, -6451), (-172, 287, 5)]
[(-14633, 4648, -6451), (-172, 287, 5)]
[(-14638, 4632, -6424), (-168, 294, 19)]
[(-14638, 4632, -6424), (-168, 294, 19)]
[(-14638, 4632, -6424), (-168, 294, 19)]
[(-14638, 4632, -6424), (-168, 294, 19)]
[(-14638, 4632, -6424), (-168, 294, 19)]
[(-14638, 4632, -6424), (-168, 294, 19)]
[(-14628, 4647, -6433), (-192, 286, 21)]
[(-14628, 4647, -6433), (-192, 286, 21)]
[(-14628, 4647, -6433), (-192, 286, 21)]
[(-14628, 4647, -6433), (-192, 286, 21)]
[(-14628, 4647, -6433), (-192, 286, 21)]
[(-14630, 4634, -6431), (-167, 303, -6)]
[(-14630, 4634, -6431), (-167, 303, -6)]
[(-14630, 4634, -6431), (-167, 303, -6)]
[(-14630, 4634, -6431), (-167, 303, -6)]
[(-14630, 4634, -6431), (-167, 303, -6)]
[(-14630, 4634, -6431), (-167, 303, -6)]
[(-14592, 4616, -6424), (-125, 253, 20)]
[(-14592, 4616, -6424), (-125, 253, 20)]
[(-14592, 4616, -6424), (-125, 253, 20)]
[(-14592, 4616, -6424), (-125, 253, 20)]
[(-14592, 4616, -6424), (-125, 253, 20)]
